"","accepted_name","phylo.tip","input_name","name_class","ncbi_id","GenBank_taxonomy","ITS","trnTLF","rbcL","matK","atpB"
"57","Alyssoides_utriculata","Alyssoides_utriculata","Alyssoides_utriculata","scientific name",457762,"Alyssoides_utriculata","525672207","525672725","NA","NA","NA"
"58","Alyssum_alpestre","Alyssum_alpestre","Alyssum_alpestre","scientific name",226019,"Alyssum_alpestre","525672208","525672728","NA","NA","NA"
"59","Alyssum_alyssoides","Alyssum_alyssoides","Alyssum_alyssoides","scientific name",169068,"Alyssum_alyssoides","525672212","525672739","NA","NA","NA"
"60","Amelanchier_ovalis","Amelanchier_ovalis","Amelanchier_ovalis","scientific name",1000415,"Amelanchier_ovalis","555685584","555685537","379062034","384598718","NA"
"61","Androsace_helvetica","Androsace_helvetica","Androsace_helvetica","scientific name",199610,"Androsace_helvetica","30526248","30526151","557836391","702066119","NA"
"62","Androsace_maxima","Androsace_maxima","Androsace_maxima","scientific name",229449,"Androsace_maxima","30526282","30526128","NA","702066199","NA"
"63","Androsace_obtusifolia","Androsace_obtusifolia","Androsace_obtusifolia","scientific name",229450,"Androsace_obtusifolia","186920053","30526142","NA","702066121","NA"
"64","Androsace_vandellii","Androsace_vandellii","Androsace_vandellii","scientific name",229460,"Androsace_vandellii","30526242","30526140","NA","702066075","NA"
"65","Anemone_alpina","Anemone_alpina","Pulsatilla_alpina","synonym",470566,"Anemone_alpina","NA","NA","557836449","NA","NA"
"66","Anemone_narcissiflora","Anemone_narcissiflora","Anemone_narcissiflora","scientific name",168002,"Anemone_narcissiflora_subsp__sibirica","NA","260079476","NA","NA","NA"
"67","Anemone_narcissiflora","Anemone_narcissiflora","Anemone_narcissiflora","scientific name",168002,"Anemone_narcissiflora","37542434","NA","557836447","NA","NA"
"68","Angelica_sylvestris","Angelica_sylvestris","Angelica_sylvestris","scientific name",54703,"Angelica_sylvestris","345452853","79676049","379037308","75758024","305671690"
"69","Antennaria_carpatica","Antennaria_carpatica","Antennaria_carpatica","scientific name",49050,"Antennaria_carpatica","223414513","NA","NA","NA","NA"
