"Species,C,254","TAXREF,N,10,0","NUMCBNA,N,10,0","G_SP_SUBSP,C,150","Valid_LIB,C,150"
Asplenium_adiantum_nigrum,84458,0,Asplenium adiantum nigrum,Asplenium_adiantum-nigrum
Asplenium_ceterach,84472,0,Asplenium ceterach,Asplenium_ceterach
Asplenium_exiguum,0,0,Asplenium exiguum,
Asplenium_ramosum,84540,0,Asplenium ramosum,Asplenium_viride
Asplenium_ruta_muraria,84521,0,Asplenium ruta muraria,Asplenium_ruta-muraria
Asplenium_septentrionale,84526,0,Asplenium septentrionale,Asplenium_septentrionale
Asplenium_trichomanes,84534,0,Asplenium trichomanes,Asplenium_trichomanes
Asplenium_viride,84540,0,Asplenium viride,Asplenium_viride
Aster_alpinus,84622,0,Aster alpinus,Aster_alpinus
Astragalus_alpinus,84792,0,Astragalus alpinus,Astragalus_alpinus
Astragalus_australis,84800,0,Astragalus australis,Astragalus_australis
Astragalus_austriacus,84801,0,Astragalus austriacus,Astragalus_austriacus
Astragalus_cicer,84817,0,Astragalus cicer,Astragalus_cicer
Astragalus_danicus,84828,0,Astragalus danicus,Astragalus_danicus
Astragalus_depressus,84831,0,Astragalus depressus,Astragalus_depressus
Astragalus_glycyphyllos,84843,0,Astragalus glycyphyllos,Astragalus_glycyphyllos
Astragalus_monspessulanus,84869,0,Astragalus monspessulanus,Astragalus_monspessulanus
Astragalus_onobrychis,84876,0,Astragalus onobrychis,Astragalus_onobrychis
Astragalus_penduliflorus,84882,0,Astragalus penduliflorus,Astragalus_penduliflorus
Astragalus_sempervirens,84897,0,Astragalus sempervirens,Astragalus_sempervirens
Astragalus_stella,84904,0,Astragalus stella,Astragalus_stella
Astragalus_vesicarius,84920,0,Astragalus vesicarius,Astragalus_vesicarius
Astrantia_major,131932,0,Astrantia major,Astrantia_major_subsp._involucrata
Athamanta_cretensis,84962,0,Athamanta cretensis,Athamanta_cretensis
Athyrium_alpestre,84998,0,Athyrium alpestre,Athyrium_distentifolium
Athyrium_filix_femina,84999,0,Athyrium filix femina,Athyrium_filix-femina
Atocion_rupestre,717731,0,Atocion rupestre,Atocion_rupestre
Atragene_alpina,91853,0,Atragene alpina,Clematis_alpina
Atropa_belladonna,85152,0,Atropa belladonna,Atropa_belladonna
Aucuba,189644,0,Aucuba,Aucuba
Barbarea_intermedia,85536,0,Barbarea intermedia,Barbarea_intermedia
Barbarea_vulgaris,761965,0,Barbarea vulgaris,Barbarea_vulgaris
Bartsia_alpina,85602,0,Bartsia alpina,Bartsia_alpina
Bellardiochloa_variegata,85705,0,Bellardiochloa variegata,Bellardiochloa_variegata
Bellidiastrum_michelii,85720,0,Bellidiastrum michelii,Bellidiastrum_michelii
Berardia_subacaulis,85759,0,Berardia subacaulis,Berardia_lanuginosa
Berberis_vulgaris,85774,0,Berberis vulgaris,Berberis_vulgaris
Betonica_officinalis,85852,0,Betonica officinalis,Betonica_officinalis
Betula_pendula,85903,0,Betula pendula,Betula_pendula
Betula_pubescens,85904,0,Betula pubescens,Betula_pubescens
Biscutella_laevigata,86045,0,Biscutella laevigata,Biscutella_laevigata
Bistorta_officinalis,86081,0,Bistorta officinalis,Bistorta_officinalis
Bistorta_vivipara,86082,0,Bistorta vivipara,Bistorta_vivipara
Bitteria_digitata,0,0,Bitteria digitata,
Blackstonia_perfoliata,86087,0,Blackstonia perfoliata,Blackstonia_perfoliata
Blechnum_spicant,86101,0,Blechnum spicant,Blechnum_spicant
Blysmus_compressus,86124,0,Blysmus compressus,Blysmus_compressus
Bombycilaena_erecta,86136,0,Bombycilaena erecta,Bombycilaena_erecta
