"","Combined.Name","GENRE","x","ESPECE","RG","SUBSP.","END.","DIST.","NF","NG","NE","NI","X","Valid_LIB.C.150","Alien_origin","rep.1..length.pezAlpes.phy.tip.label..","Endemic","Ecrins.NP","Summits","Persistent","Under.Ice","Plat.de.la.Selle","Barre.des.Ecrins","La.Meije","Sirac","Rouies","Olan","Pelvoux","Occidentale.Ailefroide","Brevoort","Burlan","Rocher.de.la.Selle","Choisy","Muraillette","Rateau","Lauvitel"
"13","Astragalus_vesicarius","Astragalus","","vesicarius","subsp.    ","pastellianus","End.","Alp.",64,17,21,2,160,"Astragalus_vesicarius","",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","Berardia_subacaulis","Berardia","","subacaulis","","","End.","W-Alp.",124,55,1,NA,175,"Berardia_lanuginosa","",1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"15","Biscutella_laevigata","Biscutella","","laevigata","subsp.    ","ossolana","End.","W-Alp.",54,53,1,3,181,"Biscutella_laevigata","",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","Biscutella_laevigata","Biscutella","","laevigata","subsp.    ","lucida","End.?","E-Alp.",54,53,1,4,181,"Biscutella_laevigata","",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17","Brassica_repanda","Brassica","","repanda","subsp.    ","repanda","End.","W-Alp.",54,59,7,1,194,"Brassica_repanda","",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18","Bupleurum_petraeum","Bupleurum","","petraeum","","","End.","Alp.",97,35,10,NA,210,"Bupleurum_petraeum","",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19","Campanula_cenisia","Campanula","","cenisia","","","End.","W-Alp.",118,1,1,NA,223,"Campanula_alpestris","",1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,1,1,0,1,0,1
"20","Carduus_defloratus","Carduus","","defloratus","subsp.    ","crassifolius","End.?","E-Alp.",124,60,9,4,241,"Carduus_defloratus","",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"21","Carduus_defloratus","Carduus","","defloratus","subsp.    ","tridentinus","End.","Alp.",124,60,9,5,241,"Carduus_defloratus","",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"22","Carduus_nutans","Carduus","","nutans","subsp.    ","platylepis","End.","Alp.",124,60,1,3,244,"Carduus_nutans","",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23","Carduus_nutans","Carduus","","nutans","subsp.    ","alpicola","End.","W-Alp.",124,60,1,2,244,"Carduus_nutans","",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24","Carex_ferruginea","Carex","","ferruginea","subsp.    ","tendae","End.","W-Alp.",138,17,83,3,254,"Carex_ferruginea","",1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,1,0,1,1,1
"25","Carex_ferruginea","Carex","","ferruginea","subsp.    ","austroalpina","End.","E-Alp.",138,17,83,2,254,"Carex_ferruginea","",1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,1,0,1,1,1
"26","Cephalaria_alpina","Cephalaria","","alpina","","","Subend.","W-Alp.",123,1,3,NA,300,"Cephalaria_alpina","",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
