"","taxized","persistant","underIce","n","aiguille du plat de la selle","barre des Ecrins","brèche de valsenestre","brèche du râteau","la meije","le râteau","le sirac","les rouies","l'olan","mont pelvoux","occidentale l'ailefroide","pic du clapier du peyron","pic ouest (le rateau)","pointe brevoort","pointes de burlan","rocher de la selle","signal du lauvitel","tour choisy","tête de la muraillette"
"1047","Poa nemoralis","0","0",105,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0"
"1048","Poa perconcinna","0","0",5,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1049","Poa pratensis","0","0",62,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1050","Poa trivialis","0","0",19,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1051","Polichia galeobdolon","0","0",6,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1052","Polycnemum majus","0","0",1,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1053","Polygala alpestris","0","0",21,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"1054","Polygala amarella","0","0",3,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1055","Polygala calcarea","0","0",9,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1056","Polygala chamaebuxus","0","0",14,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1057","Polygala comosa","0","0",14,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1058","Polygala vulgaris","0","0",7,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1059","Polygonatum odoratum","0","0",18,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1060","Polygonatum verticillatum","0","0",29,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1061","Polygonum alpinum","0","0",1,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1062","Polygonum viviparum","0","0",106,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","1","0","0"
"1063","Polypodium interjectum","0","0",4,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1064","Polypodium vulgare","0","0",25,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1065","Polystichum aculeatum","0","0",10,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1066","Populus alba","0","0",1,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1067","Populus nigra","0","0",18,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1068","Populus tremula","0","0",37,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1069","Porrum sphaerocephaluon","0","0",32,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1070","Potamogeton alpinus","0","0",2,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1071","Potentilla argentea","0","0",18,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1072","Potentilla caulescens","0","0",4,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1073","Potentilla chrysantha","0","0",8,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1074","Potentilla cinerea","0","0",2,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1075","Potentilla erecta","0","0",29,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1076","Potentilla hirta","0","0",1,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1077","Potentilla inclinata","0","0",1,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1078","Potentilla NA","0","0",5,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
