"","taxized","persistant","underIce","n","aiguille du plat de la selle","barre des Ecrins","brèche de valsenestre","brèche du râteau","la meije","le râteau","le sirac","les rouies","l'olan","mont pelvoux","occidentale l'ailefroide","pic du clapier du peyron","pic ouest (le rateau)","pointe brevoort","pointes de burlan","rocher de la selle","signal du lauvitel","tour choisy","tête de la muraillette"
"55","Capsella bursa-pastoris","2","0",10,"0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"56","Cardamine bellidifolia","4","1",0,"0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","3","0","0","0"
"57","Cardamine resedifolia","14","7",51,"1","0","0","2","2","4","0","2","6","0","0","0","1","0","0","2","0","1","0"
"58","Carduus medius","2","1",54,"0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","1","0","0","0"
"59","Carex atrata","8","2",30,"0","1","0","0","0","0","0","0","0","0","1","0","2","0","0","3","2","0","1"
"60","Carex bicolor","0","1",0,"0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"61","Carex digitata","1","0",24,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"62","Carex ferruginea","21","3",214,"1","1","1","0","0","2","4","0","3","0","1","0","0","0","1","7","1","0","2"
"63","Carex foetida","10","0",21,"1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","6","1","0","1"
"64","Carex frigida","3","1",19,"0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","1","0","0","0"
"65","Carex rupestris","0","1",8,"0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"66","Cassida alpina","4","1",58,"0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","1","0","0","0"
"67","Centaurea uniflora","2","0",106,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0"
"68","Cerastium alpinum","8","0",6,"0","0","0","0","0","0","0","1","0","0","0","3","0","0","0","4","0","0","0"
"69","Cerastium arvense","25","3",184,"0","1","1","0","0","6","5","0","0","0","0","1","0","0","0","11","4","0","0"
"70","Cerastium cerastoides","5","0",6,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","1"
"71","Cerastium latifolium","7","0",26,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","1","0","0"
"72","Cerastium pedunculatum","15","8",8,"0","1","0","4","3","0","0","5","4","0","1","1","0","0","0","3","0","0","1"
"73","Cerastium uniflorum","16","2",10,"0","2","0","0","0","0","0","0","3","0","0","4","0","1","0","2","3","2","1"
"74","Chamerion dodonaei","4","6",45,"0","0","0","3","3","0","0","2","0","0","1","0","0","0","1","0","0","0","0"
"75","Chenopodium bonus-henricus","3","1",23,"0","0","0","0","0","2","1","0","0","0","0","0","0","0","0","0","1","0","0"
"76","Cirsium spinosissimum","14","1",41,"1","0","1","0","0","0","1","2","1","0","0","0","1","0","0","5","3","0","0"
"77","Cotoneaster integerrimus","1","0",14,"0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"78","Cotoneaster NA","1","1",64,"0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0"
"79","Crepis pygmaea","0","1",9,"0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","3","0","0","0"
"80","Cryptogramma crispa","6","1",40,"0","1","0","0","0","1","1","0","1","0","0","0","0","0","0","1","1","0","1"
"81","Cystopteris fragilis","6","1",31,"0","0","0","0","0","2","0","0","1","0","0","0","1","0","0","2","1","0","0"
"82","Daphne alpina","1","0",6,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"83","Deschampsia flexuosa","3","2",182,"0","0","0","0","0","3","1","0","0","0","0","0","0","0","0","1","0","0","0"
"84","Doronicum grandiflorum","22","1",45,"0","1","0","1","0","2","0","0","0","0","0","5","0","0","0","9","2","0","3"
"85","Draba aizoides","7","0",19,"0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","4","0","1"
"86","Draba dubia","19","1",31,"1","0","0","0","2","0","1","1","0","0","0","2","1","4","1","2","2","2","1"
"87","Draba fladnizensis","11","0",11,"0","2","0","0","3","0","0","0","1","0","0","3","0","0","0","2","0","0","0"
"88","Draba siliquosa","1","0",0,"0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"89","Dryas octopetala","3","1",44,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","3"
"90","Dryopteris filix-mas","7","3",108,"0","0","0","0","0","5","1","2","0","0","0","0","0","0","0","1","1","0","0"
"91","Empetrum nigrum","1","0",13,"0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"92","Epilobium alsinifolium","0","1",7,"0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0"
"93","Epilobium anagallidifolium","11","1",13,"1","0","0","0","0","4","0","3","1","0","0","0","0","0","0","1","1","0","1"
"94","Erigeron acer","0","1",0,"0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"95","Erigeron gaudinii","1","0",0,"0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"96","Erigeron glabratus","4","0",11,"0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","3","0","0"
"97","Erigeron uniflorus","15","1",18,"0","1","0","0","0","0","0","2","3","0","0","2","0","0","1","6","0","1","0"
"98","Eritrichium nanum","17","0",50,"1","3","0","0","4","0","1","1","4","2","0","4","0","4","0","5","3","2","0"
"99","Euphorbia cyparissias","5","1",178,"0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","3","0","0","0"
"100","Euphrasia alpina","1","0",1,"0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"101","Euphrasia drosocalyx","1","0",25,"0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"102","Euphrasia minima","11","2",34,"2","1","0","1","0","0","1","2","1","0","0","0","0","0","1","5","1","0","1"
"103","Euphrasia salisburgensis","2","0",18,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0"
"104","Euphrasia stricta","0","3",5,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0"
"105","Festuca acuminata","7","1",64,"0","0","0","0","0","2","3","0","0","0","0","1","0","0","0","2","0","0","0"
"106","Festuca chalcophaea","27","9",163,"1","4","0","2","1","4","3","2","2","0","0","7","1","0","2","4","5","0","2"
"107","Festuca halleri","35","4",94,"2","1","0","0","0","2","3","1","6","0","2","5","1","0","1","12","2","0","1"
"108","Festuca laevigata","0","1",184,"0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","2","0","0","0"
"109","Festuca melanopsis","2","0",33,"1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"110","Festuca rubra","3","0",230,"0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","2","0","0","0"
"111","Galium pseudohelveticum","19","2",48,"0","0","0","0","0","5","5","0","0","0","0","1","0","0","0","6","2","0","2"
"112","Galium pumilum","1","0",94,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"113","Gamochaeta norvegica","1","0",0,"0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"114","Gentiana acaulis","10","0",67,"0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","5","1","0","1"
"115","Gentiana nivalis","6","0",12,"0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","4","1","0","0"
"116","Gentiana verna","6","0",45,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","1"
"117","Gentianella campestris","4","0",38,"0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","2","0","0","0"
"118","Geranium rivulare","0","1",10,"0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"119","Geranium sylvaticum","0","1",195,"0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0"
"120","Geum reptans","13","6",30,"0","1","0","2","3","0","1","5","0","0","1","1","0","0","1","2","0","0","2"
"121","Geum urbanum","0","1",35,"0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0"
"122","Globularia cordifolia","3","0",64,"0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","2","0","0","0"
"123","Gnaphalium supinum","11","3",29,"1","0","0","1","1","0","0","2","3","0","0","0","1","0","0","3","1","0","2"
"124","Gymnocarpium robertianum","0","2",6,"0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"125","Gypsophila repens","4","1",44,"0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","2","0","0","1"
"126","Helictotrichon sedenense","27","7",131,"0","1","0","0","0","6","1","0","0","0","0","1","0","0","3","16","3","0","3"
"127","Helictotrichon versicolor","9","1",38,"0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","6","1","0","2"
"128","Herniaria alpina","4","3",5,"0","0","0","0","0","0","2","1","0","0","1","0","0","0","2","1","0","0","0"
"129","Hieracium alpinum","1","0",3,"0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"130","Hieracium antarcticum","2","0",12,"0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0"
"131","Hieracium piliferum","6","1",31,"0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","5","0","0","0"
"132","Hieracium pilosella","2","0",42,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0"
"133","Hieracium villosum","5","0",28,"0","1","0","0","0","0","0","0","2","0","0","0","0","0","0","2","0","0","0"
"134","Homogyne alpina","5","0",81,"1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","2","0","0","1"
"135","Hornungia alpina","21","5",30,"0","1","0","2","3","0","0","2","3","0","0","7","0","0","0","3","3","1","1"
"136","Huperzia selago","0","3",9,"0","0","0","0","0","0","0","0","0","2","1","0","0","0","0","0","0","0","0"
"137","Hypericum richeri","1","0",94,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"138","Imperatoria ostruthium","1","0",82,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"139","Juncus trifidus","17","3",102,"0","1","0","0","0","1","3","0","3","1","0","0","1","0","1","6","3","0","0"
"140","Juncus triglumis","1","0",6,"0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"141","Juniperus sabina","0","1",12,"0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"142","Juniperus sibirica","5","1",0,"0","0","0","0","0","2","1","0","1","0","0","0","0","1","0","1","0","0","0"
"143","Kobresia curvula","5","2",18,"0","0","0","0","0","0","1","0","0","0","2","2","0","0","0","2","2","0","1"
"144","Kobresia myosuroides","7","0",41,"0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","4","1","0","3"
"145","Leontodon autumnalis","1","0",0,"0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"146","Leontodon pyrenaicus","9","1",0,"1","1","0","0","0","1","2","0","1","0","1","0","0","0","0","2","0","0","1"
"147","Leontopodium brachyactis","2","0",0,"0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"148","Leucanthemopsis alpina","71","15",100,"3","5","0","6","7","0","5","7","9","0","3","14","1","3","1","11","6","2","3"
"149","Linaria alpina","42","5",54,"0","2","0","1","3","2","3","6","1","0","1","10","0","3","1","7","4","2","1"
"150","Lloydia serotina","4","0",12,"0","0","0","0","0","0","0","0","1","0","0","2","0","0","0","2","0","0","0"
"151","Lotus alpinus","22","3",94,"0","1","0","0","0","2","5","0","1","0","0","0","0","0","3","8","2","0","3"
"152","Luzula alpinopilosa","8","3",27,"1","1","0","1","1","0","1","0","1","0","0","0","1","0","0","4","1","0","0"
"153","Luzula lutea","8","2",62,"0","0","0","0","0","0","0","0","1","0","1","1","1","0","0","3","2","0","1"
"154","Luzula maxima","0","1",0,"0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"155","Luzula nutans","2","0",88,"0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"156","Luzula spicata","19","8",45,"1","2","0","5","0","0","3","1","2","1","0","2","1","0","1","5","2","1","0"
"157","Micranthes stellaris","0","3",5,"0","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"158","Minuartia laricifolia","0","1",64,"0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"159","Minuartia oreina","1","0",2,"0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"160","Minuartia sedoides","21","5",35,"0","1","0","0","1","0","1","2","4","0","3","3","0","1","2","4","3","0","1"
"161","Minuartia verna","27","1",33,"1","1","0","0","1","0","2","0","0","0","0","4","0","0","1","11","5","0","2"
"162","Murbeckiella pinnatifida","7","1",9,"1","0","0","0","0","0","0","2","1","0","1","0","0","0","0","3","1","0","0"
"163","Myosotis alpestris","20","3",128,"0","1","1","0","0","2","0","1","0","0","1","2","0","0","0","9","3","0","3"
"164","Myosotis decumbens","1","0",36,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"165","Nardus stricta","6","1",99,"1","0","0","0","0","1","3","0","0","0","0","0","0","0","0","2","0","0","0"
"166","Noccaea rotundifolia","12","0",25,"0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","5","3","0","2"
"167","Omalotheca NA","1","0",0,"0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"168","Oxyria digyna","20","12",31,"0","4","0","6","3","0","0","7","0","0","1","7","1","0","0","2","1","0","0"
"169","Oxytropis campestris","4","1",17,"0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","2"
"170","Oxytropis helvetica","2","0",10,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0"
"171","Pachypleurum NA","18","2",36,"1","1","0","0","0","0","1","0","3","0","2","0","0","0","0","7","3","0","2"
"172","Papaver aurantiacum","2","0",1,"0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0"
"173","Parageum montanum","11","1",82,"1","0","1","0","0","1","1","0","0","0","0","0","0","0","0","5","1","0","2"
"174","Paronychia polygonifolia","0","1",1,"0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"175","Pedicularis kerneri","4","3",8,"0","1","0","1","0","0","0","2","1","0","1","0","0","0","1","0","0","0","0"
"176","Pedicularis rostratospicata","2","0",21,"0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0"
"177","Pedicularis tuberosa","2","0",39,"0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0"
"178","Pedicularis verticillata","1","0",8,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"179","Phleum alpinum","2","1",90,"0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","1","1","0","0"
"180","Phyteuma michelii","1","0",85,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"181","Pilosella peleteriana","1","0",99,"0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"182","Pinguicula vulgaris","1","0",24,"0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"183","Plantago neumannii","15","0",98,"1","0","1","0","0","0","3","0","1","0","0","1","0","0","0","6","1","0","1"
"184","Poa alpina","66","14",241,"2","3","1","6","2","2","7","6","2","0","2","8","1","0","2","24","10","0","2"
"185","Poa annua","1","0",3,"0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"186","Poa cenisia","15","7",61,"1","0","0","4","2","3","0","0","0","0","0","1","0","0","0","9","2","0","0"
"187","Poa laxa","29","4",41,"2","6","0","1","3","0","0","4","2","0","0","4","1","5","0","1","0","4","0"
"188","Poa supina","2","0",16,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0"
"189","Polygala alpina","1","0",6,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"190","Polygonum aviculare","1","0",4,"0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"191","Polystichum lonchitis","8","2",52,"0","0","0","0","0","4","1","2","0","0","0","0","0","0","0","1","2","0","0"
"192","Potentilla aurea","2","0",32,"1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"193","Potentilla crantzii","8","2",70,"0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","4","2","0","0"
"194","Potentilla frigida","5","0",6,"0","0","0","0","0","0","1","0","2","0","0","0","0","0","0","0","1","1","0"
"195","Potentilla grandiflora","7","2",122,"0","0","0","0","0","3","1","0","1","0","0","0","0","0","0","4","0","0","0"
"196","Primula hirsuta","12","2",56,"0","0","0","0","0","1","2","0","5","0","1","0","0","0","0","3","2","0","0"
"197","Primula pedemontana","1","0",1,"0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"198","Ptarmica nana","27","11",39,"0","3","0","5","0","1","4","3","1","0","1","2","1","0","3","8","4","0","2"
"199","Pulsatilla vernalis","2","0",15,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2"
"200","Ranunculus glacialis","40","8",49,"0","4","0","3","3","0","0","3","2","1","1","13","1","3","1","4","2","4","3"
"201","Ranunculus grenierianus","1","0",77,"0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"202","Ranunculus montanus","4","0",50,"0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","3","0","0","0"
"203","Rapunculus hemisphaericus","25","2",57,"1","1","0","0","0","1","3","1","3","0","1","2","0","0","1","11","2","0","0"
"204","Rapunculus orbicularis","1","0",36,"0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"205","Rhododendron ferrugineum","5","0",166,"1","0","0","0","0","0","1","0","2","0","0","0","0","0","0","1","0","0","0"
"206","Rubus idaeus","1","2",126,"0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"207","Rubus saxatilis","0","1",30,"0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"208","Rumex scutatus","2","0",69,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0"
"209","Sagina glabra","5","1",28,"0","0","0","0","1","0","2","0","2","0","0","0","0","0","0","0","1","0","0"
"210","Sagina saginoides","1","1",3,"0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0"
"211","Salix appendiculata","0","1",6,"0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"212","Salix breviserrata","0","5",2,"0","0","0","3","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0"
"213","Salix glaucosericea","0","1",9,"0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"214","Salix hastata","1","3",21,"0","0","0","2","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"215","Salix herbacea","21","4",54,"1","1","0","1","0","0","1","1","2","0","2","1","1","0","0","7","5","0","2"
"216","Salix laggeri","0","1",7,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"217","Salix reticulata","2","2",24,"0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1","0","1"
"218","Salix retusa","11","8",41,"0","0","1","3","0","0","0","0","0","0","1","0","1","0","3","4","1","0","5"
"219","Saussurea alpina","1","0",4,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"220","Saxifraga aizoides","15","4",52,"0","0","0","1","5","0","1","3","0","0","1","3","0","0","1","3","1","0","0"
"221","Saxifraga androsacea","2","0",6,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1"
"222","Saxifraga aspera","2","0",9,"0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"223","Saxifraga biflora","1","0",3,"0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"224","Saxifraga bryoides","44","13",71,"0","4","0","5","6","0","2","4","6","0","1","4","2","3","2","10","4","2","2"
"225","Saxifraga exarata","7","2",39,"1","0","0","1","2","2","0","5","2","0","1","4","0","0","0","3","5","1","0"
"226","Saxifraga oppositifolia","55","7",96,"0","6","0","2","4","0","2","5","3","0","1","12","0","3","2","10","6","4","2"
"227","Saxifraga paniculata","30","1",99,"0","3","0","0","1","1","1","2","3","0","0","4","0","0","1","10","2","0","3"
"228","Saxifraga retusa","3","0",6,"0","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0"
"229","Sedella atrata","5","1",6,"0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","2","1","0","2"
"230","Sedum alpestre","25","4",56,"2","0","0","1","2","3","1","4","6","0","1","0","1","0","0","5","3","0","0"
"231","Sedum anacampseros","2","0",0,"0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"232","Sempervivum arachnoideum","11","3",132,"0","1","0","0","0","3","1","0","1","0","0","0","0","0","3","3","1","0","1"
"233","Sempervivum montanum","27","2",113,"1","1","1","1","0","2","1","2","3","1","0","0","1","0","0","8","5","1","1"
"234","Senecio doronicum","13","2",125,"0","0","1","0","0","3","0","1","1","1","0","0","0","0","0","7","1","0","0"
"235","Senecio incanus","19","6",0,"3","1","0","1","1","1","0","3","3","0","1","0","1","0","2","3","4","0","1"
"236","Sesleria caerulea","7","0",133,"0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","3","2","0","1"
"237","Sibbaldia procumbens","12","0",35,"1","1","0","0","0","1","1","1","2","0","0","0","0","0","0","4","0","0","1"
"238","Silene acaulis","40","9",115,"2","5","0","3","6","1","4","5","6","1","2","9","2","4","3","9","4","1","2"
"239","Silene vulgaris","3","0",113,"0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","1","1","0","0"
"240","Soldanella alpina","4","0",70,"1","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","1","0","0"
"241","Solidago virgaurea","2","1",70,"0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","2","0","0","0"
"242","Taraxacum alpinum","10","3",15,"0","0","0","2","0","2","2","2","0","0","0","1","0","0","0","0","3","0","1"
"243","Taraxacum dissectum","1","0",4,"0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"244","Taraxacum montanum","19","0",20,"2","0","0","0","0","0","4","0","1","0","0","5","0","0","0","5","0","0","2"
"245","Taraxacum officinale","0","1",0,"0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"246","Thymus praecox","11","4",160,"0","0","0","0","1","7","2","0","0","0","0","0","0","0","0","5","0","0","0"
"247","Thymus serpyllum","5","0",68,"0","0","0","0","0","0","0","2","1","0","0","1","0","0","0","0","1","0","1"
"248","Tolpis staticifolia","1","0",27,"0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"249","Trifolium alpinum","4","1",66,"0","0","0","0","0","1","1","0","1","1","0","0","0","0","0","1","0","0","0"
"250","Trifolium badium","3","1",27,"0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","2","0","0","0"
"251","Trifolium pallescens","0","2",19,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0"
"252","Trifolium pratense","3","1",183,"0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","2","0","0","1"
"253","Trifolium repens","1","0",68,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"254","Trifolium saxatile","0","4",2,"0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"255","Trifolium thalii","10","1",34,"0","0","0","0","0","1","4","0","1","0","0","0","0","0","1","2","1","0","1"
"256","Trimorpha alpina","6","0",32,"0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","3","0","0","1"
"257","Trisetaria distichophylla","10","0",25,"0","0","0","0","0","1","2","0","0","0","0","2","0","0","0","4","0","0","1"
"258","Trisetum flavescens","1","0",84,"0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"259","Trisetum spicatum","1","0",3,"0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"260","Urtica dioica","1","1",88,"0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"261","Vaccinium myrtillus","7","2",206,"0","0","1","0","0","3","1","0","1","1","0","0","0","0","0","2","0","0","0"
"262","Vaccinium uliginosum","7","4",135,"0","0","1","0","0","2","2","0","1","1","2","0","0","0","1","1","1","0","0"
"263","Valeriana montana","0","1",44,"0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"264","Veronica allionii","0","1",25,"0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"265","Veronica alpina","24","9",35,"2","1","0","4","2","0","0","4","3","0","1","1","1","0","1","8","3","1","1"
"266","Veronica aphylla","4","0",12,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0"
"267","Veronica bellidioides","4","0",19,"0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","2","0","0","0"
"268","Veronica fruticans","5","3",90,"0","0","0","0","0","3","1","0","0","0","1","0","0","0","0","2","0","0","1"
"269","Veronica serpyllifolia","1","0",7,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"270","Viola calcarata","6","0",64,"0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","3","2","0","0"
"271","Viola NA","2","0",11,"0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0"
"272","Viola rupestris","0","1",3,"0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"273","Vulpia quadriflora","10","0",26,"0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","7","0","0","1"
"274","Zz Lichens","0","1",0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"275","Abies alba","0","0",58,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"276","Acer campestre","0","0",60,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"277","Acer monspessulanum","0","0",9,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"278","Acer opalus","0","0",48,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"279","Acer platanoides","0","0",8,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"280","Acer pseudoplatanus","0","0",103,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"281","Achillea distans","0","0",4,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"282","Achillea nobilis","0","0",1,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"283","Achillea roseo","0","0",3,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"284","Achnatherum calamagrostis","0","0",38,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"285","Aconitum anthora","0","0",23,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"286","Aconitum laeve","0","0",33,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"287","Aconitum variegatum","0","0",6,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"288","Actaea spicata","0","0",14,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"289","Adenostyles alliariae","0","0",44,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
