"","taxized","n"
"689","Knautia NA",8
"690","Kobresia curvula",18
"691","Kobresia myosuroides",41
"692","Koeleria cenisia",1
"693","Koeleria pyramidata",11
"694","Koeleria vallesiana",22
"695","Laburnum alpinum",2
"696","Laburnum anagyroides",3
"697","Lactuca alpina",15
"698","Lactuca muralis",14
"699","Lactuca perennis",21
"700","Lactuca serriola",11
"701","Lamium amplexicaule",4
"702","Lamium garganicum",1
"703","Lamium maculatum",6
"704","Lamium purpureum",1
"705","Lappula squarrosa",1
"706","Lapsana communis",2
"707","Larix decidua",117
"708","Laserpitium gallicum",76
"709","Laserpitium halleri",6
"710","Laserpitium latifolium",106
"711","Laserpitium siler",36
"712","Lathyrus latifolius",6
"713","Lathyrus linifolius",4
"714","Lathyrus ochraceus",12
"715","Lathyrus pratensis",108
"716","Lathyrus sphaericus",2
"717","Lathyrus sylvestris",9
"718","Lathyrus vernus",10
"719","Lavandula angustifolia",30
"720","Leontodon crispus",11
"721","Leontodon hirtus",3
"722","Leontodon hispidus",121
"723","Leontodon NA",89
"724","Leontopodium NA",21
"725","Lerouxia nemorum",1
"726","Leucanthemopsis alpina",100
"727","Leucanthemum adustum",77
"728","Leucanthemum atratum",2
"729","Leucanthemum NA",1
"730","Leucanthemum pallens",1
"731","Leucanthemum vulgare",67
"732","Ligustrum vulgare",33
"733","Lilium bulbiferum",16
"734","Lilium martagon",67
"735","Limodorum rubrum",3
"736","Linaria alpina",54
"737","Linaria angustissima",2
"738","Linaria repens",6
"739","Linaria simplex",1
"740","Linum alpinum",40
"741","Linum catharticum",39
"742","Linum suffruticosum",1
"743","Linum tenuifolium",1
"744","Listera nidus-avis",7
"745","Listera ovata",17
"746","Lithospermum officinale",2
"747","Lloydia serotina",12
"748","Lolium perenne",4
"749","Lomelosia graminifolia",4
"750","Lonicera caerulea",14
"751","Lonicera etrusca",3
"752","Lonicera nigra",10
"753","Lonicera webbiana",26
"754","Lonicera xylosteum",93
"755","Loroglossum anthropophorum",1
"756","Lotus alpinus",94
"757","Lotus corniculatus",247
"758","Lotus delortii",3
"759","Lunaria annua",1
"760","Lunaria rediviva",6
"761","Luzula alpinopilosa",27
"762","Luzula campestris",21
"763","Luzula lutea",62
"764","Luzula luzulina",1
"765","Luzula multiflora",9
"766","Luzula nivea",68
"767","Luzula nutans",88
"768","Luzula spicata",45
"769","Luzula sudetica",10
"770","Luzula sylvatica",50
"771","Lycopus europaeus",1
"772","Lysimachia arvensis",3
"773","Lysimachia vulgaris",7
"774","Lythrum salicaria",2
"775","Macrosyringion glutinosum",1
"776","Maianthemum bifolium",8
"777","Malus sylvestris",2
"778","Malva alcea",3
"779","Malva moschata",2
"780","Matricaria matricarioides",1
"781","Medicago lupulina",30
"782","Medicago minima",5
"783","Medicago sativa",19
"784","Melampyrum NA",7
"785","Melampyrum sylvaticum",25
"786","Melica ciliata",23
"787","Melica nutans",48
"788","Melica uniflora",2
"789","Melilotus albus",9
"790","Melilotus officinalis",2
"791","Melittis melissophyllum",7
"792","Mentha aquatica",4
"793","Mentha arvensis",3
"794","Mentha longifolia",21
"795","Merendera verna",1
"796","Meum athamanticum",13
"797","Micranthes stellaris",5
"798","Microthlaspi perfoliatum",2
"799","Milium effusum",13
"800","Minuartia laricifolia",64
"801","Minuartia oreina",2
"802","Minuartia rostrata",4
"803","Minuartia rupestris",3
"804","Minuartia sedoides",35
"805","Minuartia verna",33
"806","Minuartia villarii",1
"807","Moehringia muscosa",2
"808","Moehringia trinervia",1
"809","Molinia caerulea",29
"810","Moneses uniflora",3
"811","Monotropa hypopitys",3
"812","Murbeckiella pinnatifida",9
"813","Muscari comosum",2
"814","Muscari neglectum",5
"815","Mutellina adonidifolia",1
"816","Myosotis alpestris",128
"817","Myosotis arvensis",15
"818","Myosotis corsicana",1
"819","Myosotis decumbens",36
"820","Myosotis NA",4
"821","Myosotis ramosissima",3
"822","Myosotis stricta",3
"823","Myricaria germanica",5
"824","Narcissus poeticus",15
"825","Nardus stricta",99
"826","Nasturtium officinale",2
"827","Neotinea ustulata",16
"828","Nepeta nuda",1
"829","Noccaea caerulescens",17
"830","Noccaea rotundifolia",25
"831","Odontites NA",2
"832","Onobrychis saxatilis",8
"833","Onobrychis viciifolia",74
"834","Ononis arvensis",20
"835","Ononis cristata",5
"836","Ononis fruticosa",1
"837","Ononis natrix",27
"838","Ononis pusilla",3
"839","Ononis rotundifolia",13
"840","Ophioglossum vulgatum",1
"841","Ophrys fuciflora",1
"842","Ophrys insectifera",4
"843","Ophrys sphegodes",1
"844","Orchis mascula",10
"845","Orchis militaris",6
"846","Orchis purpurea",3
"847","Orchites globosa",10
"848","Oreoselinum nigrum",30
"849","Origanum vulgare",31
"850","Orlaya grandiflora",2
"851","Ornithogalum umbellatum",21
"852","Orobanche caryophyllacea",5
"853","Orobanche laserpitii",3
"854","Orobanche major",1
"855","Orobanche NA",1
"856","Orobanche purpurea",2
"857","Orobanche teucrii",2
"858","Orthantha lutea",13
"859","Orthilia secunda",7
"860","Oxalis acetosella",46
"861","Oxalis fontana",1
"862","Oxyria digyna",31
"863","Oxytropis campestris",17
"864","Oxytropis fetida",1
"865","Oxytropis helvetica",10
"866","Oxytropis jacquini",3
"867","Oxytropis lapponica",19
"868","Oxytropis NA",1
"869","Oxytropis pilosa",2
"870","Pachypleurum NA",36
"871","Padus avium",15
"872","Paeonia officinalis",3
"873","Papaver alpinum",1
"874","Papaver aurantiacum",1
"875","Papaver dubium",3
"876","Parageum montanum",82
"877","Paris quadrifolia",23
"878","Parnassia palustris",24
"879","Paronychia kapela",2
"880","Paronychia polygonifolia",1
"881","Pastinaca sativa",2
"882","Patzkea paniculata",117
"883","Pedicularis comosa",6
"884","Pedicularis foliosa",11
"885","Pedicularis gyroflexa",8
"886","Pedicularis kerneri",8
"887","Pedicularis NA",8
"888","Pedicularis rostratospicata",21
"889","Pedicularis tuberosa",39
"890","Pedicularis verticillata",8
"891","Persicaria amphibia",5
"892","Persicaria lapathifolia",2
"893","Persicaria maculosa",2
"894","Persicaria mitis",1
"895","Petasites albus",18
"896","Petasites hybridus",4
"897","Petasites paradoxus",9
"898","Petrorhagia prolifera",5
"899","Petrorhagia saxifraga",9
"900","Phaca hypoglottis",11
"901","Phegopteris connectilis",2
"902","Phleum alpinum",90
"903","Phleum phleoides",10
"904","Phleum pratense",31
"905","Phragmites australis",14
"906","Phyteuma michelii",85
"907","Phyteuma ovatum",13
"908","Phyteuma scheuchzeri",2
"909","Phyteuma scorzonerifolium",18
"910","Phyteuma spicatum",2
"911","Picea abies",84
"912","Picris hieracioides",11
"913","Pilosella peleteriana",99
"914","Pimpinella major",31
"915","Pimpinella saxifraga",55
"916","Pinguicula alpina",7
"917","Pinguicula vulgaris",24
"918","Pinus mugo",29
"919","Pinus nigra",10
"920","Pinus sylvestris",70
"921","Pisum heterophyllum",8
"922","Plantago atrata",6
"923","Plantago holosteum",1
"924","Plantago lanceolata",45
"925","Plantago major",22
"926","Plantago maritima",38
"927","Plantago media",61
"928","Plantago neumannii",98
"929","Plantago sempervirens",3
"930","Platanthera chlorantha",10
"931","Pleisolirion liliastrum",26
"932","Pleurospermum austriacum",8
"933","Poa alpina",241
"934","Poa annua",3
"935","Poa badensis",1
"936","Poa bulbosa",15
