"","Row.names","Endemic","Ecrins NP","Summits","Persistent","Under Ice","Plat de la Selle","Barre des Ecrins","La Meije","Sirac","Rouies","Olan","Pelvoux","Occidentale Ailefroide","Brevoort","Burlan","Rocher de la Selle","Choisy","Muraillette","Rateau","Lauvitel"
"572","Gentianopsis_ciliata","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"573","Gentianusa_lutea","1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"574","Gentianusa_punctata","0",1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"575","Geranium_argenteum","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"576","Geranium_columbinum","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"577","Geranium_lucidum","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"578","Geranium_molle","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"579","Geranium_nodosum","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"580","Geranium_phaeum","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"581","Geranium_pyrenaicum","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"582","Geranium_rivulare","1",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"583","Geranium_robertianum","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"584","Geranium_rotundifolium","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"585","Geranium_sanguineum","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"586","Geranium_sylvaticum","0",1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"587","Geum_reptans","0",1,1,1,1,0,1,1,1,1,0,0,1,0,1,1,0,1,1,1
"588","Geum_rivale","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"589","Geum_urbanum","0",1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"590","Glechoma_hederacea","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"591","Glechoma_nepetella","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"592","Globularia_bisnagarica","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"593","Globularia_cordifolia","0",1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"594","Glyceria_fluitans","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"595","Glyceria_notata","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"596","Gnaphalium_hoppeanum","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"597","Gnaphalium_supinum","0",1,1,1,1,1,0,1,0,1,1,0,0,0,0,1,0,1,1,1
"598","Goodyera_repens","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"599","Gymnadenia_conopsea","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"600","Gymnadenia_nigra","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"601","Gymnocarpium_dryopteris","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"602","Gymnocarpium_robertianum","0",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"603","Gypsophila_repens","0",1,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0
"604","Hedera_helix","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"605","Hedysarum_hedysaroides","1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"606","Helianthemum_apenninum","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"607","Helianthemum_grandiflorum","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"608","Helianthemum_nummularium","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"609","Helianthemum_oelandicum","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"610","Helictotrichon_pratense","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"611","Helictotrichon_pubescens","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"612","Helictotrichon_sedenense","0",1,1,1,1,0,1,0,1,0,0,0,0,0,1,1,0,1,1,1
"613","Helictotrichon_sempervirens","1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"614","Helictotrichon_versicolor","0",1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1
"615","Helleborus_foetidus","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"616","Hepatica_nobilis","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"617","Heracleum_sphondylium","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"618","Herniaria_alpina","0",1,1,1,1,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0
"619","Herniaria_hirsuta","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"620","Herniaria_incana","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"621","Herorchis_morio","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"622","Hieracium_alpinum","0",1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"623","Hieracium_amplexicaule","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"624","Hieracium_antarcticum","0",1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"625","Hieracium_argillaceum","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"626","Hieracium_aurantiacum","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"627","Hieracium_bifidum","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"628","Hieracium_cymosum","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"629","Hieracium_diaphanoides","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"630","Hieracium_glaucinum","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"631","Hieracium_intybaceum","1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"632","Hieracium_inuloides","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"633","Hieracium_juranum","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"634","Hieracium_lachenalii","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"635","Hieracium_lactucella","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"636","Hieracium_lawsonii","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"637","Hieracium_murorum","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"638","Hieracium_NA","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"639","Hieracium_niphobium","0",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"640","Hieracium_piliferum","0",1,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
"641","Hieracium_pilosella","0",1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"642","Hieracium_piloselloides","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"643","Hieracium_pilosum","0",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"644","Hieracium_praealtum","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"645","Hieracium_prenanthoides","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"646","Hieracium_sabaudum","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"647","Hieracium_schmidtii","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"648","Hieracium_umbellatum","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"649","Hieracium_umbrosum","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"650","Hieracium_valdepilosum","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"651","Hieracium_villosum","0",1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
"652","Himantoglossum_hircinum","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"653","Hippocrepis_comosa","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"654","Hippocrepis_emerus","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
