"","taxized","combinedname","Combined.Name","GENRE","x","ESPECE","RG","SUBSP.","END.","DIST.","NF","NG","NE","NI"
"69","Campanula cenisia","Campanula cenisia","Campanula cenisia","Campanula","","cenisia","","","End.","W-Alp.","118","1","1",NA
"70","Campanula cespitosa","Campanula cespitosa","Campanula cespitosa","Campanula","","cespitosa","","","Subend.","E-Alp.","118","1","38",NA
"71","Campanula elatinoides","Campanula elatinoides NA","Campanula elatinoides","Campanula","","elatinoides","","","End.","E-Alp.","118","1","21",NA
"72","Campanula excisa","Campanula excisa NA","Campanula excisa","Campanula","","excisa","","","End.","W-Alp.","118","1","39",NA
"73","Campanula lanceolata","Campanula lanceolata var. praesignis","Campanula praesignis","Campanula","","praesignis","","","End.","E-Alp.","118","1","31",NA
"74","Campanula longisepala","Campanula longisepala NA","Campanula longisepala","Campanula","","longisepala","","","Subend.","W-Alp.","118","1","33",NA
"75","Campanula macrorhiza","Campanula macrorhiza var. bertolae","Campanula bertolae","Campanula","","bertolae","","","End.","S-Alp.","118","1","34",NA
"76","Campanula morettiana","Campanula morettiana","Campanula morettiana","Campanula","","morettiana","","","End.","E-Alp.","118","1","20",NA
"77","Campanula petraea","Campanula petraea","Campanula petraea","Campanula","","petraea","","","End.","E-Alp.","118","1","13",NA
"78","Campanula pulla","Campanula pulla NA","Campanula pulla","Campanula","","pulla","","","End.","E-Alp.","118","1","41",NA
"79","Campanula rainerii","Campanula rainerii","Campanula raineri","Campanula","","raineri","","","End.","E-Alp.","118","1","3",NA
"80","Campanula rhomboidalis","Campanula rhomboidalis var. fritschii","Campanula fritschii","Campanula","","fritschii","","","End.","W-Alp.","118","1","32",NA
"81","Campanula rotundifolia","Campanula rotundifolia var. stenocodon","Campanula stenocodon","Campanula","","stenocodon","","","End.","W-Alp.","118","1","40",NA
"82","Carduus defloratus","Carduus defloratus NA","Carduus defloratus","Carduus","","defloratus","subsp.    ","crassifolius","End.?","E-Alp.","124","60","9","4"
"83","Carduus litigiosus","Carduus litigiosus NA","Carduus litigiosus","Carduus","","litigiosus","subsp.    ","horridissimus","Subend.","W-Alp.","124","60","6","2"
"84","Carduus NA","Carduus","Carduus aurosicus","Carduus","","aurosicus","","","End.","W-Alp.","124","60","2",NA
"85","Carduus nutans","Carduus nutans","Carduus nutans","Carduus","","nutans","subsp.    ","alpicola","End.","W-Alp.","124","60","1","2"
"86","Carex norvegica","Carex norvegica","Carex norvegica","Carex","","norvegica","subsp.    ","pusteriana","End.","E-Alp.","138","17","94","2"
"87","Centaurea NA","Centaurea","Centaurea jordaniana","Centaurea","","jordaniana","subsp.    ","aemilii","End.","W-Alp.","124","68","27","3"
"88","Centaurea rhaetica","Centaurea rhaetica NA","Centaurea rhaetica","Centaurea","","rhaetica","","","End.","E-Alp.","124","68","28",NA
"89","Centaurea uniflora","Centaurea uniflora subsp. nervosa","Centaurea nervosa","Centaurea","","nervosa","subsp.    ","ferdinandii","End.","W-Alp.","124","68","25","2"
"90","Cephalaria alpina","Cephalaria alpina","Cephalaria alpina","Cephalaria","","alpina","","","Subend.","W-Alp.","123","1","3",NA
"91","Cerastium arvense","Cerastium arvense","Cerastium lineare","Cerastium","","lineare","","","End.","W-Alp.","38","8","4",NA
"92","Cerastium carinthiacum","Cerastium carinthiacum NA","Cerastium carinthiacum","Cerastium","","carinthiacum","subsp.    ","austroalpinum","End.","E-Alp.","38","8","12","2"
"93","Cerastium julicum","Cerastium julicum NA","Cerastium julicum","Cerastium","","julicum","","","End.","E-Alp.","38","8","5",NA
"94","Cerastium pedunculatum","Cerastium pedunculatum NA","Cerastium pedunculatum","Cerastium","","pedunculatum","","","End.","Alp.","38","8","11",NA
"95","Cerastium subtriflorum","Cerastium subtriflorum NA","Cerastium subtriflorum","Cerastium","","subtriflorum","","","Subend.","E-Alp.","38","8","13",NA
"96","Chaerophyllum elegans","Chaerophyllum elegans NA","Chaerophyllum elegans","Chaerophyllum","","elegans","","","End.","W-Alp.","97","6","3",NA
"97","Chamaecytisus hirsutus","Chamaecytisus hirsutus NA","Chamaecytisus hirsutus","Chamaecytisus","","hirsutus","subsp.    ","pumilus","End.","W-Alp.","64","7","2","2"
"98","Chamaedrys lucida","Chamaedrys lucida","Teucrium lucidum","Teucrium","","lucidum","","","End.","W-Alp.","108","2","6",NA
"99","Chamerion fleischeri","Chamerion fleischeri","Epilobium fleischeri","Epilobium","","fleischeri","","","End.","Alp.","72","4","3",NA
"100","Chionanthula baldensis","Chionanthula baldensis","Carex baldensis","Carex","","baldensis","","","End.","E-Alp.","138","17","31",NA
"101","Cirsium carniolicum","Cirsium carniolicum NA","Cirsium carniolicum","Cirsium","","carniolicum","","","End.","E-Alp.","124","61","10",NA
"102","Cirsium spinosissimum","Cirsium spinosissimum","Cirsium spinosissimum","Cirsium","","spinosissimum","","","End.","Alp.","124","61","12",NA
"103","Cochlearia pyrenaica","Cochlearia pyrenaica","Cochlearia pyrenaica","Cochlearia","","pyrenaica","subsp.    ","excelsa","End.","E-Alp.","54","40","2","2"
"104","Coincya richeri","Coincya richeri","Coincya richeri","Coincya","","richeri","","","End.","W-Alp.","54","63","1",NA
"105","Corydalis lutea","Corydalis lutea NA","Corydalis lutea","Corydalis","","lutea","","","Subend.","E-Alp.","23","1","6",NA
"106","Crepis froelichiana","Crepis froelichiana NA","Crepis froelichiana","Crepis","","froelichiana","subsp.    ","froelichiana","End.","E-Alp.","124","97","18","1"
"107","Crepis NA","Crepis","Crepis rhaetica","Crepis","","rhaetica","","","End.","Alp.","124","97","6",NA
"108","Crepis terglouensis","Crepis terglouensis","Crepis terglouensis","Crepis","","terglouensis","","","End.","E-Alp.","124","97","3",NA
"109","Cytisus ardoinii","Cytisus ardoinii NA","Cytisus ardoinii","Cytisus","","ardoinii","","","End.","W-Alp.","64","6","4",NA
"110","Cytisus sauzeanus","Cytisus sauzeanus NA","Cytisus sauzeanus","Cytisus","","sauzeanus","","","End.","W-Alp.","64","6","5",NA
"111","Dactylis glomerata","Dactylis glomerata","Dactylis glomerata","Dactylis","","glomerata","subsp.    ","reichenbachii","End.","E-Alp.","139","9","1","3"
"112","Daphne NA","Daphne","Daphne reichsteinii","Daphne","x","reichsteinii","","","End.","E-Alp.","68","1","8",NA
"113","Daphne petraea","Daphne petraea","Daphne petraea","Daphne","","petraea","","","End.","E-Alp.","68","1","7",NA
"114","Daphne striata","Daphne striata","Daphne striata","Daphne","","striata","","","End.","Alp.","68","1","6",NA
"115","Delphinium dubium","Delphinium dubium","Delphinium dubium","Delphinium","","dubium","","","End.","Alp.","19","10","1",NA
"116","Delphinium elatum","Delphinium elatum","Delphinium elatum","Delphinium","","elatum","subsp.    ","austriacum","End.","E-Alp.","19","10","2","3"
"117","Descurainia tanacetifolia","Descurainia tanacetifolia","Hugueninia tanacetifolia","Hugueninia","","tanacetifolia","","","End.","W-Alp.","54","4","1",NA
"118","Dianthus alpinus","Dianthus alpinus NA","Dianthus alpinus","Dianthus","","alpinus","","","End.","E-Alp.","38","29","11",NA
"119","Dianthus carthusianorum","Dianthus carthusianorum","Dianthus carthusianorum","Dianthus","","carthusianorum","subsp.    ","capillifrons","Subend.","E-Alp.","38","29","5","3"
"120","Dianthus furcatus","Dianthus furcatus NA","Dianthus furcatus","Dianthus","","furcatus","subsp.    ","dissimilis","End.","W-Alp.","38","29","8","3"
"121","Dianthus pavonius","Dianthus pavonius NA","Dianthus pavonius","Dianthus","","pavonius","","","End.","W-Alp.","38","29","13",NA
"122","Dianthus sternbergii","Dianthus sternbergii NA","Dianthus sternbergii","Dianthus","","sternbergii","","","End.","E-Alp.","38","29","10",NA
"123","Dianthus subacaulis","Dianthus subacaulis NA","Dianthus subacaulis","Dianthus","","subacaulis","","","Subend.","W-Alp.","38","29","17",NA
"124","Doronicum cataractarum","Doronicum cataractarum NA","Doronicum cataractarum","Doronicum","","cataractarum","","","End.","E-Alp.","124","46","5",NA
"125","Doronicum clusii","Doronicum clusii","Doronicum clusii","Doronicum","","clusii","subsp.    ","clusii","End.?","Alp.?","124","46","8","1"
"126","Doronicum glaciale","Doronicum glaciale","Doronicum glaciale","Doronicum","","glaciale","subsp.    ","calcareum","End.","E-Alp.","124","46","7","2"
"127","Draba aizoides","Draba aizoides","Draba aizoides","Draba","","aizoides","subsp.    ","beckeri","Subend.","E-Alp./Carpat.","54","37","1","2"
"128","Draba dolomitica","Draba dolomitica","Draba dolomitica","Draba","","dolomitica","","","End.","E-Alp.","54","37","4",NA
"129","Draba hoppeana","Draba hoppeana","Draba hoppeana","Draba","","hoppeana","","","End.","Alp.","54","37","2",NA
"130","Draba ladina","Draba ladina","Draba ladina","Draba","","ladina","","","End.","E-Alp.","54","37","7",NA
"131","Draba sauteri","Draba sauteri","Draba sauteri","Draba","","sauteri","","","End.","E-Alp.","54","37","6",NA
"132","Draba stellata","Draba stellata","Draba stellata","Draba","","stellata","","","End.","E-Alp.","54","37","8",NA
"133","Draba thomasii","Draba thomasii","Draba thomasii","Draba","","thomasii","","","End.?","Alp./(Cauc.?)","54","37","16",NA
"134","Edritria ferruginea","Edritria ferruginea","Carex ferruginea","Carex","","ferruginea","subsp.    ","austroalpina","End.","E-Alp.","138","17","83","2"
"135","Ephedra distachya","Ephedra distachya subsp. helvetica","Ephedra helvetica","Ephedra","","helvetica","","","End.?","W-Alp.","13","1","2",NA
"136","Erigeron glabratus","Erigeron glabratus subsp. candidus","Erigeron candidus","Erigeron","","candidus","","","End.","E-Alp.","124","6","10",NA
"137","Erigeron neglectus","Erigeron neglectus NA","Erigeron neglectus","Erigeron","","neglectus","","","End.","Alp.","124","6","7",NA
"138","Erodium rodiei","Erodium rodiei NA","Erodium rodiei","Erodium","","rodiei","","","End.","W-Alp.","93","2","4",NA
"139","Eryngium spinalba","Eryngium spinalba NA","Eryngium spinalba","Eryngium","","spinalba","","","End.","W-Alp.","97","5","2",NA
"140","Erysimum amurense","Erysimum amurense","Erysimum aurantiacum","Erysimum","","aurantiacum","","","End.","E-Alp.","54","11","3",NA
"141","Erysimum jugicola","Erysimum jugicola NA","Erysimum jugicola","Erysimum","","jugicola","","","End.","W-Alp.","54","11","5",NA
"142","Erysimum montosicolum","Erysimum montosicolum","Erysimum montosicola","Erysimum","","montosicola","","","End.","W-Alp.","54","11","4",NA
"143","Erysimum nevadense","Erysimum nevadense subsp. collisparsum","Erysimum burnatii","Erysimum","","burnatii","","","End.","W-Alp.","54","11","7",NA
"144","Erysimum rhaeticum","Erysimum rhaeticum","Erysimum rhaeticum","Erysimum","","rhaeticum","","","End.?","Alp.","54","11","6",NA
"145","Euphorbia ariensis","Euphorbia ariensis","Euphorbia triflora","Euphorbia","","triflora","subsp.    ","kerneri","End.","E-Alp.","80","3","31","1"
"146","Euphorbia gayi","Euphorbia gayi var. variabilis","Euphorbia variabilis","Euphorbia","","variabilis","","","End.","E-Alp.","80","3","34",NA
"147","Euphorbia variabilis","Euphorbia variabilis subsp. valliniana","Euphorbia valliniana","Euphorbia","","valliniana","","","End.","W-Alp.","80","3","33",NA
"148","Euphorbia villosa","Euphorbia villosa subsp. austriaca","Euphorbia austriaca","Euphorbia","","austriaca","","","End.","E-Alp.","80","3","8",NA
"149","Euphrasia christii","Euphrasia christii NA","Euphrasia christii","Euphrasia","","christii","","","End.","W-Alp.","114","22","8",NA
"150","Euphrasia cisalpina","Euphrasia cisalpina NA","Euphrasia cisalpina","Euphrasia","","cisalpina","","","End.","W-Alp.","114","22","9",NA
"151","Euphrasia inopinata","Euphrasia inopinata NA","Euphrasia inopinata","Euphrasia","","inopinata","","","End.","Alp.","114","22","11",NA
"152","Euphrasia portae","Euphrasia portae NA","Euphrasia portae","Euphrasia","","portae","","","Subend.","E-Alp.","114","22","15",NA
"153","Euphrasia sinuata","Euphrasia sinuata NA","Euphrasia sinuata","Euphrasia","","sinuata","","","End.","Alp.","114","22","12",NA
