"","taxized","combinedname","Combined.Name","GENRE","x","ESPECE","RG","SUBSP.","END.","DIST.","NF","NG","NE","NI"
"392","Valeriana celtica","Valeriana celtica NA","Valeriana celtica","Valeriana","","celtica","subsp.    ","celtica","End.","W-Alp.","122","2","14","1"
"393","Valeriana elongata","Valeriana elongata NA","Valeriana elongata","Valeriana","","elongata","","","Subend.","E-Alp.","122","2","15",NA
"394","Valeriana NA","Valeriana","Valeriana versifolia","Valeriana","","versifolia","","","End.?","Alp.?","122","2","5",NA
"395","Veronica allionii","Veronica allionii NA","Veronica allionii","Veronica","","allionii","","","End.","W-Alp.","114","17","14",NA
"396","Veronica chamaedrys","Veronica chamaedrys","Veronica chamaedrys","Veronica","","chamaedrys","subsp.    ","micans","End.?","E-Alp.","114","17","15","3"
"397","Viola calcarata","Viola calcarata NA","Viola calcarata","Viola","","calcarata","subsp.    ","calcarata","Subend.","W-Alp.","49","1","27","1"
"398","Viola NA","Viola","Viola cenisia","Viola","","cenisia","","","End.","W-Alp.","49","1","22",NA
"399","Viola pinnata","Viola pinnata NA","Viola pinnata","Viola","","pinnata","","","Subend.","Alp.","49","1","19",NA
"400","Wahlenbergia elatines","Wahlenbergia elatines","Campanula elatines","Campanula","","elatines","","","End.","W-Alp.","118","1","22",NA
"401","Zahlbrucknera paradoxa","Zahlbrucknera paradoxa","Saxifraga paradoxa","Saxifraga","","paradoxa","","","End.","E-Alp.","62","1","38",NA
