Combined Name,GENRE,x,ESPECE,RG,SUBSP.,END.,DIST.,NF,NG,NE,NI
Coincya richeri,Coincya,,richeri,,,End.,W-Alp.,54,63,1,
Corydalis lutea,Corydalis,,lutea,,,Subend.,E-Alp.,23,1,6,
Crepis froelichiana,Crepis,,froelichiana,subsp.    ,froelichiana,End.,E-Alp.,124,97,18,1
Crepis rhaetica,Crepis,,rhaetica,,,End.,Alp.,124,97,6,
Crepis terglouensis,Crepis,,terglouensis,,,End.,E-Alp.,124,97,3,
Cytisus ardoinii,Cytisus,,ardoinii,,,End.,W-Alp.,64,6,4,
Cytisus emeriflorus,Cytisus,,emeriflorus,,,End.,E-Alp.,64,6,3,
Cytisus sauzeanus,Cytisus,,sauzeanus,,,End.,W-Alp.,64,6,5,
Dactylis glomerata,Dactylis,,glomerata,subsp.    ,reichenbachii,End.,E-Alp.,139,9,1,3
Daphne petraea,Daphne,,petraea,,,End.,E-Alp.,68,1,7,
Daphne reichsteinii,Daphne,x,reichsteinii,,,End.,E-Alp.,68,1,8,
Daphne striata,Daphne,,striata,,,End.,Alp.,68,1,6,
Delphinium dubium,Delphinium,,dubium,,,End.,Alp.,19,10,1,
Delphinium elatum,Delphinium,,elatum,subsp.    ,austriacum,End.,E-Alp.,19,10,2,3
Delphinium elatum,Delphinium,,elatum,subsp.    ,helveticum,End.,W-Alp.,19,10,2,2
Dianthus alpinus,Dianthus,,alpinus,,,End.,E-Alp.,38,29,11,
Dianthus carthusianorum,Dianthus,,carthusianorum,subsp.    ,capillifrons,Subend.,E-Alp.,38,29,5,3
Dianthus carthusianorum,Dianthus,,carthusianorum,subsp.    ,vaginatus,End.,Alp.,38,29,5,5
Dianthus furcatus,Dianthus,,furcatus,subsp.    ,dissimilis,End.,W-Alp.,38,29,8,3
Dianthus furcatus,Dianthus,,furcatus,subsp.    ,furcatus,End.,W-Alp.,38,29,8,1
Dianthus furcatus,Dianthus,,furcatus,subsp.    ,lereschii,End.,W-Alp.,38,29,8,2
Dianthus pavonius,Dianthus,,pavonius,,,End.,W-Alp.,38,29,13,
Dianthus sternbergii,Dianthus,,sternbergii,,,End.,E-Alp.,38,29,10,
Dianthus subacaulis,Dianthus,,subacaulis,,,Subend.,W-Alp.,38,29,17,
Doronicum cataractarum,Doronicum,,cataractarum,,,End.,E-Alp.,124,46,5,
Doronicum clusii,Doronicum,,clusii,subsp.    ,clusii,End.?,Alp.?,124,46,8,1
Doronicum glaciale,Doronicum,,glaciale,subsp.    ,calcareum,End.,E-Alp.,124,46,7,2
Doronicum glaciale,Doronicum,,glaciale,subsp.    ,glaciale,End.,E-Alp.,124,46,7,1
Draba aizoides,Draba,,aizoides,subsp.    ,beckeri,Subend.,E-Alp./Carpat.,54,37,1,2
Draba dolomitica,Draba,,dolomitica,,,End.,E-Alp.,54,37,4,
Draba hoppeana,Draba,,hoppeana,,,End.,Alp.,54,37,2,
Draba ladina,Draba,,ladina,,,End.,E-Alp.,54,37,7,
