code_cbna;G_SP
17805;Cystopteris dickieana
17806;Cystopteris fragilis
6848;Cytisophyllum sessilifolium
15813;Dactylis glomerata
14891;Dactylorhiza alpestris
14882;Dactylorhiza angustata
14885;Dactylorhiza cruenta
14915;Dactylorhiza fistulosa
40445;Dactylorhiza fuchsii
14906;Dactylorhiza latifolia
14908;Dactylorhiza maculata
14915;Dactylorhiza majalis
14906;Dactylorhiza sambucina
14877;Dactylorhiza viridis
15832;Danthonia decumbens
13027;Daphne alpina
13029;Daphne cneorum
13036;Daphne laureola
13039;Daphne mezereum
321;Daucus carota
15840;Deschampsia cespitosa
15851;Deschampsia flexuosa
4019;Descurainia sophia
4158;Descurainia tanacetifolia
5090;Dianthus carthusianorum
5095;Dianthus caryophyllus
40520;Dianthus deltoides
5130;Dianthus hyssopifolius
5139;Dianthus pavonius
5174;Dianthus sylvestris
12371;Digitalis grandiflora
12374;Digitalis lutea
1668;Dittrichia graveolens
1680;Doronicum grandiflorum
1684;Doronicum pardalianches
6908;Dorycnium pentaphyllum
4033;Draba aizoides
4038;Draba dubia
4041;Draba fladnizensis
4054;Draba siliquosa
8503;Dracocephalum austriacum
8504;Dracocephalum ruyschiana
6382;Drosera rotundifolia
11135;Dryas octopetala
17587;Dryopteris dilatata
17588;Dryopteris expansa
17589;Dryopteris filix-mas
17589;Dryopteris filix.mas
17605;Dryopteris villarii
1692;Echinops ritro
1693;Echinops sphaerocephalus
3446;Echium vulgare
40481;Eleocharis mamillata
14188;Eleocharis palustris
14193;Eleocharis quinqueflora
14194;Eleocharis uniglumis
15929;Elytrigia campestris
15934;Elytrigia intermedia
15944;Elytrigia repens
6413;Empetrum nigrum
6413;Empetrum nigrum hermaphroditum
9265;Epilobium alpestre
9269;Epilobium alsinifolium
9270;Epilobium anagallidifolium
9271;Epilobium angustifolium
9273;Epilobium collinum
9275;Epilobium dodonaei
9276;Epilobium dodonaei fleischeri
9280;Epilobium hirsutum
9283;Epilobium montanum
9290;Epilobium palustre
9291;Epilobium parviflorum
14935;Epipactis atrorubens
14938;Epipactis helleborine
14950;Epipactis palustris
14960;Epipogium aphyllum
17641;Equisetum arvense
17643;Equisetum fluviatile
17645;Equisetum hyemale
17650;Equisetum palustre
17656;Equisetum variegatum
40574;Equisetum x
1695;Erigeron acer
1697;Erigeron acer angulosus
1695;Erigeron acris
1699;Erigeron alpinus
1706;Erigeron annuus
1711;Erigeron atticus
1719;Erigeron gaudinii
1720;Erigeron glabratus
1726;Erigeron neglectus
1735;Erigeron uniflorus
12379;Erinus alpinus
14205;Eriophorum angustifolium
14204;Eriophorum latifolium
14205;Eriophorum polystachion
14209;Eriophorum scheuchzeri
0;Eritrichium nanum
3449;Eritrichium nanum nanum
8124;Erodium cicutarium
4067;Erophila verna
4081;Erucastrum nasturtiifolium
362;Eryngium alpinum
365;Eryngium campestre
4114;Erysimum jugicola
4119;Erysimum ochroleucum
4127;Erysimum rhaeticum
4117;Erysimum ruscinonense
4132;Erysimum virgatum
5605;Euonymus europaeus
5608;Euonymus latifolius
1742;Eupatorium cannabinum
6529;Euphorbia cyparissias
40444;Euphorbia dulcis
40443;Euphorbia exigua
6548;Euphorbia flavicoma
6559;Euphorbia helioscopia
12382;Euphrasia alpina
40442;Euphrasia drosocalyx
12391;Euphrasia hirtella
40442;Euphrasia minima
40442;Euphrasia minima minima
12410;Euphrasia officinalis
12419;Euphrasia pectinata
12420;Euphrasia picta
12425;Euphrasia salisburgensis
12427;Euphrasia stricta
5605;Evonymus europaeus
5608;Evonymus latifolius
7895;Fagus sylvatica
10013;Fallopia convolvulus
15977;Festuca acuminata
15980;Festuca alpina
15985;Festuca altissima
15993;Festuca arundinacea
16019;Festuca cinerea
16062;Festuca flavescens
16070;Festuca gigantea
16077;Festuca halleri
16078;Festuca halleri halleri
16087;Festuca heterophylla
16101;Festuca laevigata
16102;Festuca laevigata crassifolia
16120;Festuca marginata
40272;Festuca melanopsis
16136;Festuca nigrescens
16136;Festuca nigrescens nigrescens
16193;Festuca paniculata
16203;Festuca pratensis
16216;Festuca quadriflora
16219;Festuca rubra
16277;Festuca valesiaca
16289;Festuca violacea
16289;Festuca violacea violacea
2611;Filago arvensis
11139;Filipendula ulmaria
11142;Filipendula vulgaris
4136;Fourraea alpina
11151;Fragaria vesca
10889;Frangula dodonei
9369;Fraxinus excelsior
5861;Fumana procumbens
14782;Gagea fragifera
14782;Gagea liotardii
14785;Gagea lutea
14810;Gagea serotina
8519;Galeopsis angustifolia
8518;Galeopsis ladanum
8533;Galeopsis tetrahit
11801;Galium anisophyllon
11803;Galium aparine
11807;Galium aristatum
11818;Galium boreale
11828;Galium corrudifolium
11845;Galium glaucum
11853;Galium lucidum
11856;Galium megalospermum
11860;Galium mollugo
11873;Galium obliquum
11874;Galium odoratum
11875;Galium palustre
11888;Galium pseudohelveticum
11889;Galium pumilum
11902;Galium rotundifolium
11804;Galium spurium
11916;Galium sylvaticum
11929;Galium timeroyi
11942;Galium verum
6941;Genista cinerea
6966;Genista pilosa
6979;Genista sagittalis
8013;Gentiana acaulis
8017;Gentiana alpina
8022;Gentiana angustifolia
8023;Gentiana asclepiadea
8026;Gentiana bavarica
8031;Gentiana brachyphylla
8048;Gentiana cruciata
8090;Gentiana delphinensis
8059;Gentiana lutea
8061;Gentiana nivalis
8066;Gentiana orbicularis
8069;Gentiana pneumonanthe
8075;Gentiana punctata
8090;Gentiana verna
8097;Gentianella campestris
8100;Gentianella ciliata
8104;Gentianella tenella
8166;Geranium argenteum
8174;Geranium columbinum
8185;Geranium lucidum
8190;Geranium molle
8193;Geranium nodosum
8197;Geranium phaeum
8204;Geranium pyrenaicum
8206;Geranium rivulare
8207;Geranium robertianum
8213;Geranium rotundifolium
8214;Geranium sanguineum
8218;Geranium sylvaticum
11160;Geum montanum
11162;Geum reptans
11163;Geum rivale
11166;Geum urbanum
8539;Glechoma hederacea
8238;Globularia bisnagarica
8239;Globularia cordifolia
16317;Glyceria fluitans
16327;Glyceria notata
2646;Gnaphalium hoppeanum
2648;Gnaphalium supinum
2649;Gnaphalium sylvaticum
14963;Goodyera repens
14965;Gymnadenia conopsea
40486;Gymnadenia corneliana
40485;Gymnadenia nigra
40487;Gymnadenia rhellicani
17821;Gymnocarpium dryopteris
17822;Gymnocarpium robertianum
5185;Gypsophila repens
721;Hedera helix
7006;Hedysarum boutignyanum
7017;Hedysarum hedysaroides
5883;Helianthemum apenninum
5924;Helianthemum grandiflorum
5924;Helianthemum nummularium
5937;Helianthemum oelandicum
16351;Helictotrichon parlatorei
16358;Helictotrichon sedenense
16358;Helictotrichon sedenense sedenense
16359;Helictotrichon sempervirens
10559;Helleborus foetidus
10572;Hepatica nobilis
419;Heracleum sphondylium
8366;Herniaria alpina
8377;Herniaria hirsuta
8379;Herniaria incana
1865;Hieracium alpinum
1869;Hieracium amplexicaule
1871;Hieracium andryaloides
2080;Hieracium argillaceum
1887;Hieracium aurantiacum
2263;Hieracium bifidum
2263;Hieracium caesioides
2280;Hieracium chondrillifolium
1977;Hieracium cydoniifolium
1978;Hieracium cymosum
1990;Hieracium diaphanoides
2035;Hieracium glaciale
2040;Hieracium glaucinum
2066;Hieracium intybaceum
2068;Hieracium inuloides
2075;Hieracium juranum
2080;Hieracium lachenalii
2083;Hieracium lactucella
2105;Hieracium lawsonii
2144;Hieracium murorum
2379;Hieracium niphobium
2178;Hieracium pedadifolium
2180;Hieracium peleterianum
2197;Hieracium piliferum
2199;Hieracium pilosella
2209;Hieracium piloselloides
40420;Hieracium pilosum
2209;Hieracium praealtum
2225;Hieracium prenanthoides
2089;Hieracium ramosissimum
2256;Hieracium rapunculoides
2346;Hieracium sabaudum
2279;Hieracium schmidtii
2280;Hieracium scorzonerifolium
2327;Hieracium tomentosum
2332;Hieracium ucenicum
2333;Hieracium umbellatum
2334;Hieracium umbrosum
2335;Hieracium urticaceum
2338;Hieracium valdepilosum
2343;Hieracium villosum
14974;Himantoglossum hircinum
7033;Hippocrepis comosa
7035;Hippocrepis emerus
6389;Hippophae rhamnoides
16368;Holcus lanatus
5191;Holosteum umbellatum
2393;Homogyne alpina
16372;Hordelymus europaeus
16387;Hordeum marinum
4160;Hugueninia tanacetifolia
4806;Humulus lupulus
40530;Huperzia selago
40530;Huperzia selago selago
6111;Hylotelephium anacampseros
6175;Hylotelephium telephium
12923;Hyoscyamus niger
8323;Hypericum hirsutum
8331;Hypericum maculatum
8335;Hypericum montanum
8339;Hypericum perforatum
8351;Hypericum richeri
2407;Hypochaeris maculata
2410;Hypochaeris radicata
8547;Hyssopus officinalis
4207;Iberis pinnata
715;Ilex aquifolium
3298;Impatiens glandulifera
438;Imperatoria ostruthium
2419;Inula conyza
2431;Inula montana
4234;Isatis tinctoria
2847;Jacobaea erucifolia
2867;Jacobaea incana
4718;Jasione montana
8435;Juglans nigra
8436;Juglans regia
14569;Juncus alpinoarticulatus
14575;Juncus arcticus
14576;Juncus articulatus
14585;Juncus bufonius
14600;Juncus compressus
14605;Juncus effusus
14607;Juncus filiformis
14616;Juncus inflexus
14617;Juncus jacquini
14660;Juncus trifidus
14664;Juncus triglumis
17297;Juniperus communis
17314;Juniperus communis nana
17313;Juniperus sabina
17314;Juniperus sibirica
4238;Kandis perfoliata
4240;Kernera saxatilis
6273;Knautia arvensis
6285;Knautia dipsacifolia
6285;Knautia maxima
6311;Knautia timeroyi
14228;Kobresia myosuroides
0;Kobresia Willd.
16420;Koeleria cenisia
16434;Koeleria macrantha
16434;Koeleria pyramidata
16439;Koeleria vallesiana
7042;Laburnum alpinum
7043;Laburnum anagyroides
1455;Lactuca alpina
2638;Lactuca muralis
2463;Lactuca perennis
2474;Lactuca serriola
8556;Lamium amplexicaule
8563;Lamium galeobdolon
8570;Lamium garganicum
8576;Lamium maculatum
8577;Lamium purpureum
3460;Lappula squarrosa
2491;Lapsana communis
17356;Larix decidua
445;Laserpitium gallicum
446;Laserpitium halleri
449;Laserpitium latifolium
457;Laserpitium siler
7063;Lathyrus heterophyllus
7074;Lathyrus latifolius
7077;Lathyrus linifolius
7096;Lathyrus occidentalis
7096;Lathyrus ochraceus
7107;Lathyrus pratensis
7116;Lathyrus sphaericus
7117;Lathyrus sylvestris
7128;Lathyrus vernus
8579;Lavandula angustifolia
2501;Leontodon autumnalis
2504;Leontodon crispus
2508;Leontodon hirtus
2509;Leontodon hispidus
2518;Leontodon hyoseroides
2522;Leontodon montanus
2527;Leontodon pyrenaicus
2527;Leontodon pyrenaicus helveticus
2541;Leontopodium alpinum
2541;Leontopodium nivale
2543;Leucanthemopsis alpina
2548;Leucanthemum adustum
2552;Leucanthemum atratum
2548;Leucanthemum cuneifolium
2581;Leucanthemum pallens
2570;Leucanthemum vulgare
2605;Leuzea conifera
9387;Ligustrum vulgare
14801;Lilium bulbiferum
14805;Lilium martagon
14977;Limodorum abortivum
12460;Linaria alpina
12460;Linaria alpina alpina
12462;Linaria angustissima
12492;Linaria repens
12498;Linaria simplex
9021;Linum alpinum
9042;Linum catharticum
9068;Linum suffruticosum
9070;Linum tenuifolium
14982;Listera ovata
3466;Lithospermum arvense
3477;Lithospermum incrassatum
3475;Lithospermum officinale
14810;Lloydia serotina
16465;Lolium perenne
40539;Lomelosia graminifolia
4824;Lonicera alpigena
4826;Lonicera caerulea
4829;Lonicera etrusca
4832;Lonicera nigra
4837;Lonicera xylosteum
7139;Lotus alpinus
7147;Lotus corniculatus
7167;Lotus delortii
7175;Lotus maritimus
4279;Lunaria annua
4281;Lunaria rediviva
14667;Luzula alpina
14668;Luzula alpinopilosa
14669;Luzula alpinopilosa alpinopilosa
14671;Luzula campestris
14687;Luzula lutea
14690;Luzula luzulina
14697;Luzula multiflora
14703;Luzula nivea
14706;Luzula nutans
14713;Luzula sieberi
14715;Luzula spicata
14721;Luzula sudetica
14722;Luzula sylvatica
8595;Lycopus europaeus
10237;Lysimachia arvensis
10323;Lysimachia nemorum
10328;Lysimachia vulgaris
9089;Lythrum salicaria
13809;Maianthemum bifolium
11174;Malus domestica
11176;Malus sylvestris
9144;Malva alcea
9157;Malva moschata
2620;Matricaria discoidea
7270;Medicago lupulina
7276;Medicago minima
7319;Medicago sativa
40239;Melampyrum italicum
40617;Melampyrum nemorosum
12536;Melampyrum sylvaticum
12540;Melampyrum vaudense
16486;Melica ciliata
16496;Melica nutans
16504;Melica uniflora
7347;Melilotus albus
7358;Melilotus officinalis
8611;Melittis melissophyllum
8613;Mentha aquatica
8620;Mentha arvensis
8627;Mentha longifolia
6653;Mercurialis perennis
479;Meum athamanticum
16509;Milium effusum
5242;Minuartia laricifolia
5242;Minuartia laricifolia laricifolia
5253;Minuartia recurva
5254;Minuartia rostrata
5262;Minuartia rupestris
5263;Minuartia sedoides
5268;Minuartia verna
5269;Minuartia villarii
5280;Moehringia muscosa
5288;Moehringia trinervia
16522;Molinia caerulea
6457;Moneses uniflora
6459;Monotropa hypopitys
40544;Murbeckiella pinnatifida
40544;Murbeckiella pinnatifida pinnatifida
14371;Muscari comosum
14375;Muscari neglectum
40431;Mutellina adonidifolia
2638;Mycelis muralis
3490;Myosotis alpestris
3495;Myosotis arvensis
3505;Myosotis corsicana
3508;Myosotis decumbens
3543;Myosotis ramosissima
3558;Myosotis stricta
13003;Myricaria germanica
13634;Narcissus poeticus
16538;Nardus stricta
4328;Nasturtium officinale
40355;Neotinea ustulata
14989;Neottia nidus-avis
8685;Nepeta nepetella
8686;Nepeta nuda
4343;Noccaea brachypetala
4345;Noccaea caerulescens
4356;Noccaea rotundifolia
40151;Odontites glutinosus
12557;Odontites lanceolatus
12560;Odontites luteus
40548;Odontites viscosus
2646;Omalotheca hoppeana
2647;Omalotheca norvegica
2648;Omalotheca supina
2649;Omalotheca sylvatica
7378;Onobrychis montana
7384;Onobrychis saxatilis
7387;Onobrychis viciifolia
7404;Ononis cristata
7407;Ononis fruticosa
7414;Ononis natrix
7419;Ononis pusilla
7427;Ononis rotundifolia
7431;Ononis spinosa
17737;Ophioglossum vulgatum
15043;Ophrys fuciflora
15057;Ophrys insectifera
15021;Ophrys litigiosa
14863;Orchis anthropophora
15156;Orchis mascula
15162;Orchis militaris
15173;Orchis pallens
15187;Orchis purpurea
40157;Oreoselinum nigrum
8697;Origanum vulgare
508;Orlaya grandiflora
14378;Ornithogalum angustifolium
14399;Ornithogalum umbellatum
12586;Orobanche caryophyllacea
12604;Orobanche laserpitii-sileris
12594;Orobanche major
12623;Orobanche ozanonis
12629;Orobanche purpurea
12651;Orobanche teucrii
6463;Orthilia secunda
9402;Oxalis acetosella
9419;Oxalis fontana
10019;Oxyria digyna
7478;Oxytropis amethystea
7479;Oxytropis campestris
7480;Oxytropis fetida
7486;Oxytropis halleri
7489;Oxytropis helvetica
7490;Oxytropis jacquini
7491;Oxytropis lapponica
7500;Oxytropis pilosa
40169;Pachypleurum mutellinoides
9443;Paeonia officinalis
9545;Papaver alpinum
9545;Papaver aurantiacum
9550;Papaver dubium
13763;Paradisea liliastrum
17158;Paris quadrifolia
40551;Parnassia palustris
8410;Paronychia kapela
8415;Paronychia polygonifolia
515;Pastinaca sativa
12660;Pedicularis asparagoides
12662;Pedicularis cenisia
