"","X","ntaxa","obs","rand.mean","rand.sd","obs.rank","obs.z","obs.p","runs","summits","metric","clade","sig","pool"
"76",80,2,73.188451,72.9463391241241,17.5529843875057,249,0.0137932029409321,0.249,999,"Choisy","mntd","Lamiales",0,"Ecrins NP"
"77",82,3,75.80474,65.9856723927261,15.3276731723452,598.5,0.640610449927251,0.5985,999,"La Meije","mntd","Lamiales",0,"Ecrins NP"
"78",83,8,34.60029875,49.0311520218969,9.69234365748677,72,-1.48889203497751,0.072,999,"Lauvitel","mntd","Lamiales",0,"Ecrins NP"
"79",84,5,62.0815022,57.1384721419419,12.7078115089911,659,0.388975714233778,0.659,999,"Muraillette","mntd","Lamiales",0,"Ecrins NP"
"80",85,4,60.25545,61.1525936689189,13.8469528845183,481,-0.0647899705011623,0.481,999,"Occidentale Ailefroide","mntd","Lamiales",0,"Ecrins NP"
"81",86,6,48.8386598333333,54.4043521980314,11.4494848827491,303,-0.48610853865433,0.303,999,"Olan","mntd","Lamiales",0,"Ecrins NP"
"82",87,2,67.428088,73.6566030730731,18.0216898951078,203.5,-0.345612154538508,0.2035,999,"Pelvoux","mntd","Lamiales",0,"Ecrins NP"
"83",88,16,23.4475326875,36.5356577344845,6.14714406235758,21,-2.12913914400192,0.021,999,"Persistent","mntd","Lamiales",1,"Ecrins NP"
"84",89,2,81.03732,73.0366491481481,18.2382418121209,874,0.438675555147795,0.874,999,"Plat de la Selle","mntd","Lamiales",0,"Ecrins NP"
"85",90,9,45.3611046666667,46.3627551220109,9.51017483231349,444,-0.105324084257721,0.444,999,"Rateau","mntd","Lamiales",0,"Ecrins NP"
"86",91,11,41.2954855454545,42.7070196607517,8.27091936496907,435,-0.170662299196819,0.435,999,"Rocher de la Selle","mntd","Lamiales",0,"Ecrins NP"
"87",92,5,69.9099484,57.0021847307307,12.318413417002,825,1.04784303240334,0.825,999,"Rouies","mntd","Lamiales",0,"Ecrins NP"
"88",93,6,70.5804816666667,54.1202196946947,11.2360019494693,933,1.46495720150257,0.933,999,"Sirac","mntd","Lamiales",0,"Ecrins NP"
"89",94,21,24.5402206666667,32.5159330683541,4.94481463629774,54,-1.61294466796413,0.054,999,"Summits","mntd","Lamiales",0,"Ecrins NP"
"91",96,5,74.5181156,78.416634758959,20.9892518422556,395,-0.185738833773506,0.395,999,"Barre des Ecrins","mntd","Caryophyllales",0,"Ecrins NP"
"92",97,2,75.163557,120.92194452953,54.0928528745844,261,-0.84592298423641,0.261,999,"Brevoort","mntd","Caryophyllales",0,"Ecrins NP"
"93",98,3,73.497654,95.9203424017351,32.3301879532645,253.5,-0.693552676963976,0.2535,999,"Burlan","mntd","Caryophyllales",0,"Ecrins NP"
"94",99,2,75.163557,119.944335091091,54.2185390630872,266,-0.825931108895896,0.266,999,"Choisy","mntd","Caryophyllales",0,"Ecrins NP"
"95",101,5,75.007397,80.1151597239239,21.6406833573202,390,-0.236025944263732,0.39,999,"La Meije","mntd","Caryophyllales",0,"Ecrins NP"
"96",102,14,52.3477052142857,53.260919005291,10.4019075383346,467,-0.0877929156397317,0.467,999,"Lauvitel","mntd","Caryophyllales",0,"Ecrins NP"
"97",103,7,88.3753592857143,70.7373539360789,16.1777675353901,863,1.09026200994982,0.863,999,"Muraillette","mntd","Caryophyllales",0,"Ecrins NP"
"98",104,4,86.2617385,85.8668275830831,25.0041349054391,512.5,0.0157938244378537,0.5125,999,"Occidentale Ailefroide","mntd","Caryophyllales",0,"Ecrins NP"
"99",105,4,124.93702575,84.2268893243243,25.0411931452873,947.5,1.62572670517248,0.9475,999,"Olan","mntd","Caryophyllales",0,"Ecrins NP"
"100",106,1,NA,NA,NA,NA,NA,NA,999,"Pelvoux","mntd","Caryophyllales",NA,"Ecrins NP"
"101",107,17,55.1041172352941,49.3179416449979,9.02532447525205,738,0.641104439642276,0.738,999,"Persistent","mntd","Caryophyllales",0,"Ecrins NP"
"102",108,2,76.088446,120.940087994995,52.7214083727562,341.5,-0.850729208102341,0.3415,999,"Plat de la Selle","mntd","Caryophyllales",0,"Ecrins NP"
"103",109,6,84.0065285,75.0338097649316,19.0696561397718,680,0.470523362838979,0.68,999,"Rateau","mntd","Caryophyllales",0,"Ecrins NP"
"104",110,15,34.9544004666667,51.5338942298298,9.58292508440374,41,-1.73010783420882,0.041,999,"Rocher de la Selle","mntd","Caryophyllales",1,"Ecrins NP"
"105",111,4,101.33435875,86.8978665245245,24.3462767356857,752,0.592965092042805,0.752,999,"Rouies","mntd","Caryophyllales",0,"Ecrins NP"
"106",112,7,74.8215394285714,70.4626044508795,16.7051367011322,602,0.260933810700067,0.602,999,"Sirac","mntd","Caryophyllales",0,"Ecrins NP"
"107",113,19,44.4506242105263,46.8974330341394,7.81206073777126,379,-0.31320913978341,0.379,999,"Summits","mntd","Caryophyllales",0,"Ecrins NP"
"109",115,40,275.315477865385,281.523849389901,18.1213657528328,378,-0.342599537429805,0.378,999,"Barre des Ecrins","mpd","Spermatophyta",0,"Ecrins NP"
"110",116,11,255.276635890909,281.75530363225,34.3910660367178,221,-0.769928670227067,0.221,999,"Brevoort","mpd","Spermatophyta",0,"Ecrins NP"
