"","taxized","combinedname","V1","aiguille du plat de la selle","barre des Ecrins","brèche de valsenestre","brèche du râteau","la meije","le râteau","le sirac","les rouies","l'olan","mont pelvoux","occidentale l'ailefroide","pic du clapier du peyron","pic ouest (le rateau)","pointe brevoort","pointes de burlan","rocher de la selle","signal du lauvitel","tour choisy","tête de la muraillette"
"20","Alopecurus magellanicus","Alopecurus magellanicus var. magellanicus","Alopecurus_alpinus","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1"
"21","Alsinanthus biflorus","Alsinanthus biflorus","Arenaria_biflora","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"22","Androsace carnea","Androsace carnea subsp. adfinis","Androsace_carnea","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0"
"23","Androsace obtusifolia","Androsace obtusifolia","Androsace_obtusifolia","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","1"
"24","Androsace vandellii","Androsace vandellii","Androsace_vandellii","0","0","0","0","2","0","0","1","0","0","0","0","1","0","0","0","0","0","0"
"25","Androsace vitaliana","Androsace vitaliana","Androsace_vitaliana","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"26","Anemonoides baldensis","Anemonoides baldensis","Anemone_baldensis","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","1","0","0"
"27","Antennaria carpatica","Antennaria carpatica","Antennaria_carpatica","0","1","0","0","0","0","0","0","0","0","2","0","0","0","0","3","0","0","0"
"28","Antennaria dioica","Antennaria dioica","Antennaria_dioica","0","0","0","0","0","1","1","0","0","1","0","0","0","0","0","3","0","0","1"
"29","Anthoxanthum odoratum","Anthoxanthum odoratum","Anthoxanthum_odoratum_nipponicum","1","1","1","0","0","2","1","0","1","1","0","0","0","0","0","5","1","0","0"
"30","Arabis alpina","Arabis alpina","Arabis_alpina","0","0","0","0","3","1","1","2","1","0","0","5","0","0","0","3","3","0","0"
"31","Aretia pubescens","Aretia pubescens","Androsace_pubescens","1","2","0","0","4","0","1","2","0","0","1","0","0","2","0","1","0","3","0"
"32","Armeria alpina","Armeria alpina","Armeria_alpina","0","0","1","0","0","0","0","0","1","0","0","6","0","0","0","15","5","0","2"
"33","Armeria arenaria","Armeria arenaria","Armeria_arenaria","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"34","Artemisia genipi","Artemisia genipi","Artemisia_genipi","0","0","0","0","0","0","1","1","0","0","1","0","0","0","0","0","0","0","0"
"35","Artemisia umbelliformis","Artemisia umbelliformis subsp. eriantha","Artemisia_umbelliformis_umbelliformis","0","0","0","0","2","1","0","6","2","0","1","6","0","3","1","8","4","3","2"
"36","Asplenium adiantum-nigrum","Asplenium adiantum-nigrum","Asplenium_adiantum.nigrum","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"37","Asplenium septentrionale","Asplenium septentrionale","Asplenium_septentrionale_septentrionale","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"38","Asplenium trichomanes","Asplenium trichomanes","Asplenium_trichomanes_trichomanes","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"39","Asplenium viride","Asplenium viride","Asplenium_ramosum","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0"
"40","Aster alpinus","Aster alpinus","Aster_alpinus","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","2"
