"","taxized","combinedname","species","persistant","underIce"
"Cerastium_alpinum","Cerastium alpinum","Cerastium alpinum","Cerastium_alpinum","8","0"
"Cerastium_arvense_strictum","Cerastium arvense","Cerastium arvense","Cerastium_arvense_strictum","25","3"
"Cerastium_arvense_suffruticosum","Cerastium arvense","Cerastium arvense","Cerastium_arvense_suffruticosum","1","0"
"Cerastium_cerastoides","Cerastium cerastoides","Cerastium cerastoides","Cerastium_cerastoides","5","0"
"Cerastium_latifolium","Cerastium latifolium","Cerastium latifolium","Cerastium_latifolium","7","0"
"Cerastium_pedunculatum","Cerastium pedunculatum","Cerastium pedunculatum","Cerastium_pedunculatum","15","8"
"Cerastium_uniflorum","Cerastium uniflorum","Cerastium uniflorum","Cerastium_uniflorum","16","2"
"Chenopodium_bonus-henricus","Chenopodium bonus-henricus","Chenopodium bonus-henricus","Chenopodium_bonus-henricus","3","1"
"Cirsium_spinosissimum","Cirsium spinosissimum","Cirsium spinosissimum","Cirsium_spinosissimum","14","1"
"Cotoneaster_integerrimus","Cotoneaster integerrimus","Cotoneaster integerrimus","Cotoneaster_integerrimus","1","0"
"Cotoneaster_jurana","Cotoneaster NA","Cotoneaster","Cotoneaster_jurana","1","1"
"Crepis_pygmaea_pygmaea","Crepis pygmaea","Crepis pygmaea","Crepis_pygmaea_pygmaea","0","1"
"Cryptogramma_crispa","Cryptogramma crispa","Cryptogramma crispa","Cryptogramma_crispa","6","1"
"Cystopteris_fragilis","Cystopteris fragilis","Cystopteris fragilis","Cystopteris_fragilis","6","1"
"Daphne_alpina","Daphne alpina","Daphne alpina","Daphne_alpina","1","0"
"Deschampsia_flexuosa","Deschampsia flexuosa","Deschampsia flexuosa","Deschampsia_flexuosa","3","2"
"Doronicum_grandiflorum","Doronicum grandiflorum","Doronicum grandiflorum","Doronicum_grandiflorum","22","1"
"Draba_aizoides","Draba aizoides","Draba aizoides","Draba_aizoides","7","0"
"Draba_dubia","Draba dubia","Draba dubia","Draba_dubia","19","1"
"Draba_fladnizensis","Draba fladnizensis","Draba fladnizensis","Draba_fladnizensis","11","0"
"Draba_siliquosa","Draba siliquosa","Draba siliquosa","Draba_siliquosa","1","0"
"Dryas_octopetala","Dryas octopetala","Dryas octopetala","Dryas_octopetala","3","1"
"Dryopteris_filix-mas","Dryopteris filix-mas","Dryopteris filix-mas","Dryopteris_filix-mas","7","3"
"Empetrum_nigrum_hermaphroditum","Empetrum nigrum","Empetrum nigrum","Empetrum_nigrum_hermaphroditum","1","0"
"Epilobium_alsinifolium","Epilobium alsinifolium","Epilobium alsinifolium","Epilobium_alsinifolium","0","1"
"Epilobium_anagallidifolium","Epilobium anagallidifolium","Epilobium anagallidifolium","Epilobium_anagallidifolium","11","1"
"Epilobium_dodonaei_fleischeri","Chamerion dodonaei","Chamerion dodonaei","Epilobium_dodonaei_fleischeri","4","6"
"Erigeron_acer_angulosus","Erigeron acer","Erigeron acer","Erigeron_acer_angulosus","0","1"
"Erigeron_alpinus","Trimorpha alpina","Trimorpha alpina","Erigeron_alpinus","6","0"
"Erigeron_gaudinii","Erigeron gaudinii","Erigeron gaudinii","Erigeron_gaudinii","1","0"
"Erigeron_glabratus","Erigeron glabratus","Erigeron glabratus","Erigeron_glabratus","4","0"
"Erigeron_uniflorus","Erigeron uniflorus","Erigeron uniflorus","Erigeron_uniflorus","15","1"
"Eritrichium_nanum_nanum","Eritrichium nanum","Eritrichium nanum","Eritrichium_nanum_nanum","17","0"
"Euphorbia_cyparissias","Euphorbia cyparissias","Euphorbia cyparissias","Euphorbia_cyparissias","5","1"
"Euphrasia_alpina","Euphrasia alpina","Euphrasia alpina","Euphrasia_alpina","1","0"
"Euphrasia_drosocalyx","Euphrasia drosocalyx","Euphrasia drosocalyx","Euphrasia_drosocalyx","1","0"
"Euphrasia_minima_minima","Euphrasia minima","Euphrasia minima","Euphrasia_minima_minima","11","2"
"Euphrasia_salisburgensis","Euphrasia salisburgensis","Euphrasia salisburgensis","Euphrasia_salisburgensis","2","0"
"Euphrasia_stricta","Euphrasia stricta","Euphrasia stricta","Euphrasia_stricta","0","3"
"Festuca_acuminata","Festuca acuminata","Festuca acuminata","Festuca_acuminata","7","1"
"Festuca_halleri_halleri","Festuca halleri","Festuca halleri","Festuca_halleri_halleri","35","4"
"Festuca_laevigata","Festuca laevigata","Festuca laevigata","Festuca_laevigata","0","1"
"Festuca_melanopsis","Festuca melanopsis","Festuca melanopsis","Festuca_melanopsis","2","0"
"Festuca_nigrescens","Festuca rubra","Festuca rubra subsp. commutata","Festuca_nigrescens","3","0"
"Festuca_nigrescens_nigrescens","Festuca rubra","Festuca rubra subsp. commutata","Festuca_nigrescens_nigrescens","1","0"
"Festuca_quadriflora","Vulpia quadriflora","Vulpia quadriflora","Festuca_quadriflora","10","0"
"Festuca_violacea","Festuca chalcophaea","Festuca chalcophaea","Festuca_violacea","27","4"
"Festuca_violacea_violacea","Festuca chalcophaea","Festuca chalcophaea","Festuca_violacea_violacea","24","9"
"Galium_pseudohelveticum","Galium pseudohelveticum","Galium pseudohelveticum","Galium_pseudohelveticum","19","2"
"Galium_pumilum","Galium pumilum","Galium pumilum","Galium_pumilum","1","0"
"Gentiana_alpina","Gentiana acaulis","Gentiana acaulis subsp. alpina","Gentiana_alpina","10","0"
"Gentiana_brachyphylla","Calathiana brachyphylla","Calathiana brachyphylla","Gentiana_brachyphylla","11","0"
"Gentiana_nivalis","Gentiana nivalis","Gentiana nivalis","Gentiana_nivalis","6","0"
"Gentiana_verna","Gentiana verna","Gentiana verna","Gentiana_verna","6","0"
"Gentianella_campestris","Gentianella campestris","Gentianella campestris","Gentianella_campestris","4","0"
"Geranium_rivulare","Geranium rivulare","Geranium rivulare","Geranium_rivulare","0","1"
"Geranium_sylvaticum","Geranium sylvaticum","Geranium sylvaticum","Geranium_sylvaticum","0","1"
"Geum_montanum","Parageum montanum","Parageum montanum","Geum_montanum","11","1"
"Geum_reptans","Geum reptans","Geum reptans","Geum_reptans","13","6"
"Geum_urbanum","Geum urbanum","Geum urbanum","Geum_urbanum","0","1"
"Globularia_cordifolia","Globularia cordifolia","Globularia cordifolia","Globularia_cordifolia","3","0"
"Gymnocarpium_robertianum","Gymnocarpium robertianum","Gymnocarpium robertianum","Gymnocarpium_robertianum","0","2"
"Gypsophila_repens","Gypsophila repens","Gypsophila repens","Gypsophila_repens","4","1"
"Helictotrichon_sedenense_sedenense","Helictotrichon sedenense","Helictotrichon sedenense","Helictotrichon_sedenense_sedenense","27","7"
"Herniaria_alpina","Herniaria alpina","Herniaria alpina","Herniaria_alpina","4","3"
"Hieracium_alpinum","Hieracium alpinum","Hieracium alpinum","Hieracium_alpinum","1","0"
"Hieracium_glaciale","Hieracium antarcticum","Hieracium antarcticum","Hieracium_glaciale","2","0"
"Hieracium_peleterianum","Pilosella peleteriana","Pilosella peleteriana","Hieracium_peleterianum","1","0"
"Hieracium_piliferum","Hieracium piliferum","Hieracium piliferum","Hieracium_piliferum","6","1"
"Hieracium_pilosella","Hieracium pilosella","Hieracium pilosella","Hieracium_pilosella","2","0"
"Hieracium_villosum","Hieracium villosum","Hieracium villosum","Hieracium_villosum","5","0"
"Homogyne_alpina","Homogyne alpina","Homogyne alpina","Homogyne_alpina","5","0"
"Huperzia_selago_selago","Huperzia selago","Huperzia selago","Huperzia_selago_selago","0","3"
"Hypericum_richeri","Hypericum richeri","Hypericum richeri","Hypericum_richeri","1","0"
"Imperatoria_ostruthium","Imperatoria ostruthium","Imperatoria ostruthium","Imperatoria_ostruthium","1","0"
"Juncus_trifidus","Juncus trifidus","Juncus trifidus","Juncus_trifidus","17","3"
"Juncus_triglumis","Juncus triglumis","Juncus triglumis","Juncus_triglumis","1","0"
"Juniperus_sabina","Juniperus sabina","Juniperus sabina","Juniperus_sabina","0","1"
"Juniperus_sibirica","Juniperus sibirica","Juniperus sibirica","Juniperus_sibirica","5","1"
"Kobresia_myosuroides","Kobresia myosuroides","Kobresia myosuroides","Kobresia_myosuroides","7","0"
"Leontodon_autumnalis","Leontodon autumnalis","Leontodon autumnalis","Leontodon_autumnalis","1","0"
"Leontodon_montanus","Taraxacum montanum","Taraxacum montanum","Leontodon_montanus","19","0"
"Leontodon_pyrenaicus_helveticus","Leontodon pyrenaicus","Leontodon pyrenaicus","Leontodon_pyrenaicus_helveticus","9","1"
"Leontopodium_alpinum","Leontopodium brachyactis","Leontopodium brachyactis","Leontopodium_alpinum","2","0"
"Leucanthemopsis_alpina","Leucanthemopsis alpina","Leucanthemopsis alpina","Leucanthemopsis_alpina","71","15"
"Linaria_alpina_alpina","Linaria alpina","Linaria alpina","Linaria_alpina_alpina","42","5"
"Lloydia_serotina","Lloydia serotina","Lloydia serotina","Lloydia_serotina","4","0"
"Lotus_alpinus","Lotus alpinus","Lotus alpinus","Lotus_alpinus","22","3"
"Luzula_alpinopilosa","Luzula alpinopilosa","Luzula alpinopilosa","Luzula_alpinopilosa","8","3"
"Luzula_alpinopilosa_alpinopilosa","Luzula alpinopilosa","Luzula alpinopilosa","Luzula_alpinopilosa_alpinopilosa","3","0"
"Luzula_lutea","Luzula lutea","Luzula lutea","Luzula_lutea","8","2"
"Luzula_nutans","Luzula nutans","Luzula nutans","Luzula_nutans","2","0"
"Luzula_sieberi","Luzula maxima","Luzula maxima subsp. sieberi","Luzula_sieberi","0","1"
"Luzula_spicata","Luzula spicata","Luzula spicata","Luzula_spicata","19","8"
"Minuartia_laricifolia_laricifolia","Minuartia laricifolia","Minuartia laricifolia","Minuartia_laricifolia_laricifolia","0","1"
"Minuartia_recurva","Minuartia oreina","Minuartia oreina","Minuartia_recurva","1","0"
"Minuartia_sedoides","Minuartia sedoides","Minuartia sedoides","Minuartia_sedoides","21","5"
"Minuartia_verna","Minuartia verna","Minuartia verna","Minuartia_verna","27","1"
"Murbeckiella_pinnatifida_pinnatifida","Murbeckiella pinnatifida","Murbeckiella pinnatifida","Murbeckiella_pinnatifida_pinnatifida","7","1"
"Myosotis_alpestris","Myosotis alpestris","Myosotis alpestris","Myosotis_alpestris","20","3"
"Myosotis_decumbens","Myosotis decumbens","Myosotis decumbens","Myosotis_decumbens","1","0"
"Nardus_stricta","Nardus stricta","Nardus stricta","Nardus_stricta","6","1"
"Noccaea_rotundifolia","Noccaea rotundifolia","Noccaea rotundifolia","Noccaea_rotundifolia","12","0"
"Omalotheca_hoppeana","Omalotheca NA","Omalotheca","Omalotheca_hoppeana","1","0"
"Omalotheca_norvegica","Gamochaeta norvegica","Gamochaeta norvegica","Omalotheca_norvegica","1","0"
"Omalotheca_supina","Gnaphalium supinum","Gnaphalium supinum","Omalotheca_supina","11","3"
"Oxyria_digyna","Oxyria digyna","Oxyria digyna","Oxyria_digyna","20","12"
"Oxytropis_campestris","Oxytropis campestris","Oxytropis campestris","Oxytropis_campestris","4","1"
"Oxytropis_helvetica","Oxytropis helvetica","Oxytropis helvetica","Oxytropis_helvetica","2","0"
"Pachypleurum_mutellinoides","Pachypleurum NA","Pachypleurum","Pachypleurum_mutellinoides","18","2"
"Papaver_aurantiacum","Papaver aurantiacum","Papaver aurantiacum","Papaver_aurantiacum","2","0"
"Paronychia_polygonifolia","Paronychia polygonifolia","Paronychia polygonifolia","Paronychia_polygonifolia","0","1"
"Pedicularis_kerneri","Pedicularis kerneri","Pedicularis kerneri","Pedicularis_kerneri","4","3"
"Pedicularis_rostratospicata_helvetica","Pedicularis rostratospicata","Pedicularis rostratospicata","Pedicularis_rostratospicata_helvetica","2","0"
"Pedicularis_tuberosa","Pedicularis tuberosa","Pedicularis tuberosa","Pedicularis_tuberosa","2","0"
"Pedicularis_verticillata","Pedicularis verticillata","Pedicularis verticillata","Pedicularis_verticillata","1","0"
"Phleum_alpinum","Phleum alpinum","Phleum alpinum","Phleum_alpinum","1","1"
"Phleum_alpinum_rhaeticum","Phleum alpinum","Phleum alpinum","Phleum_alpinum_rhaeticum","2","0"
"Phyteuma_betonicifolium","Phyteuma michelii","Phyteuma michelii subsp. betonicifolium","Phyteuma_betonicifolium","1","0"
"Phyteuma_hemisphaericum","Rapunculus hemisphaericus","Rapunculus hemisphaericus","Phyteuma_hemisphaericum","25","2"
"Phyteuma_orbiculare","Rapunculus orbicularis","Rapunculus orbicularis","Phyteuma_orbiculare","1","0"
"Pinguicula_vulgaris","Pinguicula vulgaris","Pinguicula vulgaris","Pinguicula_vulgaris","1","0"
"Plantago_alpina","Plantago neumannii","Plantago neumannii","Plantago_alpina","15","0"
"Poa_alpina","Poa alpina","Poa alpina","Poa_alpina","66","14"
"Poa_annua","Poa annua","Poa annua","Poa_annua","1","0"
"Poa_cenisia","Poa cenisia","Poa cenisia","Poa_cenisia","15","7"
"Poa_laxa","Poa laxa","Poa laxa","Poa_laxa","29","4"
"Poa_supina","Poa supina","Poa supina","Poa_supina","2","0"
"Polygala_alpina","Polygala alpina","Polygala alpina","Polygala_alpina","1","0"
"Polygonum_aviculare","Polygonum aviculare","Polygonum aviculare","Polygonum_aviculare","1","0"
"Polygonum_viviparum","Bistorta vivipara","Bistorta vivipara","Polygonum_viviparum","15","2"
"Polystichum_lonchitis","Polystichum lonchitis","Polystichum lonchitis","Polystichum_lonchitis","8","2"
"Potentilla_aurea","Potentilla aurea","Potentilla aurea","Potentilla_aurea","2","0"
"Potentilla_crantzii","Potentilla crantzii","Potentilla crantzii","Potentilla_crantzii","8","2"
"Potentilla_frigida","Potentilla frigida","Potentilla frigida","Potentilla_frigida","5","0"
"Potentilla_grandiflora","Potentilla grandiflora","Potentilla grandiflora","Potentilla_grandiflora","7","2"
"Primula_hirsuta","Primula hirsuta","Primula hirsuta","Primula_hirsuta","12","2"
"Primula_pedemontana_pedemontana","Primula pedemontana","Primula pedemontana","Primula_pedemontana_pedemontana","1","0"
"Pritzelago_alpina","Hornungia alpina","Hornungia alpina subsp. alpina","Pritzelago_alpina","0","1"
"Pritzelago_alpina_alpina","Hornungia alpina","Hornungia alpina subsp. alpina","Pritzelago_alpina_alpina","21","5"
"Pulsatilla_vernalis","Pulsatilla vernalis","Pulsatilla vernalis","Pulsatilla_vernalis","2","0"
"Ranunculus_glacialis","Ranunculus glacialis","Ranunculus glacialis","Ranunculus_glacialis","40","8"
"Ranunculus_grenierianus","Ranunculus grenierianus","Ranunculus grenierianus","Ranunculus_grenierianus","1","0"
"Ranunculus_montanus","Ranunculus montanus","Ranunculus montanus","Ranunculus_montanus","4","0"
"Rhododendron_ferrugineum","Rhododendron ferrugineum","Rhododendron ferrugineum","Rhododendron_ferrugineum","5","0"
"Rubus_idaeus","Rubus idaeus","Rubus idaeus","Rubus_idaeus","1","2"
"Rubus_saxatilis","Rubus saxatilis","Rubus saxatilis","Rubus_saxatilis","0","1"
"Rumex_scutatus","Rumex scutatus","Rumex scutatus","Rumex_scutatus","2","0"
"Sagina_glabra","Sagina glabra","Sagina glabra","Sagina_glabra","5","1"
"Sagina_saginoides","Sagina saginoides","Sagina saginoides","Sagina_saginoides","1","1"
"Salix_appendiculata","Salix appendiculata","Salix appendiculata","Salix_appendiculata","0","1"
"Salix_breviserrata","Salix breviserrata","Salix breviserrata","Salix_breviserrata","0","5"
"Salix_glaucosericea","Salix glaucosericea","Salix glaucosericea","Salix_glaucosericea","0","1"
"Salix_hastata","Salix hastata","Salix hastata","Salix_hastata","1","3"
"Salix_herbacea","Salix herbacea","Salix herbacea","Salix_herbacea","21","4"
"Salix_laggeri","Salix laggeri","Salix laggeri","Salix_laggeri","0","1"
"Salix_reticulata","Salix reticulata","Salix reticulata","Salix_reticulata","2","2"
"Salix_retusa","Salix retusa","Salix retusa","Salix_retusa","11","8"
"Saussurea_alpina_depressa","Saussurea alpina","Saussurea alpina","Saussurea_alpina_depressa","1","0"
"Saxifraga_aizoides","Saxifraga aizoides","Saxifraga aizoides","Saxifraga_aizoides","15","4"
"Saxifraga_androsacea","Saxifraga androsacea","Saxifraga androsacea","Saxifraga_androsacea","2","0"
"Saxifraga_aspera","Saxifraga aspera","Saxifraga aspera","Saxifraga_aspera","2","0"
"Saxifraga_biflora_biflora","Saxifraga biflora","Saxifraga biflora","Saxifraga_biflora_biflora","1","0"
"Saxifraga_bryoides","Saxifraga bryoides","Saxifraga bryoides","Saxifraga_bryoides","44","13"
"Saxifraga_exarata","Saxifraga exarata","Saxifraga exarata","Saxifraga_exarata","14","1"
"Saxifraga_exarata_exarata","Saxifraga exarata","Saxifraga exarata","Saxifraga_exarata_exarata","7","0"
"Saxifraga_exarata_moschata","Saxifraga exarata","Saxifraga exarata","Saxifraga_exarata_moschata","13","2"
"Saxifraga_exarata_pseudoexarata","Saxifraga exarata","Saxifraga exarata","Saxifraga_exarata_pseudoexarata","1","0"
"Saxifraga_oppositifolia","Saxifraga oppositifolia","Saxifraga oppositifolia","Saxifraga_oppositifolia","55","7"
"Saxifraga_paniculata","Saxifraga paniculata","Saxifraga paniculata","Saxifraga_paniculata","30","1"
"Saxifraga_retusa","Saxifraga retusa","Saxifraga retusa","Saxifraga_retusa","3","0"
"Saxifraga_stellaris_robusta","Micranthes stellaris","Micranthes stellaris","Saxifraga_stellaris_robusta","0","3"
"Scutellaria_alpina","Cassida alpina","Cassida alpina","Scutellaria_alpina","4","1"
"Sedum_alpestre","Sedum alpestre","Sedum alpestre","Sedum_alpestre","25","4"
"Sedum_anacampseros","Sedum anacampseros","Sedum anacampseros","Sedum_anacampseros","2","0"
"Sedum_atratum_atratum","Sedella atrata","Sedella atrata","Sedum_atratum_atratum","5","1"
"Sempervivum_arachnoideum","Sempervivum arachnoideum","Sempervivum arachnoideum","Sempervivum_arachnoideum","11","3"
"Sempervivum_montanum","Sempervivum montanum","Sempervivum montanum","Sempervivum_montanum","27","2"
"Senecio_doronicum","Senecio doronicum","Senecio doronicum","Senecio_doronicum","13","2"
"Senecio_incanus","Senecio incanus","Senecio incanus","Senecio_incanus","19","6"
"Sesleria_caerulea","Sesleria caerulea","Sesleria caerulea","Sesleria_caerulea","7","0"
"Sibbaldia_procumbens","Sibbaldia procumbens","Sibbaldia procumbens","Sibbaldia_procumbens","12","0"
"Silene_acaulis","Silene acaulis","Silene acaulis","Silene_acaulis","28","2"
"Silene_acaulis_bryoides","Silene acaulis","Silene acaulis","Silene_acaulis_bryoides","40","9"
"Silene_rupestris","Atocion rupestre","Atocion rupestre","Silene_rupestris","10","0"
"Silene_vulgaris_prostrata","Silene vulgaris","Silene vulgaris","Silene_vulgaris_prostrata","3","0"
"Silene_vulgaris_vulgaris","Silene vulgaris","Silene vulgaris","Silene_vulgaris_vulgaris","1","0"
"Soldanella_alpina","Soldanella alpina","Soldanella alpina","Soldanella_alpina","4","0"
"Solidago_virgaurea","Solidago virgaurea","Solidago virgaurea","Solidago_virgaurea","2","0"
"Solidago_virgaurea_virgaurea","Solidago virgaurea","Solidago virgaurea","Solidago_virgaurea_virgaurea","2","1"
"Taraxacum_alpinum","Taraxacum alpinum","Taraxacum alpinum","Taraxacum_alpinum","10","3"
"Taraxacum_dissectum","Taraxacum dissectum","Taraxacum dissectum","Taraxacum_dissectum","1","0"
"Taraxacum_officinale","Taraxacum officinale","Taraxacum officinale","Taraxacum_officinale","0","1"
"Thymus_polytrichus","Thymus serpyllum","Thymus serpyllum var. polytrichus","Thymus_polytrichus","5","0"
"Thymus_praecox","Thymus praecox","Thymus praecox","Thymus_praecox","11","4"
"Tolpis_staticifolia","Tolpis staticifolia","Tolpis staticifolia","Tolpis_staticifolia","1","0"
"Trifolium_alpinum","Trifolium alpinum","Trifolium alpinum","Trifolium_alpinum","4","1"
"Trifolium_badium","Trifolium badium","Trifolium badium","Trifolium_badium","3","1"
"Trifolium_pallescens","Trifolium pallescens","Trifolium pallescens","Trifolium_pallescens","0","2"
"Trifolium_pratense","Trifolium pratense","Trifolium pratense","Trifolium_pratense","3","1"
"Trifolium_repens","Trifolium repens","Trifolium repens","Trifolium_repens","1","0"
"Trifolium_saxatile","Trifolium saxatile","Trifolium saxatile","Trifolium_saxatile","0","4"
