taxized,END.,DIST.
Saxifraga_hohenwartii,End.,E-Alp.
Saxifraga_moschata,End.,Alp.
Saxifraga_NA,End.,E-Alp.
Saxifraga_oppositifolia,End.,E-Alp.
Saxifraga_pedemontana,End.,W-Alp.
Saxifraga_retusa,End.,W-Alp.
Saxifraga_seguieri,End.,Alp.
Saxifraga_tenella,Subend.,E-Alp.
Scabiosa_NA,Subend.,W-Alp.
Sedum_alsinefolium,End.,W-Alp.
Sedum_fragrans,Subend.,W-Alp.
Sempervivum_calcareum,Subend.,W-Alp.
Sempervivum_dolomiticum,End.,E-Alp.
Sempervivum_montanum,End.,E-Alp.
Sempervivum_NA,End.,W-Alp.
Senecio_fontanicola,Subend.,E-Alp.
Senecio_incanus,End.,E-Alp.
Senecio_NA,End.,W-Alp.
Senecio_procumbens,End.,W-Alp.
Seseli_annuum,End.?,W-Alp.
Sesleria_ovata,End.,E-Alp.
Sesleriella_sphaerocephala,End.,E-Alp.
Silene_campanula,End.,W-Alp.
Silene_cordifolia,End.,W-Alp.
Silene_petrarchae,End.,W-Alp.
Silene_pudibunda,End.?,E-Alp.
Silene_vallesia,End.,W-Alp.
Soldanella_austriaca,End.,E-Alp.
Soldanella_major,End.,E-Alp.
Soldanella_minima,Subend.,E-Alp.
Somerauera_cherlerioides,End.,E-Alp.
Spiesia_triflora,End.,E-Alp.
Spiraea_decumbens,End.,E-Alp.
Stemmacantha_NA,End.,W-Alp.
Stipa_pennata,End.,E-Alp.
Syntoma_comosum,End.,E-Alp.
Taraxacum_montanum,End.,E-Alp.
Taraxacum_NA,End.,E-Alp.
Taraxacum_reichenbachii,End.,E-Alp.
Telekia_speciosissima,End.,E-Alp.
Tephroseris_NA,End.,W-Alp.
Thlaspi_alpestre,End.,E-Alp.
Thymus_praecox,End.,E-Alp.
Tithymalus_saxatilis,End.,E-Alp.
Trifolium_saxatile,End.,W-Alp.
Trisetum_cavanillesii,End.,W-Alp.
Trisetum_phleoides,End.,Alp.
Valeriana_celtica,End.,W-Alp.
Valeriana_elongata,Subend.,E-Alp.
Valeriana_NA,End.?,Alp.?
Veronica_allionii,End.,W-Alp.
Veronica_chamaedrys,End.?,E-Alp.
Viola_calcarata,Subend.,W-Alp.
Viola_NA,End.,W-Alp.
Viola_pinnata,Subend.,Alp.
Wahlenbergia_elatines,End.,W-Alp.
Zahlbrucknera_paradoxa,End.,E-Alp.
