"","L_AREA","L_DRYM","PL_H_flora_MAX","PLOIDY..VALUE.","SEEDM","SLA","PLOIDY","TAPROOT","VEG_DISP","WOODY","LIFESPAN","GROWTHF"
"Epilobium_anagallidifolium",0.236,0.00105333333333333,12,NA,0.0645,21.33,"diploid","no","above-ground runners","Herbaceous","pluriennial",NA
"Epilobium_angustifolium",22.4044230769231,0.101952307692308,180,NA,0.138116666666667,24.2527220792857,"diploid","no","root shoots","Herbaceous","pluriennial",NA
"Epilobium_collinum",NA,NA,25,NA,0.047,NA,"diploid","no","basal lateral shoots","Herbaceous","pluriennial",NA
"Epilobium_hirsutum",28.33,0.13014080997,130,2,0.107727272727273,NA,"diploid","no","below-ground runners","Herbaceous","pluriennial",NA
"Epilobium_palustre",5.34666666666667,0.0114892803976667,50,2,0.0648375,41.47,"diploid","no","bulbs","Herbaceous","pluriennial",NA
"Epilobium_parviflorum",7.79,0.0249194993,100,NA,0.089747619,NA,"diploid","no","below-ground runners","Herbaceous","pluriennial",NA
"Epipactis_atrorubens",13.67,0.0672066666666667,40,NA,0.01,23.03,"diploid","no","basal lateral shoots","Herbaceous","pluriennial",NA
"Epipactis_helleborine",24.8833333333333,0.095035,60,NA,0.004,29.4125,"diploid","no","basal lateral shoots","Herbaceous","pluriennial",NA
"Epipactis_palustris",14.76,0.04967,40,NA,0.005,21.77,"diploid",NA,"below-ground runners","Herbaceous","pluriennial",NA
"Epipogium_aphyllum",NA,NA,15,NA,NA,NA,"tetraploid",NA,"below-ground runners","Herbaceous","pluriennial",NA
"Equisetum_arvense",1.65,0.178645,50,NA,NA,10.7266666666667,"diploid","no","below-ground runners","Herbaceous","pluriennial",NA
"Equisetum_fluviatile",2.05,0.02005,100,NA,NA,9.35,"diploid","no","below-ground runners","Herbaceous","pluriennial",NA
"Equisetum_hyemale",13.69,0.456415,90,NA,NA,2.97,"diploid","no","below-ground runners","Herbaceous","pluriennial",NA
"Equisetum_palustre",1.09,0.01455,45,NA,NA,NA,"diploid","no","below-ground runners","Herbaceous","pluriennial",NA
"Equisetum_variegatum",NA,NA,25,NA,NA,6.33,"diploid","no","below-ground runners","Herbaceous","pluriennial",NA
"Erigeron_acer",NA,NA,NA,NA,NA,NA,NA,NA,"no vegetative dispersal parts","Herbaceous",NA,NA
"Erigeron_acris",3.68333333333333,0.0188281083733333,50,NA,0.112433333333333,17.86,NA,NA,"no vegetative dispersal parts","Herbaceous",NA,NA
"Erigeron_andicola",7.48325384615385,0.0291023076923077,30,NA,0.21,26.10498765,"diploid",NA,"basal lateral shoots","Herbaceous","pluriennial",NA
"Erigeron_annuus",10.05,0.04191,90,NA,0.05,27.73,"triploid",NA,"no vegetative dispersal parts","Herbaceous","biennial",NA
"Erigeron_gaudinii",NA,NA,25,NA,0.331,NA,"diploid",NA,"basal lateral shoots","Herbaceous","pluriennial",NA
"Erigeron_glabratus",NA,NA,35,NA,NA,NA,"diploid",NA,"basal lateral shoots","Herbaceous","pluriennial",NA
