"","ntaxa","obs","rand.mean","rand.sd","obs.rank","obs.z","obs.p","runs","summits","metric","clade","sig","pool","model"
"176","5","67.7089362","69.0213466522","6.98989560719256","286",-0.187758233592149,"0.285714285714286","1000","Rouies","MPD","Lamiales",0,"All Summits","RD"
"177","6","70.9439572666667","69.0030093302","5.8177448516748","550",0.333625483061175,"0.549450549450549","1000","Olan","MPD","Lamiales",0,"All Summits","RD"
"178","2","73.188451","70.016559458","20.4174319166287","302",0.155352130226363,"0.301698301698302","1000","Pelvoux","MPD","Lamiales",0,"All Summits","RD"
"179","4","70.6488603333333","69.1127324076667","8.30662704988982","512",0.18492799982961,"0.511488511488511","1000","Occidentale Ailefroide","MPD","Lamiales",0,"All Summits","RD"
"180","1",NA,NA,NA,"1",NA,"0.000999000999000999","1000","Brevoort","MPD","Lamiales",0,"All Summits","RD"
"181","5","61.9424534","69.6493032638","6.14777192742592","104",-1.25360048400931,"0.103896103896104","1000","Burlan","MPD","Lamiales",0,"All Summits","RD"
"182","11","71.3936741090909","69.19367284","2.67523370787252","785",0.822358533617781,"0.784215784215784","1000","Rocher de la Selle","MPD","Lamiales",0,"All Summits","RD"
"183","2","81.03732","67.954229392","22.2468089315129","890",0.58808841520941,"0.889110889110889","1000","Choisy","MPD","Lamiales",0,"All Summits","RD"
"184","5","70.441823","69.4780467368","6.72986436585543","467",0.143208868827997,"0.466533466533467","1000","Muraillette","MPD","Lamiales",0,"All Summits","RD"
"185","9","69.7821598333333","69.1540912553333","3.48402330228083","521",0.180271061215016,"0.520479520479521","1000","Rateau","MPD","Lamiales",0,"All Summits","RD"
"186","8","67.2405751428571","69.1225430497143","3.95217053425293","264",-0.476185906085372,"0.263736263736264","1000","Lauvitel","MPD","Lamiales",0,"All Summits","RD"
"187","2","178.921875","125.269077542","55.8707596143918","701",0.960301915139516,"0.7002997002997","1000","Plat de la Selle","MPD","Caryophyllales",0,"All Summits","RD"
"188","5","123.0901374","124.7877466454","25.1761004082932","411",-0.0674293960489925,"0.410589410589411","1000","Barre des Ecrins","MPD","Caryophyllales",0,"All Summits","RD"
"189","5","128.4296138","124.960559977","24.2614763165659","484.5",0.142986097702195,"0.484015984015984","1000","La Meije","MPD","Caryophyllales",0,"All Summits","RD"
"190","7","120.58254952381","123.612494520667","20.2168608172553","352",-0.149872179674456,"0.351648351648352","1000","Sirac","MPD","Caryophyllales",0,"All Summits","RD"
"191","4","149.116654833333","127.275757455","28.0662851271506","782.5",0.778189820255371,"0.781718281718282","1000","Rouies","MPD","Caryophyllales",0,"All Summits","RD"
"192","4","119.817059333333","123.622658304333","30.4745555417008","351",-0.124877915472548,"0.350649350649351","1000","Olan","MPD","Caryophyllales",0,"All Summits","RD"
"193","1",NA,NA,NA,"1",NA,"0.000999000999000999","1000","Pelvoux","MPD","Caryophyllales",0,"All Summits","RD"
