"","clade","communtiy","pool","mu","gamma_0","loglik.obs"
"81","Asterales","Brevoort","LGM","1.23633691451324","0.0983617286502752","-6.47942699109015"
"82","Asterales","Burlan","LGM","2.20981335311845","0.486183591055734","-12.4256439600857"
"83","Asterales","Rocher de la Selle","LGM","10.9231641870603","32.7694950076626","-15.0522368687706"
"84","Asterales","Choisy","LGM","0.120009143170435","0.0200721145117436","-8.63247915255339"
"85","Asterales","Muraillette","LGM","0.381446446697634","0.280230444187956","-18.1428076208595"
"86","Asterales","Rateau","LGM","0.0940217677141386","0.143103679332596","-18.2709769071425"
"87","Asterales","Lauvitel","LGM","7.33299616071555e-16","0.0277169710821289","-16.4553186096522"
"88","Poales","Plat de la Selle","LGM","0.16249008319574","0.126541247901837","-17.8827215704894"
"89","Poales","Barre des Ecrins","LGM","0.271102581250668","0.166305348282694","-17.5705811729226"
"90","Poales","La Meije","LGM","30.3235801748516","8.27006701302635","-13.8550883150987"
"91","Poales","Sirac","LGM","5.31860717165128e-16","0.040392671525962","-16.4865657901614"
"92","Poales","Rouies","LGM","0.299210734417415","0.071558716083198","-12.2294351502451"
"93","Poales","Olan","LGM","27.7415200854812","13.1407190273525","-16.8892173041601"
"94","Poales","Pelvoux","LGM","2.73123666617915e-17","0.00415393469080519","-6.89760312028065"
"95","Poales","Occidentale Ailefroide","LGM","30.577696647812","8.33937079952415","-13.855088315098"
"96","Poales","Brevoort","LGM","0.283447589896652","0.0116792177098062","-3.55960001452801"
"97","Poales","Burlan","LGM","0.267346804307159","0.0812428470967376","-13.5942255857297"
"98","Poales","Rocher de la Selle","LGM","0.0248831954862472","0.253893101857878","-12.5056130395622"
"99","Poales","Choisy","LGM","0.256015020133575","0.0222077047310035","-6.39338700894902"
"100","Poales","Muraillette","LGM","0.24527288778427","0.17731022699786","-18.0241725264298"
"101","Poales","Rateau","LGM","14.6882115814292","26.4387825513542","-17.5560365322766"
"102","Poales","Lauvitel","LGM","0.107028812254505","0.238898299861304","-18.4395008753538"
"103","Lamiales","Barre des Ecrins","LGM","9.76587258344633","4.43903295032586","-9.2442348123264"
"104","Lamiales","La Meije","LGM","0.4408413878587","0.115030345792955","-6.97406819888612"
"105","Lamiales","Sirac","LGM","7.31826574783268e-16","0.0276850123020373","-8.19076211708419"
"106","Lamiales","Rouies","LGM","9.73765429998437","4.4262061009963","-9.24423481232672"
"107","Lamiales","Olan","LGM","9.10154954676916","5.46092933877396","-9.89186462997"
"108","Lamiales","Pelvoux","LGM","0.442063072838447","0.0335207885242061","-2.99372659170012"
"109","Lamiales","Occidentale Ailefroide","LGM","0.132209428612277","0.0641208200888909","-8.04889665280252"
"110","Lamiales","Brevoort","LGM","1.28980532751478e-17","3.3883323343481e-17","-1.38629436111989"
"111","Lamiales","Burlan","LGM","10.6266178325753","3.5422057305439","-8.30421513334419"
"112","Lamiales","Rocher de la Selle","LGM","0.297568591982894","0.445393180779018","-10.2389784362809"
"113","Lamiales","Choisy","LGM","0.286375043573435","0.0500628291196484","-5.18400294816728"
"114","Lamiales","Muraillette","LGM","1.12479539838626e-16","0.0194143311362987","-9.15023738112109"
"115","Lamiales","Rateau","LGM","8.14679309613861e-16","0.0354398087140105","-9.20989235567333"
"116","Lamiales","Lauvitel","LGM","0.358457474831165","0.407786675105612","-10.2865278503107"
"117","Caryophyllales","Plat de la Selle","LGM","0.149300032443729","0.0220866486802599","-5.36454057586482"
"118","Caryophyllales","Barre des Ecrins","LGM","9.79284567730745","4.08035168961165","-9.60541030877332"
"119","Caryophyllales","La Meije","LGM","0.0902465707946028","0.0449416061475928","-9.24873868914288"
"120","Caryophyllales","Sirac","LGM","0.138819734186591","0.108317585022901","-10.4831396165327"
"121","Caryophyllales","Rouies","LGM","0.232181055643995","0.0759783224626494","-8.44527870713893"
"122","Caryophyllales","Olan","LGM","10.7679264816613","3.31320764160392","-8.58196057691952"
"123","Caryophyllales","Pelvoux","LGM","0.304966570470781","0.019940697106701","-3.07880779446138"
"124","Caryophyllales","Occidentale Ailefroide","LGM","0.0289971364035693","0.0152528912434653","-8.04144964463674"
"125","Caryophyllales","Burlan","LGM","0.0794107269465933","0.0209481091365849","-6.98516262238281"
"126","Caryophyllales","Rocher de la Selle","LGM","2.59692664630988","12.1189920733172","-7.22884018778083"
"127","Caryophyllales","Muraillette","LGM","0.0517049135057029","0.0486235430485982","-10.8041864288917"
"128","Caryophyllales","Rateau","LGM","0.135520544444778","0.0630879668172582","-9.38853709334888"
"129","Caryophyllales","Lauvitel","LGM","2.59984830335004","12.1326268847395","-7.22884018778074"
