"","PHLAWD Input Name","TNRS iPlant Taxonomy","GenBank Taxonomy ID","GenBank Taxonomy","ITS","trnTLF","rbcL","matK","atpB","Alps Phylogeny","TaxRef v.9","Alien Origin","Endemic","Regional","All Summits","LGM","Aiguille du plat de la Selle","Barre des Ecrins","la Meije","le Sirac","les Rouies","Olan","Mont Pelvoux","Occidentale.Ailefroide","Point Brevoort","Pointes de Burlan","Rocher de la Selle","Tour Choisy","Tete de la Muraillette","le Rateau","Signal de Lauvitel"
"323","Centaurea_stoebe","Centaurea_stoebe",72152,"Centaurea_stoebe","NA","559146835","667668110","642988241","NA",1,"Centaurea_stoebe","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"324","Centaurea_stoebe","Centaurea_stoebe",72152,"Centaurea_stoebe_subsp__micranthos","239586341","NA","NA","NA","NA",1,"Centaurea_stoebe","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"325","Centaurea_uniflora",NA,NA,NA,NA,NA,NA,NA,NA,0,"Centaurea_uniflora","",1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"326","Centaurium_erythraea","Centaurium_erythraea",172057,"Centaurium_erythraea","507118313","33308330","379035514","379039346","NA",1,"Centaurium_erythraea","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"327","Centranthus_angustifolius","Centranthus_angustifolius",245818,"Centranthus_angustifolius","37655007","332077846","NA","34863578","NA",1,"Centranthus_angustifolius","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"328","Centranthus_calcitrapae","Centranthus_calcitrapae",183940,"Centranthus_calcitrapae","85810995","85822899","NA","34863576","NA",1,"Centranthus_calcitrapae","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"329","Cephalanthera_damasonium","Cephalanthera_damasonium",78719,"Cephalanthera_damasonium","61619754","16609982","3560627","37222982","NA",1,"Cephalanthera_damasonium","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"330","Cephalanthera_longifolia","Cephalanthera_longifolia",210729,"Cephalanthera_longifolia","34493776","NA","635174179","635173356","NA",1,"Cephalanthera_longifolia","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"838","Limodorum_rubrum",NA,NA,NA,NA,NA,NA,NA,NA,0,"Cephalanthera_rubra","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"331","Cephalaria_alpina",NA,NA,NA,NA,NA,NA,NA,NA,0,"Cephalaria_alpina","",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"332","Cerastium_alpinum","Cerastium_alpinum",271556,"Cerastium_alpinum","359389367","260079679","379032194","379038526","NA",1,"Cerastium_alpinum","",0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
"333","Cerastium_arvense","Cerastium_arvense",271558,"Cerastium_arvense","598699206","239837484","667668196","62870790","NA",1,"Cerastium_arvense","",1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1
"334","Cerastium_cerastoides","Cerastium_cerastoides",271580,"Cerastium_cerastoides","451768447","46578005","NA","NA","NA",1,"Cerastium_cerastoides","",0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
"335","Cerastium_fontanum","Cerastium_fontanum",230722,"Cerastium_fontanum","62870724","239837485","557836545","340512871","NA",1,"Cerastium_fontanum","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"336","Cerastium_latifolium","Cerastium_latifolium",271544,"Cerastium_latifolium","NA","46577918","557836537","NA","NA",1,"Cerastium_latifolium","",0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"337","Cerastium_pedunculatum",NA,NA,NA,NA,NA,NA,NA,NA,0,"Cerastium_pedunculatum","",1,1,1,1,0,1,1,0,1,1,0,1,0,0,1,0,1,1,1
"338","Cerastium_pumilum","Cerastium_pumilum",271565,"Cerastium_pumilum","NA","46577989","379035089","379039772","NA",1,"Cerastium_pumilum","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"339","Cerastium_semidecandrum","Cerastium_semidecandrum",271564,"Cerastium_semidecandrum","NA","46577941","379035087","379040412","NA",1,"Cerastium_semidecandrum","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"340","Cerastium_uniflorum","Cerastium_uniflorum",271547,"Cerastium_uniflorum","NA","46577921","NA","NA","NA",1,"Cerastium_uniflorum","",0,1,1,1,0,1,0,0,0,1,0,0,1,0,1,1,1,0,1
"343","Cerinthe_glabra",NA,NA,NA,NA,NA,NA,NA,NA,0,"Cerinthe_glabra","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"344","Cerinthe_minor","Cerinthe_minor",131385,"Cerinthe_minor","239836043","239836100","NA","NA","NA",1,"Cerinthe_minor","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"346","Chaenorrhinum_minus","Chaenorhinum_minus",105913,"Chaenorhinum_minus_subsp__minus","NA","NA","404243589","NA","NA",1,"Chaenorrhinum_minus","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"347","Chaenorrhinum_minus","Chaenorhinum_minus",105913,"Chaenorhinum_minus","33324857","NA","NA","379041702","NA",1,"Chaenorrhinum_minus","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"345","Chaenorhinum_rubrifolium",NA,NA,NA,NA,NA,NA,NA,NA,0,"Chaenorrhinum_rubrifolium","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"348","Chaerophyllum_aureum","Chaerophyllum_aureum",109094,"Chaerophyllum_aureum","6648800","NA","557836299","NA","NA",1,"Chaerophyllum_aureum","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"349","Chaerophyllum_temulum","Chaerophyllum_temulum",105274,"Chaerophyllum_temulum","748302453","NA","379036368","379040420","NA",1,"Chaerophyllum_temulum","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"350","Chaerophyllum_villarsii","Chaerophyllum_villarsii",109111,"Chaerophyllum_villarsii","6648812","NA","NA","NA","NA",1,"Chaerophyllum_villarsii","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"354","Chamorchis_alpina","Chamorchis_alpina",413032,"Chamorchis_alpina","NA","NA","440577880","440579014","NA",1,"Chamorchis_alpina","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"355","Chelidonium_majus","Chelidonium_majus",71251,"Chelidonium_majus","402545412","37790957","379035530","393660978","NA",1,"Chelidonium_majus","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"356","Chenopodium_album","Chenopodium_album",3559,"Chenopodium_album","806818106","371781668","NA","440584194","NA",1,"Chenopodium_album","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"357","Chenopodium_album","Chenopodium_album",3559,"Chenopodium_album_subsp__album","NA","NA","404243603","NA","NA",1,"Chenopodium_album","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"359","Chondrilla_juncea","Chondrilla_juncea",75963,"Chondrilla_juncea","3900986","6958283","404243611","406034604","NA",1,"Chondrilla_juncea","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"360","Chrysosplenium_alternifolium","Chrysosplenium_alternifolium",80774,"Chrysosplenium_alternifolium","363548357","121491130","379034427","443497693","NA",1,"Chrysosplenium_alternifolium","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"361","Cichorium_intybus","Cichorium_intybus",13427,"Cichorium_intybus","383929133","46102439","289848","379041370","8452630",1,"Cichorium_intybus","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"362","Cirsium_acaule","Cirsium_acaule",192477,"Cirsium_acaule","NA","NA","557836234","379040884","NA",1,"Cirsium_acaulon","",0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"363","Cirsium_arvense","Cirsium_arvense",41550,"Cirsium_arvense","21636063","559146842","424949734","315140425","NA",1,"Cirsium_arvense","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"364","Cirsium_eriophorum","Cirsium_eriophorum",688286,"Cirsium_eriophorum","NA","NA","379035718","379041058","NA",1,"Cirsium_eriophorum","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"365","Cirsium_monspessulanum","Cirsium_monspessulanum",196729,"Cirsium_monspessulanum","21636098","559146856","NA","559146748","NA",1,"Cirsium_monspessulanum","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"366","Cirsium_palustre","Cirsium_palustre",143190,"Cirsium_palustre","21636085","114704054","500049585","379040932","NA",1,"Cirsium_palustre","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"367","Cirsium_spinosissimum","Cirsium_spinosissimum",196741,"Cirsium_spinosissimum","21636101","559146865","557836236","559146766","NA",1,"Cirsium_spinosissimum","",1,1,1,1,1,0,0,1,1,1,0,0,0,0,1,0,0,1,1
"368","Cirsium_vulgare","Cirsium_vulgare",92907,"Cirsium_vulgare_subsp__vulgare","NA","NA","404243621","NA","NA",1,"Cirsium_vulgare","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"369","Cirsium_vulgare","Cirsium_vulgare",92907,"Cirsium_vulgare","470012197","8452857","NA","379040716","NA",1,"Cirsium_vulgare","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"370","Cladium_mariscus","Cladium_mariscus",241641,"Cladium_mariscus","NA","70795149","379035704","379041046","NA",1,"Cladium_mariscus","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"175","Atragene_alpina",NA,NA,NA,NA,NA,NA,NA,NA,0,"Clematis_alpina","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"371","Clematis_vitalba","Clematis_vitalba",37490,"Clematis_vitalba","293627112","NA","817991828","31339224","NA",1,"Clematis_vitalba","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"372","Clinopodium_acinos","Clinopodium_acinos",306377,"Clinopodium_acinos","294999843","294999957","379035710","295000139","NA",1,"Clinopodium_acinos","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","Acinos_alpinus","Clinopodium_alpinum",224743,"Clinopodium_alpinum","30013366","42556248","557836592","58045247","NA",0,"Clinopodium_alpinum","",0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"373","Clinopodium_alpinum","Clinopodium_alpinum",224743,"Clinopodium_alpinum","30013366","42556248","557836592","58045247","NA",1,"Clinopodium_alpinum","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"374","Clinopodium_grandiflorum","Clinopodium_grandiflorum",887129,"Clinopodium_grandiflorum","307556922","NA","NA","NA","NA",1,"Clinopodium_grandiflorum","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"375","Clinopodium_nepeta","Clinopodium_nepeta",306383,"Clinopodium_nepeta","NA","294999993","NA","58045259","NA",1,"Clinopodium_nepeta","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"376","Clinopodium_vulgare","Clinopodium_vulgare",204222,"Clinopodium_vulgare_subsp__arundanum","NA","45433830","NA","NA","NA",1,"Clinopodium_vulgare","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"377","Clinopodium_vulgare","Clinopodium_vulgare",204222,"Clinopodium_vulgare","111119993","NA","817991830","58045263","NA",1,"Clinopodium_vulgare","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"378","Coincya_monensis","Coincya_monensis",55965,"Coincya_monensis","57638890","57638985","379035890","345424635","NA",1,"Coincya_monensis","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"379","Coincya_richeri",NA,NA,NA,NA,NA,NA,NA,NA,0,"Coincya_richeri","",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"380","Colchicum_alpinum","Colchicum_alpinum",1094039,"Colchicum_alpinum","NA","350641937","NA","NA","NA",1,"Colchicum_alpinum","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"381","Colchicum_autumnale","Colchicum_autumnale",45005,"Colchicum_autumnale","593936670","40642944","379035436","379040850","5758794",1,"Colchicum_autumnale","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"904","Merendera_verna",NA,NA,NA,NA,NA,NA,NA,NA,0,"Colchicum_bulbocodium","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"382","Colutea_arborescens","Colutea_arborescens",47649,"Colutea_arborescens","NA","4927062","817991832","37518643","NA",1,"Colutea_arborescens","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"627","Gentianella_tenella","Gentianella_tenella",49963,"Gentianella_tenella","NA","1070142","NA","NA","NA",1,"Comastoma_tenellum","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"385","Convallaria_majalis","Convallaria_majalis",32189,"Convallaria_majalis","212524911","22796127","460695","313756534","5758796",1,"Convallaria_majalis","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"386","Convolvulus_arvensis","Convolvulus_arvensis",4123,"Convolvulus_arvensis","570307754","508291513","21634024","607345000","6706140",1,"Convolvulus_arvensis","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"243","Calystegia_sepium","Calystegia_sepium",47519,"Calystegia_sepium_subsp__roseata","194022439","NA","NA","NA","NA",1,"Convolvulus_sepium","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"244","Calystegia_sepium","Calystegia_sepium",47519,"Calystegia_sepium","NA","21634203","21634022","242801089","21633324",1,"Convolvulus_sepium","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"388","Corallorhiza_trifida","Corallorhiza_trifida",451881,"Corallorhiza_trifida","486175478","NA","635174075","154968263","NA",1,"Corallorhiza_trifida","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"389","Coristospermum_ferulaceum",NA,NA,NA,NA,NA,NA,NA,NA,0,"Coristospermum_ferulaceum","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1417","Thelycrania_sanguinea",NA,NA,NA,NA,NA,NA,NA,NA,0,"Cornus_sanguinea","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"391","Coronilla_minima","Coronilla_minima",181252,"Coronilla_minima","324496686","NA","NA","378758101","NA",1,"Coronilla_minima","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"392","Coronilla_vaginalis","Coronilla_vaginalis",390707,"Coronilla_vaginalis","109629710","NA","NA","NA","NA",1,"Coronilla_vaginalis","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1303","Securigera_varia","Securigera_varia",53861,"Securigera_varia","7341153","667668278","2342933","23477677","NA",1,"Coronilla_varia","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"393","Corydalis_intermedia",NA,NA,NA,NA,NA,NA,NA,NA,0,"Corydalis_intermedia","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"394","Corydalis_solida","Corydalis_solida",38914,"Corydalis_solida","NA","803360818","817991846","764121025","NA",1,"Corydalis_solida","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"395","Corylus_avellana","Corylus_avellana",13451,"Corylus_avellana","324035595","37720902","33113306","38565243","32815634",1,"Corylus_avellana","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"396","Cotoneaster_integerrimus","Cotoneaster_integerrimus",690321,"Cotoneaster_integerrimus","262654286","410736281","379062166","384598771","NA",1,"Cotoneaster_integerrimus","",0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"397","Cotoneaster_tomentosus",NA,NA,NA,NA,NA,NA,NA,NA,0,"Cotoneaster_tomentosus","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"398","Crataegus_laevigata","Crataegus_laevigata",298643,"Crataegus_laevigata","193084969","54649878","379033094","635174216","NA",1,"Crataegus_laevigata","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"399","Crataegus_monogyna","Crataegus_monogyna",140997,"Crataegus_monogyna","121485054","19032433","817991854","17154800","NA",1,"Crataegus_monogyna","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"400","Crepis_aurea","Crepis_aurea",212669,"Crepis_aurea","29243769","29423254","557836239","NA","NA",1,"Crepis_aurea","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"401","Crepis_aurea","Crepis_aurea",212669,"Crepis_aurea_subsp__aurea","NA","NA","NA","187403641","NA",1,"Crepis_aurea","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"402","Crepis_biennis","Crepis_biennis",122532,"Crepis_biennis","91983066","NA","379035208","379039196","NA",1,"Crepis_biennis","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"403","Crepis_conyzifolia",NA,NA,NA,NA,NA,NA,NA,NA,0,"Crepis_conyzifolia","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"404","Crepis_foetida","Crepis_foetida",268017,"Crepis_foetida_subsp__foetida","NA","NA","NA","187403626","NA",1,"Crepis_foetida","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"405","Crepis_foetida","Crepis_foetida",268017,"Crepis_foetida_subsp__afghanistanica","170284013","NA","NA","NA","NA",1,"Crepis_foetida","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"406","Crepis_nicaeensis","Crepis_nicaeensis",268024,"Crepis_nicaeensis","170284050","NA","NA","NA","NA",1,"Crepis_nicaeensis","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"407","Crepis_paludosa","Crepis_paludosa",310247,"Crepis_paludosa","169626713","NA","379034793","379040396","NA",1,"Crepis_paludosa","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"408","Crepis_pontana",NA,NA,NA,NA,NA,NA,NA,NA,0,"Crepis_pontana","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"409","Crepis_pygmaea","Crepis_pygmaea",268348,"Crepis_pygmaea","NA","NA","NA","54021414","NA",1,"Crepis_pygmaea","",0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"410","Crepis_pygmaea","Crepis_pygmaea",268348,"Crepis_pygmaea_subsp__anachoretica","170284047","NA","NA","NA","NA",1,"Crepis_pygmaea","",0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"411","Crepis_pyrenaica","Crepis_pyrenaica",122533,"Crepis_pyrenaica","NA","NA","557836242","NA","NA",1,"Crepis_pyrenaica","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"412","Crepis_vesicaria","Crepis_vesicaria",268032,"Crepis_vesicaria","77927635","NA","557836244","NA","NA",1,"Crepis_vesicaria","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"413","Crepis_vesicaria","Crepis_vesicaria",268032,"Crepis_vesicaria_subsp__taraxacifolia","NA","NA","NA","54021426","NA",1,"Crepis_vesicaria","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"414","Crocus_vernus","Crocus_vernus",87752,"Crocus_vernus","77455735","669026167","817991860","NA","NA",1,"Crocus_flavus","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"415","Crocus_vernus","Crocus_vernus",87752,"Crocus_vernus_subsp__albiflorus","NA","NA","NA","187762002","NA",1,"Crocus_flavus","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"416","Cruciata_glabra","Cruciata_glabra",29785,"Cruciata_glabra","NA","288190024","535124","NA","NA",1,"Cruciata_glabra","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"417","Cruciata_laevipes","Cruciata_laevipes",29786,"Cruciata_laevipes","NA","288190020","379036736","379039182","NA",1,"Cruciata_laevipes","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"418","Crupina_vulgaris","Crupina_vulgaris",145813,"Crupina_vulgaris","60614794","60202400","NA","559146772","NA",1,"Crupina_vulgaris","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"419","Cryptogramma_crispa",NA,NA,NA,NA,NA,NA,NA,NA,0,"Cryptogramma_crispa","",0,1,1,1,0,1,0,1,0,1,0,0,0,0,1,0,1,1,1
"421","Cuscuta_epilinum","Cuscuta_epilinum",186060,"Cuscuta_epilinum","163963326","56368443","165910520","165910530","NA",1,"Cuscuta_epilinum","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"422","Cuscuta_epithymum","Cuscuta_epithymum",186058,"Cuscuta_epithymum","118490256","494621066","608608563","NA","NA",1,"Cuscuta_epithymum","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"423","Cuscuta_europaea","Cuscuta_europaea",41803,"Cuscuta_europaea","45925775","21634271","165910522","165910532","21633454",1,"Cuscuta_europaea","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"424","Cuscuta_planiflora","Cuscuta_planiflora",192822,"Cuscuta_planiflora","45925782","134292026","608608681","NA","NA",1,"Cuscuta_planiflora","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"425","Cyanus_montanus","Centaurea_montana",41537,"Centaurea_montana","329025148","300392358","557836272","559146698","NA",1,"Cyanus_montanus","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"426","Cyanus_segetum","Centaurea_cyanus",41522,"Centaurea_cyanus","329025145","300392343","379032742","379038168","NA",1,"Cyanus_segetum","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"427","Cynoglossum_officinale","Cynoglossum_officinale",181189,"Cynoglossum_officinale","17902011","471265209","578897996","196051552","24940171",1,"Cynoglossum_officinale","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"428","Cynosurus_cristatus","Cynosurus_cristatus",211939,"Cynosurus_cristatus","444746431","119553723","144583545","310006967","110915615",1,"Cynosurus_cristatus","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"429","Cypripedium_calceolus","Cypripedium_calceolus",53038,"Cypripedium_calceolus","147883899","50365511","635173969","313756725","8452635",1,"Cypripedium_calceolus","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"430","Cystopteris_dickieana",NA,NA,NA,NA,NA,NA,NA,NA,0,"Cystopteris_dickieana","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"431","Cystopteris_fragilis",NA,NA,NA,NA,NA,NA,NA,NA,0,"Cystopteris_fragilis","",0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1
"432","Cytisophyllum_sessilifolium","Cytisophyllum_sessilifolium",3834,"Cytisophyllum_sessilifolium","83031646","88193424","1223707","NA","NA",1,"Cytisophyllum_sessilifolium","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"433","Dactylis_glomerata","Dactylis_glomerata",4509,"Dactylis_glomerata_subsp__hackelii","NA","NA","NA","NA","110915617",1,"Dactylis_glomerata","",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"434","Dactylis_glomerata","Dactylis_glomerata",4509,"Dactylis_glomerata","564586130","119553724","424949910","119553586","NA",1,"Dactylis_glomerata","",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"435","Dactylorhiza_fuchsii","Dactylorhiza_fuchsii",230571,"Dactylorhiza_fuchsii","56809195","30962077","379036536","379041102","NA",1,"Dactylorhiza_fuchsii","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"436","Dactylorhiza_incarnata","Dactylorhiza_incarnata",230574,"Dactylorhiza_incarnata_subsp__cruenta","NA","NA","817991876","NA","NA",1,"Dactylorhiza_incarnata","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"437","Dactylorhiza_incarnata","Dactylorhiza_incarnata",230574,"Dactylorhiza_incarnata_subsp__pulchella","NA","NA","NA","198034214","NA",1,"Dactylorhiza_incarnata","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"438","Dactylorhiza_incarnata","Dactylorhiza_incarnata",230574,"Dactylorhiza_incarnata","NA","30962082","NA","NA","NA",1,"Dactylorhiza_incarnata","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"439","Dactylorhiza_incarnata","Dactylorhiza_incarnata",230574,"Dactylorhiza_incarnata_subsp__incarnata","66275699","NA","NA","NA","NA",1,"Dactylorhiza_incarnata","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"441","Dactylorhiza_maculata","Dactylorhiza_maculata",230572,"Dactylorhiza_maculata","NA","30962081","379036524","149286639","NA",1,"Dactylorhiza_maculata","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"442","Dactylorhiza_maculata","Dactylorhiza_maculata",230572,"Dactylorhiza_maculata_subsp__ericetorum","66275683","NA","NA","NA","NA",1,"Dactylorhiza_maculata","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"443","Dactylorhiza_majalis","Dactylorhiza_majalis",231484,"Dactylorhiza_majalis","71088988","NA","NA","198034220","NA",1,"Dactylorhiza_majalis","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"444","Dactylorhiza_majalis","Dactylorhiza_majalis",231484,"Dactylorhiza_majalis_subsp__traunsteinerioides","NA","NA","379033534","NA","NA",1,"Dactylorhiza_majalis","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"445","Dactylorhiza_sambucina","Dactylorhiza_sambucina",65785,"Dactylorhiza_sambucina","34333968","NA","NA","198034242","NA",1,"Dactylorhiza_sambucina","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"440","Dactylorhiza_lapponica",NA,NA,NA,NA,NA,NA,NA,NA,0,"Dactylorhiza_traunsteineri_subsp._lapponica","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"446","Dactylorhiza_viridis","Dactylorhiza_viridis",230577,"Dactylorhiza_viridis","393192823","30962085","379031523","126789273","NA",1,"Dactylorhiza_viridis","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"447","Danthonia_decumbens","Danthonia_decumbens",500232,"Danthonia_decumbens","167594813","167594694","817991878","387912236","NA",1,"Danthonia_decumbens","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"448","Daphne_alpina",NA,NA,NA,NA,NA,NA,NA,NA,0,"Daphne_alpina","",0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
