"","PHLAWD Input Name","TNRS iPlant Taxonomy","GenBank Taxonomy ID","GenBank Taxonomy","ITS","trnTLF","rbcL","matK","atpB","Alps Phylogeny","TaxRef v.9","Alien Origin","Endemic","Regional","All Summits","LGM","Aiguille du plat de la Selle","Barre des Ecrins","la Meije","le Sirac","les Rouies","Olan","Mont Pelvoux","Occidentale.Ailefroide","Point Brevoort","Pointes de Burlan","Rocher de la Selle","Tour Choisy","Tete de la Muraillette","le Rateau","Signal de Lauvitel"
"1376","Stachys_sylvatica","Stachys_sylvatica",53175,"Stachys_sylvatica","537368701","21070162","3355851","242801084","NA",1,"Stachys_sylvatica","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1377","Staehelina_dubia","Staehelina_dubia",313545,"Staehelina_dubia","60614844","60202445","500049866","59894663","NA",1,"Staehelina_dubia","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1378","Stellaria_alsine","Stellaria_alsine",254021,"Stellaria_alsine","374350765","209448188","379036886","340512855","NA",1,"Stellaria_alsine","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1379","Stellaria_graminea","Stellaria_graminea",271541,"Stellaria_graminea","374350720","374351377","817992376","374350987","NA",1,"Stellaria_graminea","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1380","Stellaria_holostea","Stellaria_holostea",581250,"Stellaria_holostea","451768455","374351354","379036008","374350947","NA",1,"Stellaria_holostea","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1381","Stellaria_media","Stellaria_media",13274,"Stellaria_media","NA","NA","310549","374350950","14718231",1,"Stellaria_media","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1382","Stellaria_nemorum","Stellaria_nemorum",325516,"Stellaria_nemorum","62870729","260080479","379036876","62870796","NA",1,"Stellaria_nemorum","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1383","Stipa_capillata","Stipa_capillata",665498,"Stipa_capillata","358423334","358423378","NA","358423482","NA",1,"Stipa_capillata","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1384","Stipa_eriocaulis",NA,NA,NA,NA,NA,NA,NA,NA,0,"Stipa_eriocaulis","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1385","Stipa_pennata","Stipa_pennata",399722,"Stipa_pennata_subsp__eriocaulis","323280691","323280531","NA","133917497","NA",1,"Stipa_pennata","",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1386","Streptopus_amplexifolius","Streptopus_amplexifolius",134860,"Streptopus_amplexifolius","NA","22797646","20809150","399572077","NA",1,"Streptopus_amplexifolius","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1388","Succisa_pratensis","Succisa_pratensis",105906,"Succisa_pratensis","594615199","34485882","379033963","379041916","NA",1,"Succisa_pratensis","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1389","Swertia_perennis","Swertia_perennis",39379,"Swertia_perennis","NA","633257944","NA","4456842","NA",1,"Swertia_perennis","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1390","Symphyotrichum_novi_belgii","Symphyotrichum_novi_belgii",199233,"Symphyotrichum_novi-belgii","209165157","390431505","733452018","NA","NA",1,"Symphyotrichum_novi-belgii","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1391","Symphytum_officinale","Symphytum_officinale",278672,"Symphytum_officinale","NA","376373231","379037182","379042138","NA",1,"Symphytum_officinale","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1392","Symphytum_tuberosum","Symphytum_tuberosum",256504,"Symphytum_tuberosum","601105945","601106034","544196857","601101289","NA",1,"Symphytum_tuberosum","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1394","Tanacetum_corymbosum","Tanacetum_corymbosum",127994,"Tanacetum_corymbosum","11558509","667668303","667668126","667667952","NA",1,"Tanacetum_corymbosum","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1395","Taraxacum_alpinum","Taraxacum_alpinum",268103,"Taraxacum_alpinum","NA","NA","557836280","54021440","NA",1,"Taraxacum_alpinum","",0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1
"1396","Taraxacum_dissectum",NA,NA,NA,NA,NA,NA,NA,NA,0,"Taraxacum_dissectum","",0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"1397","Taraxacum_erythrospermum","Taraxacum_erythrospermum",268104,"Taraxacum_erythrospermum","672942289","528898166","NA","54021438","NA",1,"Taraxacum_erythrospermum","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1398","Taraxacum_fulvum",NA,NA,NA,NA,NA,NA,NA,NA,0,"Taraxacum_fulvum","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
