"","Row.names","Valid_LIB.C.150","Ecrins NP","Summits","Persistent","Under Ice","Plat de la Selle","Barre des Ecrins","La Meije","Sirac","Rouies","Olan","Pelvoux","Occidentale Ailefroide","Brevoort","Burlan","Rocher de la Selle","Choisy","Muraillette","Rateau","Lauvitel"
"135","Asplenium_septentrionale","Asplenium_septentrionale",1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"136","Asplenium_trichomanes","Asplenium_trichomanes",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"137","Asplenium_viride","Asplenium_viride",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"138","Aster_alpinus","Aster_alpinus",1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"139","Astragalus_alpinus","Astragalus_alpinus",1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
"140","Astragalus_australis","Astragalus_australis",1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"141","Astragalus_austriacus","Astragalus_austriacus",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"142","Astragalus_cicer","Astragalus_cicer",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"143","Astragalus_danicus","Astragalus_danicus",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"144","Astragalus_depressus","Astragalus_depressus",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"145","Astragalus_glycyphyllos","Astragalus_glycyphyllos",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"146","Astragalus_monspessulanus","Astragalus_monspessulanus",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"147","Astragalus_onobrychis","Astragalus_onobrychis",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"148","Astragalus_penduliflorus","Astragalus_penduliflorus",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"149","Astragalus_sempervirens","Astragalus_sempervirens",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"150","Astragalus_stella","Astragalus_stella",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"151","Astragalus_vesicarius","Astragalus_vesicarius",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"152","Astrantia_major","Astrantia_major_subsp._involucrata",1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"153","Athamanta_cretensis","Athamanta_cretensis",1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"154","Athyrium_alpestre","Athyrium_distentifolium",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"155","Athyrium_filix_femina","Athyrium_filix-femina",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"156","Atocion_rupestre","Atocion_rupestre",1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
"157","Atragene_alpina","Clematis_alpina",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"158","Atropa_belladonna","Atropa_belladonna",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"159","Barbarea_intermedia","Barbarea_intermedia",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"160","Barbarea_vulgaris","Barbarea_vulgaris",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"161","Bartsia_alpina","Bartsia_alpina",1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"162","Bellardiochloa_variegata","Bellardiochloa_variegata",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
