"","metric","clade","pool","z","pval","rho.est","alt","hyp","measure"
"79","MNTD","Lamiales","Regional",268,0.145790200792203,0.410989010989011,"two.sided","Geographic","Maximum Slope"
"80","MNTD","Lamiales","LGM",314,0.656000350185762,0.137362637362637,"two.sided","Geographic","Maximum Slope"
"81","MNTD","Lamiales","All Summits",350,0.426497919941949,0.230769230769231,"two.sided","Geographic","Maximum Slope"
"82","MNTD","Poales","Regional",462,0.963748772502748,-0.0153846153846154,"two.sided","Geographic","Maximum Slope"
"83","MNTD","Poales","LGM",608,0.239828311396307,-0.336263736263736,"two.sided","Geographic","Maximum Slope"
"84","MNTD","Poales","All Summits",618,0.20893105922758,-0.358241758241758,"two.sided","Geographic","Maximum Slope"
"85","MNTD","Rosales","Regional",188,0.673423202665486,0.145454545454545,"two.sided","Geographic","Maximum Slope"
"86","MNTD","Rosales","LGM",174,0.539113807034715,0.209090909090909,"two.sided","Geographic","Maximum Slope"
"87","MNTD","Rosales","All Summits",164,0.451196804369117,0.254545454545455,"two.sided","Geographic","Maximum Slope"
"88","MNTD","Spermatophyta","Regional",530,0.852509376815679,0.0535714285714286,"two.sided","Geographic","Maximum Slope"
"89","MNTD","Spermatophyta","LGM",756,0.201154828000983,-0.35,"two.sided","Geographic","Maximum Slope"
"90","MNTD","Spermatophyta","All Summits",676,0.457772271288752,-0.207142857142857,"two.sided","Geographic","Maximum Slope"
"91","MPD","Asterales","Regional",598,0.812442880003941,-0.0678571428571429,"two.sided","Geographic","Maximum Slope"
"92","MPD","Asterales","LGM",688,0.411416373585749,-0.228571428571429,"two.sided","Geographic","Maximum Slope"
"93","MPD","Asterales","All Summits",626,0.67630520176269,-0.117857142857143,"two.sided","Geographic","Maximum Slope"
"94","MPD","Caryophyllales","Regional",350,0.426497919941949,0.230769230769231,"two.sided","Geographic","Maximum Slope"
"95","MPD","Caryophyllales","LGM",312,0.273493639241883,0.314285714285714,"two.sided","Geographic","Maximum Slope"
"96","MPD","Caryophyllales","All Summits",310,0.266538195204492,0.318681318681319,"two.sided","Geographic","Maximum Slope"
"97","MPD","Lamiales","Regional",234,0.080916111294897,0.485714285714286,"two.sided","Geographic","Maximum Slope"
"98","MPD","Lamiales","LGM",360,0.978311453941831,0.010989010989011,"two.sided","Geographic","Maximum Slope"
"99","MPD","Lamiales","All Summits",332,0.349143388060547,0.27032967032967,"two.sided","Geographic","Maximum Slope"
"100","MPD","Poales","Regional",464,0.951676825142244,-0.0197802197802198,"two.sided","Geographic","Maximum Slope"
"101","MPD","Poales","LGM",448,0.963748772502748,0.0153846153846154,"two.sided","Geographic","Maximum Slope"
"102","MPD","Poales","All Summits",444,0.939614979477402,0.0241758241758242,"two.sided","Geographic","Maximum Slope"
"103","MPD","Rosales","Regional",170,0.503066960517545,0.227272727272727,"two.sided","Geographic","Maximum Slope"
"104","MPD","Rosales","LGM",174,0.539113807034715,0.209090909090909,"two.sided","Geographic","Maximum Slope"
"105","MPD","Rosales","All Summits",220,1,0,"two.sided","Geographic","Maximum Slope"
