"","species","ITS","trnTLF","rbcL","matK","atpB"
"Calamagrostis_varia","Calamagrostis_varia","NA","NA","557836442","NA","NA"
"Calamagrostis_villosa","Calamagrostis_villosa","NA","159146751","NA","NA","NA"
"Callianthemum_coriandrifolium","Callianthemum_coriandrifolium","38194060","38194032","NA","NA","NA"
"Calluna_vulgaris","Calluna_vulgaris","326635020","815932618","817991756","2734727","NA"
"Caltha_palustris","Caltha_palustris","NA","NA","NA","NA","158602256"
"Caltha_palustris_var__membranacea","Caltha_palustris","46309786","229464334","229464381","46360473","NA"
"Calystegia_sepium","Calystegia_sepium","NA","21634203","21634022","242801089","21633324"
"Calystegia_sepium_subsp__roseata","Calystegia_sepium","194022439","NA","NA","NA","NA"
"Camelina_microcarpa","Camelina_microcarpa","525672654","111610364","387392187","111074685","NA"
"Campanula_alpestris","Campanula_alpestris","NA","152937935","614497648","614497494","614497382"
"Campanula_cenisia","Campanula_cenisia","83583558","614497765","614497678","614497520","614497400"
"Campanula_glomerata","Campanula_glomerata","NA","NA","817991760","NA","NA"
"Campanula_glomerata_var__dahurica","Campanula_glomerata","338223967","338224106","NA","449840777","448872427"
"Campanula_latifolia","Campanula_latifolia","34811761","89702141","125486742","197257916","183206549"
"Campanula_patula","Campanula_patula","NA","152937942","379035922","614497544","614497438"
"Campanula_persicifolia","Campanula_persicifolia","NA","152937943","253992180","542093941","183206651"
"Campanula_rapunculoides","Campanula_rapunculoides","328774610","328774668","685846752","197257944","183206577"
"Campanula_rhomboidalis","Campanula_rhomboidalis","597717762","614497781","614497712","614497552","614497448"
"Campanula_rotundifolia","Campanula_rotundifolia","83583551","152937947","194400753","197258046","183206673"
"Campanula_spicata","Campanula_spicata","83583510","126508031","253992214","614497562","614497458"
"Campanula_trachelium","Campanula_trachelium","NA","89702143","NA","NA","8452639"
"Campanula_trachelium_subsp__trachelium","Campanula_trachelium","NA","NA","404243537","406034596","NA"
"Capsella_bursa-pastoris","Capsella_bursa-pastoris","747035608","85679336","817991762","684218309","NA"
"Cardamine_alpina","Cardamine_alpina","78098481","215513758","NA","NA","NA"
"Cardamine_bellidifolia","Cardamine_bellidifolia","208293764","260079591","459991890","459927550","NA"
"Cardamine_heptaphylla","Cardamine_heptaphylla","NA","208969208","NA","NA","NA"
"Cardamine_hirsuta","Cardamine_hirsuta","82502029","148767238","340510993","340512795","NA"
"Cardamine_impatiens","Cardamine_impatiens","82502175","661903267","379033899","351583133","NA"
"Cardamine_pentaphyllos","Cardamine_pentaphyllos","208293811","6561766","NA","NA","NA"
"Cardamine_resedifolia","Cardamine_resedifolia","78098485","215513762","NA","NA","NA"
"Carduus_acanthoides","Carduus_acanthoides","423091407","559146819","NA","910279026","NA"
"Carduus_defloratus","Carduus_defloratus","60614755","60202365","500049521","59894613","NA"
"Carduus_nutans","Carduus_nutans","NA","8452856","817991766","379038662","NA"
"Carduus_nutans_subsp__leiophyllus","Carduus_nutans","146260807","NA","NA","NA","NA"
"Carex_acutiformis","Carex_acutiformis","262181577","169955922","379034807","379040406","NA"
"Carex_alba","Carex_alba","33440174","NA","NA","NA","NA"
"Carex_atrata","Carex_atrata","NA","NA","379034597","NA","NA"
"Carex_atrata_subsp__aterrima","Carex_atrata","224714398","169955897","NA","NA","NA"
"Carex_bicolor","Carex_bicolor","169956018","169955899","459991982","459927604","NA"
"Carex_capillaris","Carex_capillaris","132694246","169955901","379036708","371533268","NA"
"Carex_caryophyllea","Carex_caryophyllea","224714383","169955902","379036712","379039952","NA"
"Carex_cespitosa","Carex_cespitosa","NA","312182191","NA","NA","NA"
"Carex_davalliana","Carex_davalliana","300411407","300411364","NA","NA","NA"
"Carex_digitata","Carex_digitata","59804020","12006528","379034199","NA","NA"
"Carex_echinata","Carex_echinata","92429855","59860212","379035470","379040874","NA"
"Carex_ferruginea","Carex_ferruginea","169956024","169955906","557836445","NA","NA"
"Carex_flacca","Carex_flacca","132694256","121645890","NA","379040432","NA"
"Carex_flacca_subsp__flacca","Carex_flacca","NA","NA","404243551","NA","NA"
"Carex_flava","Carex_flava","160338163","59860258","NA","NA","NA"
"Carex_foetida","Carex_foetida","33521079","NA","NA","NA","NA"
"Carex_frigida","Carex_frigida","33440206","NA","NA","NA","NA"
"Carex_hirta","Carex_hirta","169956027","169955909","379034283","379042218","NA"
"Carex_hostiana","Carex_hostiana","169956029","169955911","379036164","379040466","NA"
"Carex_humilis","Carex_humilis","33440175","12006532","667668232","335353338","NA"
"Carex_liparocarpos","Carex_liparocarpos","33440176","NA","NA","NA","NA"
"Carex_macloviana","Carex_macloviana","170780144","NA","NA","NA","NA"
"Carex_montana","Carex_montana","12006605","12006503","379034549","379040212","NA"
"Carex_muricata","Carex_muricata","12006662","146230094","379037570","379042412","NA"
"Carex_pallescens","Carex_pallescens","59804008","59860274","379037566","379042408","NA"
"Carex_panicea","Carex_panicea","33440199","121645912","557836432","379042410","NA"
"Carex_planostachys","Carex_planostachys","12006660","12006558","NA","NA","NA"
"Carex_rostrata","Carex_rostrata","262181578","169955920","379037440","379042312","NA"
"Carex_rupestris","Carex_rupestris","284944769","8886542","459992205","675440303","NA"
"Carex_spicata","Carex_spicata","134019271","146230095","379037108","379038516","NA"
"Carex_sylvatica","Carex_sylvatica","59803995","59860261","379037112","607344990","NA"
"Carex_vesicaria","Carex_vesicaria","33440204","NA","379037254","392358345","NA"
"Carex_viridula","Carex_viridula","59803993","59860259","379037114","379042090","NA"
"Carex_vulpina","Carex_vulpina","33521082","NA","733452078","NA","NA"
"Carlina_acanthifolia","Carlina_acanthifolia","667637907","60202366","500049529","17220846","NA"
"Carlina_acaulis","Carlina_acaulis","910278979","667668309","557836628","910279352","NA"
"Carlina_biebersteinii_var__biebersteinii","Carlina_biebersteinii","NA","190148639","NA","NA","NA"
"Carlina_vulgaris","Carlina_vulgaris","667637908","60202370","500049538","379041772","NA"
"Carum_carvi","Carum_carvi","386778953","376373209","747154602","2281148","NA"
"Catananche_caerulea","Catananche_caerulea","NA","6958288","NA","54021614","NA"
"Caucalis_platycarpos","Caucalis_platycarpos","211907691","NA","NA","NA","NA"
"Cedrus_atlantica","Cedrus_atlantica","NA","118723278","9963687","NA","NA"
"Centaurea_cyanus","Centaurea_cyanus","329025145","300392343","379032742","379038168","NA"
"Centaurea_jacea","Centaurea_jacea","910278832","559146830","557836229","607344992","NA"
"Centaurea_montana","Centaurea_montana","329025148","300392358","557836272","559146698","NA"
"Centaurea_scabiosa","Centaurea_scabiosa","910278823","376373210","379035376","379038176","NA"
"Centaurea_solstitialis","Centaurea_solstitialis","313582601","559146834","NA","559146706","NA"
"Centaurea_stoebe","Centaurea_stoebe","NA","559146835","667668110","642988241","NA"
"Centaurea_stoebe_subsp__micranthos","Centaurea_stoebe","239586341","NA","NA","NA","NA"
"Centaurium_erythraea","Centaurium_erythraea","507118313","33308330","379035514","379039346","NA"
"Centranthus_angustifolius","Centranthus_angustifolius","37655007","332077846","NA","34863578","NA"
"Centranthus_calcitrapae","Centranthus_calcitrapae","85810995","85822899","NA","34863576","NA"
"Cephalanthera_damasonium","Cephalanthera_damasonium","61619754","16609982","3560627","37222982","NA"
"Cephalanthera_longifolia","Cephalanthera_longifolia","34493776","NA","635174179","635173356","NA"
"Cerastium_alpinum","Cerastium_alpinum","359389367","260079679","379032194","379038526","NA"
"Cerastium_arvense","Cerastium_arvense","598699206","239837484","667668196","62870790","NA"
"Cerastium_cerastoides","Cerastium_cerastoides","451768447","46578005","NA","NA","NA"
"Cerastium_fontanum","Cerastium_fontanum","62870724","239837485","557836545","340512871","NA"
"Cerastium_latifolium","Cerastium_latifolium","NA","46577918","557836537","NA","NA"
"Cerastium_pumilum","Cerastium_pumilum","NA","46577989","379035089","379039772","NA"
"Cerastium_semidecandrum","Cerastium_semidecandrum","NA","46577941","379035087","379040412","NA"
"Cerastium_uniflorum","Cerastium_uniflorum","NA","46577921","NA","NA","NA"
"Cerinthe_minor","Cerinthe_minor","239836043","239836100","NA","NA","NA"
"Chaenorhinum_minus","Chaenorhinum_minus","33324857","NA","NA","379041702","NA"
"Chaenorhinum_minus_subsp__minus","Chaenorhinum_minus","NA","NA","404243589","NA","NA"
"Chaerophyllum_aureum","Chaerophyllum_aureum","6648800","NA","557836299","NA","NA"
"Chaerophyllum_temulum","Chaerophyllum_temulum","748302453","NA","379036368","379040420","NA"
"Chaerophyllum_villarsii","Chaerophyllum_villarsii","6648812","NA","NA","NA","NA"
"Chamerion_angustifolium","Chamerion_angustifolium","343404690","32816068","817991910","848131862","14718041"
"Chamorchis_alpina","Chamorchis_alpina","NA","NA","440577880","440579014","NA"
"Chelidonium_majus","Chelidonium_majus","402545412","37790957","379035530","393660978","NA"
"Chenopodium_album","Chenopodium_album","806818106","371781668","NA","440584194","NA"
"Chenopodium_album_subsp__album","Chenopodium_album","NA","NA","404243603","NA","NA"
"Chlorocrepis_staticifolia","Chlorocrepis_staticifolia","NA","NA","NA","54021532","NA"
"Chondrilla_juncea","Chondrilla_juncea","3900986","6958283","404243611","406034604","NA"
"Chrysosplenium_alternifolium","Chrysosplenium_alternifolium","363548357","121491130","379034427","443497693","NA"
"Cichorium_intybus","Cichorium_intybus","383929133","46102439","289848","379041370","8452630"
"Cirsium_acaule","Cirsium_acaule","NA","NA","557836234","379040884","NA"
"Cirsium_arvense","Cirsium_arvense","21636063","559146842","424949734","315140425","NA"
"Cirsium_eriophorum","Cirsium_eriophorum","NA","NA","379035718","379041058","NA"
"Cirsium_monspessulanum","Cirsium_monspessulanum","21636098","559146856","NA","559146748","NA"
"Cirsium_palustre","Cirsium_palustre","21636085","114704054","500049585","379040932","NA"
"Cirsium_spinosissimum","Cirsium_spinosissimum","21636101","559146865","557836236","559146766","NA"
"Cirsium_vulgare","Cirsium_vulgare","470012197","8452857","NA","379040716","NA"
"Cirsium_vulgare_subsp__vulgare","Cirsium_vulgare","NA","NA","404243621","NA","NA"
"Cladium_mariscus","Cladium_mariscus","NA","70795149","379035704","379041046","NA"
"Clematis_vitalba","Clematis_vitalba","293627112","NA","817991828","31339224","NA"
"Clinopodium_acinos","Clinopodium_acinos","294999843","294999957","379035710","295000139","NA"
"Clinopodium_alpinum","Clinopodium_alpinum","30013366","42556248","557836592","58045247","NA"
"Clinopodium_grandiflorum","Clinopodium_grandiflorum","307556922","NA","NA","NA","NA"
"Clinopodium_nepeta","Clinopodium_nepeta","NA","294999993","NA","58045259","NA"
"Clinopodium_vulgare","Clinopodium_vulgare","111119993","NA","817991830","58045263","NA"
"Clinopodium_vulgare_subsp__arundanum","Clinopodium_vulgare","NA","45433830","NA","NA","NA"
"Coincya_monensis","Coincya_monensis","57638890","57638985","379035890","345424635","NA"
"Colchicum_alpinum","Colchicum_alpinum","NA","350641937","NA","NA","NA"
"Colchicum_autumnale","Colchicum_autumnale","593936670","40642944","379035436","379040850","5758794"
"Colutea_arborescens","Colutea_arborescens","NA","4927062","817991832","37518643","NA"
"Consolida_regalis","Consolida_regalis","324963335","324963150","324963098","NA","NA"
"Consolida_regalis_subsp__regalis","Consolida_regalis","NA","NA","NA","406034308","NA"
"Convallaria_majalis","Convallaria_majalis","212524911","22796127","460695","313756534","5758796"
"Convolvulus_arvensis","Convolvulus_arvensis","570307754","508291513","21634024","607345000","6706140"
"Conyza_canadensis","Conyza_canadensis","119220519","376373238","817991840","607345002","NA"
"Corallorhiza_trifida","Corallorhiza_trifida","486175478","NA","635174075","154968263","NA"
"Cormus_domestica","Cormus_domestica","269101229","112443048","NA","114150748","NA"
"Coronilla_minima","Coronilla_minima","324496686","NA","NA","378758101","NA"
"Coronilla_vaginalis","Coronilla_vaginalis","109629710","NA","NA","NA","NA"
"Corydalis_solida","Corydalis_solida","NA","803360818","817991846","764121025","NA"
"Corylus_avellana","Corylus_avellana","324035595","37720902","33113306","38565243","32815634"
