"","species","ITS","trnTLF","rbcL","matK","atpB"
"Lamium_garganicum_subsp__corsicum","Lamium_garganicum","NA","NA","NA","352005262","NA"
"Lamium_garganicum_subsp__garganicum","Lamium_garganicum","449076121","351862688","NA","NA","NA"
"Lamium_maculatum","Lamium_maculatum","550600349","351862702","3355775","32811727","NA"
"Lamium_purpureum","Lamium_purpureum","449076114","NA","3355777","335059914","335060108"
"Lamium_purpureum_var__hybridum","Lamium_purpureum","NA","351862696","NA","NA","NA"
"Lappula_squarrosa","Lappula_squarrosa","399606288","296144066","578897926","402173121","24940189"
"Lapsana_communis","Lapsana_communis","307149596","NA","817992064","607345076","NA"
"Larix_decidua","Larix_decidua","NA","27462494","6683221","NA","NA"
"Laserpitium_gallicum_subsp__orospedanum","Laserpitium_gallicum","211907711","NA","NA","NA","NA"
"Laserpitium_halleri","Laserpitium_halleri","211907715","NA","NA","NA","NA"
"Laserpitium_latifolium","Laserpitium_latifolium","211907716","667668297","557836311","667667948","NA"
"Laserpitium_siler","Laserpitium_siler","674781504","NA","NA","NA","NA"
"Lathyrus_latifolius","Lathyrus_latifolius","807268747","807268865","685847204","21929960","NA"
"Lathyrus_linifolius","Lathyrus_linifolius","59799666","59859829","379037282","379038106","NA"
"Lathyrus_pratensis","Lathyrus_pratensis","440234439","440233740","41056410","440233892","NA"
"Lathyrus_sphaericus","Lathyrus_sphaericus","440234456","440233752","399659499","440233908","NA"
"Lathyrus_sylvestris","Lathyrus_sylvestris","440234460","440233754","484849399","379039590","NA"
"Lathyrus_vernus","Lathyrus_vernus","440234470","440233762","NA","701462325","NA"
"Lavandula_angustifolia","Lavandula_angustifolia","258588981","294999931","671544","294335279","NA"
"Leontodon_crispus","Leontodon_crispus","91983009","93278217","NA","29243716","NA"
"Leontodon_hispidus","Leontodon_hispidus","337730110","29423251","379033074","379037922","NA"
"Leontopodium_brachyactis","Leontopodium_brachyactis","NA","166407464","NA","NA","NA"
"Leopoldia_comosa","Leopoldia_comosa","NA","239583999","440577096","NA","37721022"
"Leucanthemopsis_alpina","Leucanthemopsis_alpina","695133261","NA","NA","NA","NA"
"Leucanthemum_vulgare","Leucanthemum_vulgare","156616958","261863616","41056413","315140637","NA"
"Ligustrum_vulgare","Ligustrum_vulgare","164460239","15637301","108773701","335058825","335059314"
"Lilium_bulbiferum","Lilium_bulbiferum","3851562","NA","7768629","NA","NA"
"Lilium_martagon","Lilium_martagon","NA","NA","733452237","677282112","NA"
"Lilium_martagon_var__pilosiusculum","Lilium_martagon","300836789","NA","NA","NA","NA"
"Linaria_alpina","Linaria_alpina","393193072","379061173","557836597","156712581","NA"
"Linaria_angustissima","Linaria_angustissima","476006019","NA","NA","NA","NA"
"Linaria_repens","Linaria_repens","476006030","562744936","379033506","379039482","NA"
"Linaria_simplex","Linaria_simplex","393193111","379061251","NA","NA","NA"
"Linum_alpinum","Linum_alpinum","NA","NA","557836417","NA","NA"
"Linum_catharticum","Linum_catharticum","224472418","674277786","237636962","379040786","NA"
"Linum_suffruticosum","Linum_suffruticosum","224472417","219552022","237637001","315064759","NA"
"Linum_tenuifolium","Linum_tenuifolium","224472414","219552024","237637007","406034036","NA"
"Listera_ovata","Listera_ovata","258618046","725541588","379037592","379042430","NA"
"Lithospermum_officinale","Lithospermum_officinale","601105919","239836073","578898062","601101235","NA"
"Lloydia_serotina","Lloydia_serotina","195970603","260079993","817992100","54398558","8439433"
"Lolium_perenne","Lolium_perenne","240017971","NA","NA","119553598","110915663"
"Lolium_perenne_subsp__perenne","Lolium_perenne","NA","74133838","57283865","NA","NA"
"Lomelosia_graminifolia","Lomelosia_graminifolia","223587194","225055710","NA","NA","NA"
"Lonicera_caerulea_var__edulis","Lonicera_caerulea","149207759","28172943","NA","NA","NA"
"Lonicera_etrusca","Lonicera_etrusca","209902252","NA","NA","34863530","NA"
"Lonicera_nigra","Lonicera_nigra","163644808","308051850","NA","NA","NA"
"Lonicera_webbiana","Lonicera_webbiana","NA","NA","343188002","351585101","NA"
"Lonicera_xylosteum","Lonicera_xylosteum","163644830","308051852","733452056","315259906","NA"
"Lotus_alpinus","Lotus_alpinus","76365351","NA","NA","NA","NA"
"Lotus_corniculatus","Lotus_corniculatus","391225683","302584569","817992108","379038808","11120585"
"Lotus_delortii","Lotus_delortii","77176604","NA","NA","NA","NA"
"Lotus_maritimus","Lotus_maritimus","7341121","NA","817992396","NA","NA"
"Lunaria_annua","Lunaria_annua","525672696","NA","404243881","406034394","NA"
"Lunaria_rediviva","Lunaria_rediviva","255761665","NA","NA","NA","NA"
"Luzula_alpinopilosa","Luzula_alpinopilosa","226358797","259585068","NA","NA","NA"
"Luzula_campestris","Luzula_campestris","226358826","38565330","379037548","379040486","NA"
"Luzula_lutea","Luzula_lutea","226358791","259585064","NA","NA","NA"
"Luzula_luzulina","Luzula_luzulina","226358854","259585108","30421691","NA","NA"
"Luzula_multiflora","Luzula_multiflora","NA","33637495","379037078","379040958","21684900"
"Luzula_multiflora_subsp__snogerupii","Luzula_multiflora","259585115","NA","NA","NA","NA"
"Luzula_nivea","Luzula_nivea","NA","38565317","30421727","NA","NA"
"Luzula_spicata","Luzula_spicata","226358809","38565326","459993906","675272435","NA"
"Luzula_sudetica","Luzula_sudetica","62526599","38565333","30421721","NA","NA"
"Luzula_sylvatica","Luzula_sylvatica","226358795","33637496","557836370","379042286","NA"
"Lycopus_europaeus","Lycopus_europaeus","NA","294999937","379036300","58045265","NA"
"Lycopus_europaeus_var__exaltatus","Lycopus_europaeus","42556306","NA","NA","NA","NA"
"Lysimachia_vulgaris","Lysimachia_vulgaris","33334275","33334321","379036296","607345092","NA"
"Lythrum_salicaria","Lythrum_salicaria","21303299","NA","817992120","315140657","14718116"
"Macrosyringion_glutinosum","Macrosyringion_glutinosum","402536078","NA","NA","402536056","NA"
"Maianthemum_bifolium","Maianthemum_bifolium","343405414","22796684","519671008","313756552","499069367"
"Malus_sylvestris","Malus_sylvestris","380855488","255683077","379062250","384598856","NA"
"Malus_x_domestica","Malus_x","6630880","400530342","817992124","69608714","NA"
"Malva_alcea","Malva_alcea","148576533","NA","240253204","169798620","NA"
"Malva_moschata","Malva_moschata","148576534","726966081","379036290","169798624","NA"
"Matricaria_matricarioides","Matricaria_matricarioides","11558324","4154140","342196459","21629807","NA"
"Medicago_lupulina","Medicago_lupulina","298570049","298570122","41056421","469476534","NA"
"Medicago_minima","Medicago_minima","298570050","298570123","667668084","300390523","NA"
"Medicago_monspeliaca","Medicago_monspeliaca","30230676","NA","NA","295694653","NA"
"Medicago_sativa","Medicago_sativa","410934465","298570124","11737","NA","5679308"
"Medicago_sativa_subsp__caerulea","Medicago_sativa","NA","NA","NA","300390541","NA"
"Melampyrum_sylvaticum","Melampyrum_sylvaticum","194307487","260080019","379035786","6650054","NA"
"Melica_ciliata","Melica_ciliata","346642370","346642418","685212182","685212410","NA"
"Melica_nutans","Melica_nutans","341872788","NA","379037422","379041096","NA"
"Melica_uniflora","Melica_uniflora","NA","119553735","57283805","379041226","NA"
"Melilotus_albus","Melilotus_albus","85724127","297306051","313664306","295694667","NA"
"Melilotus_officinalis","Melilotus_officinalis","NA","NA","817992136","NA","NA"
"Melilotus_officinalis_subsp__suaveolens","Melilotus_officinalis","300089245","787750933","NA","302585168","NA"
"Melittis_melissophyllum","Melittis_melissophyllum","537368602","357241246","379037218","379038716","NA"
"Mentha_aquatica","Mentha_aquatica","685979060","53654114","316994990","340512891","NA"
"Mentha_arvensis","Mentha_arvensis","530692908","53654115","379037216","379042154","NA"
"Mentha_longifolia","Mentha_longifolia","56068933","53654123","671554","371754324","NA"
"Meum_athamanticum","Meum_athamanticum","5852232","NA","379031291","379038856","NA"
"Micranthes_stellaris","Micranthes_stellaris","495021299","14248872","495021307","379038782","NA"
"Milium_effusum","Milium_effusum","544582160","119553736","440577120","NA","NA"
"Milium_effusum_subsp__effusum","Milium_effusum","NA","NA","NA","133917539","NA"
"Minuartia_laricifolia","Minuartia_laricifolia","NA","NA","NA","240266101","NA"
"Minuartia_laricifolia_subsp__laricifolia","Minuartia_laricifolia","598699173","NA","NA","NA","NA"
"Minuartia_rupestris","Minuartia_rupestris","62870720","239837507","NA","NA","NA"
"Minuartia_verna","Minuartia_verna","62870722","260080042","399139725","379040436","NA"
"Moehringia_muscosa","Moehringia_muscosa","62870760","NA","NA","62870812","NA"
"Moehringia_trinervia","Moehringia_trinervia","62870761","NA","817992148","15341025","NA"
"Molinia_caerulea","Molinia_caerulea","3282480","NA","NA","7670662","NA"
"Molinia_caerulea_subsp__arundinacea","Molinia_caerulea","NA","NA","407724233","NA","NA"
"Moneses_uniflora","Moneses_uniflora","234204652","226876637","359388641","698373226","NA"
"Monotropa_hypopitys","Monotropa_hypopitys","21305536","NA","733452034","33312263","NA"
"Muscari_neglectum","Muscari_neglectum","315667055","409053490","733452183","409053364","NA"
"Myosotis_alpestris","Myosotis_alpestris","20562955","490262636","557836612","21629536","NA"
"Myosotis_arvensis","Myosotis_arvensis","20562956","601106009","379037180","196051560","24940199"
"Myosotis_decumbens_subsp__decumbens","Myosotis_decumbens","20562966","NA","NA","21629554","NA"
"Myosotis_ramosissima","Myosotis_ramosissima","NA","NA","379035466","379038788","NA"
"Myosotis_stricta","Myosotis_stricta","NA","NA","340511681","21629588","NA"
"Myricaria_germanica","Myricaria_germanica","46371851","332983531","NA","NA","NA"
"Narcissus_poeticus","Narcissus_poeticus","NA","NA","NA","451768627","NA"
"Narcissus_poeticus_subsp__hellenicus","Narcissus_poeticus","NA","39598504","NA","NA","NA"
"Nardus_stricta","Nardus_stricta","187473731","186969894","51511888","7670628","NA"
"Nasturtium_officinale","Nasturtium_officinale","31442768","27461492","340511693","886848545","NA"
"Neotinea_ustulata","Neotinea_ustulata","34333980","15145778","733452020","NA","NA"
"Noccaea_caerulescens","Noccaea_caerulescens","84874616","76009303","305128051","379037792","NA"
"Noccaea_rotundifolia","Noccaea_rotundifolia","408777460","NA","557836373","NA","NA"
"Onobrychis_viciifolia","Onobrychis_viciifolia","302584476","807268881","817992184","378758011","NA"
"Ononis_arvensis","Ononis_arvensis","NA","NA","NA","21930014","NA"
"Ononis_cristata_subsp__cristata","Ononis_cristata","298569993","298570068","NA","NA","NA"
"Ononis_fruticosa","Ononis_fruticosa","298569997","298570072","NA","NA","NA"
"Ononis_natrix","Ononis_natrix","NA","NA","391225661","295694670","NA"
"Ononis_natrix_subsp__arganietorum","Ononis_natrix","298570009","298570084","NA","NA","NA"
"Ononis_pusilla","Ononis_pusilla","799310354","NA","NA","NA","NA"
"Ononis_pusilla_subsp__saxicola","Ononis_pusilla","NA","298570094","NA","NA","NA"
"Ononis_rotundifolia","Ononis_rotundifolia","298570025","298570098","NA","NA","NA"
"Ophrys_fuciflora","Ophrys_fuciflora","14578540","15145759","240253240","246655203","NA"
"Ophrys_insectifera","Ophrys_insectifera","51872500","15145764","379033797","440584686","NA"
"Ophrys_sphegodes","Ophrys_sphegodes","51872524","15145771","NA","NA","NA"
"Orchis_mascula","Orchis_mascula","33772624","NA","817992190","379041274","NA"
"Orchis_militaris","Orchis_militaris","51872527","15145777","733451916","733451838","NA"
"Orchis_purpurea","Orchis_purpurea","34333979","NA","733452301","NA","NA"
"Oreoselinum_nigrum","Oreoselinum_nigrum","29423039","NA","NA","NA","NA"
"Origanum_vulgare","Origanum_vulgare","NA","NA","671592","295000415","NA"
"Origanum_vulgare_subsp__hirtum","Origanum_vulgare","166033792","NA","NA","NA","NA"
"Origanum_vulgare_subsp__vulgare","Origanum_vulgare","NA","428673741","NA","NA","NA"
"Orlaya_grandiflora","Orlaya_grandiflora","633265653","NA","NA","NA","NA"
"Ornithogalum_umbellatum","Ornithogalum_umbellatum","NA","409053506","733452239","NA","NA"
"Orobanche_caryophyllacea","Orobanche_caryophyllacea","29123677","NA","46410746","6650056","NA"
"Orobanche_purpurea","Orobanche_purpurea","29123748","NA","379034761","NA","NA"
"Orobanche_teucrii","Orobanche_teucrii","29123676","NA","46410831","NA","NA"
"Orthilia_secunda","Orthilia_secunda","575669126","226876640","379032160","379038496","NA"
"Oxalis_acetosella","Oxalis_acetosella","480306808","365777340","NA","NA","257853489"
"Oxalis_acetosella_subsp__japonica","Oxalis_acetosella","NA","NA","480306792","480306852","NA"
"Oxyria_digyna","Oxyria_digyna","392612348","392499314","176044801","218203584","NA"
"Oxytropis_campestris","Oxytropis_campestris","306516679","678605944","817992202","378757985","NA"
"Oxytropis_pilosa","Oxytropis_pilosa","4680591","667668266","667668058","60256758","NA"
"Paeonia_officinalis","Paeonia_officinalis","NA","NA","817992206","NA","NA"
"Paeonia_officinalis_subsp__banatica","Paeonia_officinalis","NA","NA","NA","2708598","NA"
"Paeonia_officinalis_subsp__microcarpa","Paeonia_officinalis","371538288","NA","NA","NA","NA"
"Papaver_alpinum","Papaver_alpinum","82547027","82542185","393191638","393660908","NA"
"Papaver_dubium","Papaver_dubium","82547087","82542187","379036662","379041764","NA"
"Paris_quadrifolia","Paris_quadrifolia","343405741","90296915","379036934","566553718","704358378"
"Parnassia_palustris","Parnassia_palustris","334691587","111380100","NA","379041948","8452717"
"Parnassia_palustris_subsp__neogaena","Parnassia_palustris","NA","NA","359387586","NA","NA"
"Paronychia_kapela","Paronychia_kapela","13624879","NA","NA","62870768","NA"
"Pastinaca_sativa","Pastinaca_sativa","NA","745798185","379037398","607345112","NA"
"Pastinaca_sativa_subsp__sativa","Pastinaca_sativa","163961879","NA","NA","NA","NA"
"Pedicularis_foliosa","Pedicularis_foliosa","66821837","NA","3790424","19909175","NA"
"Pedicularis_kerneri","Pedicularis_kerneri","66821810","NA","NA","63253876","NA"
"Pedicularis_tuberosa","Pedicularis_tuberosa","66821819","NA","NA","484354058","NA"
"Pedicularis_verticillata","Pedicularis_verticillata","66821856","175076540","557836420","651034707","NA"
"Persicaria_amphibia","Persicaria_amphibia","151195097","151195592","469473935","469473939","NA"
"Persicaria_lapathifolia","Persicaria_lapathifolia","151195101","162718402","NA","300302236","NA"
"Persicaria_lapathifolia_subsp__lapathifolia","Persicaria_lapathifolia","NA","NA","404243955","NA","NA"
"Persicaria_maculosa","Persicaria_maculosa","385153324","156536629","379037532","340513453","NA"
"Persicaria_mitis","Persicaria_mitis","NA","NA","379037552","379042388","NA"
"Petasites_albus","Petasites_albus","308229198","308228783","733451918","308320348","NA"
"Petasites_hybridus","Petasites_hybridus","NA","555685514","817992226","379041272","NA"
"Petrorhagia_prolifera","Petrorhagia_prolifera","294984975","667668359","733452281","667667990","NA"
"Petrorhagia_saxifraga","Petrorhagia_saxifraga","408905315","239837514","597518390","240266115","NA"
"Phelipanche_purpurea_var__purpurea","Phelipanche_purpurea","29123747","NA","NA","NA","NA"
"Phleum_alpinum","Phleum_alpinum","300247354","260080153","733451942","871330580","NA"
"Phleum_phleoides","Phleum_phleoides","32364906","NA","733451954","133917447","NA"
"Phleum_pratense","Phleum_pratense","341872796","189303947","71056593","7670634","110915677"
"Phragmites_australis","Phragmites_australis","341872763","514482118","558554628","6642858","150035722"
"Phyteuma_ovatum","Phyteuma_ovatum","542093770","542093860","541049772","542094009","NA"
"Phyteuma_scheuchzeri","Phyteuma_scheuchzeri","NA","NA","541049775","NA","NA"
"Phyteuma_spicatum","Phyteuma_spicatum","83583520","408689040","194320440","542094063","183206515"
"Picea_abies","Picea_abies","NA","186898328","386802349","386802101","NA"
"Picris_hieracioides","Picris_hieracioides","NA","574453797","574453711","379042108","NA"
"Picris_hieracioides_subsp__morrisonensis","Picris_hieracioides","119392326","NA","NA","NA","NA"
"Picris_sp__SL-2012","Picris_sp","NA","NA","399139793","NA","NA"
"Pilosella_lactucella","Pilosella_lactucella","59709929","59709897","557836323","54021457","NA"
"Pilosella_peleteriana","Pilosella_peleteriana","NA","NA","379037130","379039032","NA"
"Pimpinella_major","Pimpinella_major","NA","376373239","557836308","NA","NA"
"Pimpinella_saxifraga","Pimpinella_saxifraga","46393731","312182260","379034067","379039880","NA"
"Pinguicula_alpina","Pinguicula_alpina","95117644","20386230","NA","32811733","NA"
"Pinguicula_vulgaris","Pinguicula_vulgaris","95117637","260080167","817992250","32811781","NA"
"Pinus_mugo","Pinus_mugo","NA","NA","166714462","17976882","NA"
"Pinus_mugo_subsp__uncinata","Pinus_mugo","NA","31559607","NA","NA","NA"
"Pinus_nigra","Pinus_nigra","NA","218136485","386802403","386802155","NA"
"Pinus_sylvestris","Pinus_sylvestris","NA","409188108","6683187","197942399","NA"
"Plantago_atrata","Plantago_atrata","21483652","21539858","15215996","NA","NA"
"Plantago_holosteum","Plantago_holosteum","NA","NA","404243981","406034076","NA"
"Plantago_lanceolata","Plantago_lanceolata","154867165","21539861","703239","197942081","14718184"
"Plantago_major","Plantago_major","21483618","21539826","557836602","197942087","NA"
"Plantago_maritima","Plantago_maritima","317185360","21539843","379037026","459929592","NA"
"Plantago_media","Plantago_media","21483622","21539829","557836605","57901542","NA"
"Plantago_sempervirens","Plantago_sempervirens","21483646","21539851","NA","NA","NA"
"Platanthera_chlorantha","Platanthera_chlorantha","615503169","52550862","635174037","149286643","NA"
"Pleurospermum_austriacum","Pleurospermum_austriacum","246367190","242876962","NA","NA","NA"
"Poa_alpina","Poa_alpina","NA","45934438","557836576","110916027","110915679"
"Poa_alpina_var__vivipara","Poa_alpina","37359482","NA","NA","NA","NA"
"Poa_annua","Poa_annua","22203684","45934443","387912212","133917529","NA"
"Poa_badensis","Poa_badensis","297375346","45934439","NA","NA","NA"
"Poa_bulbosa","Poa_bulbosa","209887695","209887237","NA","133917531","NA"
"Poa_bulbosa_subsp__bulbosa","Poa_bulbosa","NA","NA","404243989","NA","NA"
"Poa_cenisia","Poa_cenisia","NA","45934451","557836354","NA","NA"
"Poa_chaixii","Poa_chaixii","209887708","45934445","733452283","871330598","NA"
"Poa_glauca","Poa_glauca","209887701","37359552","379037366","379038132","NA"
"Poa_laxa","Poa_laxa","NA","45934449","NA","NA","NA"
"Poa_laxa_subsp__flexuosa","Poa_laxa","297375376","NA","NA","290490898","NA"
"Poa_nemoralis","Poa_nemoralis","297375385","45934456","379034705","379038504","NA"
"Poa_pratensis","Poa_pratensis","NA","55831367","424949934","7670644","NA"
"Poa_pratensis_subsp__angustifolia","Poa_pratensis","347812090","NA","NA","NA","NA"
"Poa_supina","Poa_supina","124244475","166407475","557836330","NA","NA"
"Poa_trivialis","Poa_trivialis","7381411","119553740","340511839","340512333","NA"
"Polycnemum_majus","Polycnemum_majus","210148635","NA","34576714","47498903","NA"
"Polygala_amarella","Polygala_amarella","268321475","268321654","NA","NA","NA"
"Polygala_calcarea","Polygala_calcarea","268321485","268321664","148590207","NA","NA"
"Polygala_chamaebuxus","Polygala_chamaebuxus","268321488","17225953","NA","NA","NA"
"Polygala_chamaebuxus_var__grandiflora","Polygala_chamaebuxus","NA","NA","148590215","187766498","NA"
"Polygala_comosa","Polygala_comosa","268321490","268321669","148590241","183529224","NA"
"Polygala_vulgaris","Polygala_vulgaris","NA","268321770","148590205","209168488","NA"
"Polygala_vulgaris_subsp__oxyptera","Polygala_vulgaris","268321592","NA","NA","NA","NA"
"Polygonatum_odoratum","Polygonatum_odoratum","332294285","NA","519671044","766943810","NA"
"Polygonatum_odoratum_var__pluriflorum","Polygonatum_odoratum","NA","NA","NA","NA","499069385"
"Polygonatum_verticillatum","Polygonatum_verticillatum","343406242","NA","546240754","766943776","NA"
"Polygonum_aviculare","Polygonum_aviculare","392612351","151195576","597518508","300302212","NA"
"Populus_alba","Populus_alba","399611563","675583609","340511853","164513207","NA"
"Populus_nigra","Populus_nigra","399611583","675583621","817992260","18146905","NA"
"Populus_tremula","Populus_tremula","536639309","675583610","17066172","51507620","NA"
"Potamogeton_alpinus","Potamogeton_alpinus","326348732","NA","459994918","371533792","229002369"
"Potentilla_argentea","Potentilla_argentea","NA","262113327","733452213","675272509","NA"
"Potentilla_aurea","Potentilla_aurea","NA","260182608","557836337","NA","NA"
"Potentilla_caulescens","Potentilla_caulescens","226858228","262113314","541049792","NA","NA"
"Potentilla_chrysantha","Potentilla_chrysantha","NA","262113318","NA","NA","NA"
"Potentilla_crantzii","Potentilla_crantzii","NA","261488514","379036912","379041930","NA"
"Potentilla_erecta","Potentilla_erecta","3746158","261488517","379037384","340512675","NA"
"Potentilla_frigida","Potentilla_frigida","NA","260182605","NA","NA","NA"
"Potentilla_grandiflora","Potentilla_grandiflora","NA","261488398","NA","NA","NA"
"Potentilla_hirta","Potentilla_hirta","NA","260182569","NA","NA","NA"
"Potentilla_inclinata","Potentilla_inclinata","NA","260182593","NA","NA","NA"
"Potentilla_neumaniana","Potentilla_neumaniana","NA","261488526","379037386","379042270","NA"
"Potentilla_reptans","Potentilla_reptans","3746129","262113305","379037376","607345134","NA"
"Prenanthes_purpurea","Prenanthes_purpurea","571053780","571054291","NA","111379035","NA"
"Primula_elatior","Primula_elatior","NA","16751623","557836557","87197466","NA"
"Primula_elatior_subsp__meyeri","Primula_elatior","194354187","NA","NA","NA","NA"
"Primula_farinosa","Primula_farinosa","119395056","147868059","557836559","87197434","NA"
"Primula_hirsuta","Primula_hirsuta","27263015","49364398","NA","49364206","NA"
"Primula_latifolia","Primula_latifolia","27263019","NA","NA","NA","NA"
"Primula_pedemontana","Primula_pedemontana","27263028","NA","NA","NA","NA"
"Primula_veris","Primula_veris","20135980","22797571","NA","49364268","NA"
"Primula_veris_subsp__macrocalyx","Primula_veris","NA","NA","21389082","NA","NA"
"Primula_vulgaris","Primula_vulgaris","442557287","218136491","379035554","87197468","NA"
"Prunella_grandiflora","Prunella_grandiflora","312861313","119506014","671606","NA","NA"
"Prunella_vulgaris","Prunella_vulgaris","42556307","756188306","671615","242801037","NA"
"Prunus_avium","Prunus_avium","133752992","255683079","NA","255683051","NA"
"Prunus_avium_subsp__avium","Prunus_avium","NA","NA","404244015","NA","NA"
"Prunus_domestica","Prunus_domestica","NA","149391817","7240413","255683052","NA"
"Prunus_domestica_subsp__insititia","Prunus_domestica","198448158","NA","NA","NA","NA"
"Prunus_dulcis","Prunus_dulcis","NA","291002592","326467656","17154832","NA"
"Prunus_dulcis_var__amara","Prunus_dulcis","221047959","NA","NA","NA","NA"
"Prunus_mahaleb","Prunus_mahaleb","13430133","555685527","326467864","326467322","NA"
"Prunus_spinosa","Prunus_spinosa","198448161","149391832","817992264","607345136","NA"
"Pseudorchis_albida","Pseudorchis_albida","NA","260080258","NA","NA","NA"
"Pseudorchis_albida_subsp__straminea","Pseudorchis_albida","66275708","NA","440577180","440579127","NA"
"Pseudoturritis_turrita","Pseudoturritis_turrita","6686860","76009301","NA","12002368","NA"
"Pteroselinum_austriacum","Pteroselinum_austriacum","29423048","NA","NA","NA","NA"
"Pulmonaria_angustifolia","Pulmonaria_angustifolia","806777203","296144067","NA","601101276","NA"
"Pulsatilla_halleri","Pulsatilla_halleri","257221019","NA","NA","NA","NA"
"Pulsatilla_halleri_subsp__styriaca","Pulsatilla_halleri","NA","148373572","NA","NA","NA"
"Pulsatilla_vernalis","Pulsatilla_vernalis","NA","148373565","NA","NA","NA"
"Pyrola_chlorantha","Pyrola_chlorantha","575669128","234204747","NA","NA","NA"
"Pyrola_media","Pyrola_media","234204692","234204739","NA","NA","NA"
"Pyrola_minor","Pyrola_minor","4928597","234204742","379035516","379039888","NA"
"Pyrola_rotundifolia","Pyrola_rotundifolia","4679035","234204748","379036460","2734791","NA"
"Pyrus_pyraster","Pyrus_pyraster","NA","585570451","817992282","NA","NA"
"Quercus_petraea","Quercus_petraea","NA","307751390","46091776","46091810","NA"
"Quercus_petraea_subsp__huguetiana","Quercus_petraea","187236152","NA","NA","NA","NA"
"Quercus_pubescens","Quercus_pubescens","187937721","307751381","290770928","290770882","NA"
"Quercus_robur","Quercus_robur","NA","NA","46091778","206604152","NA"
"Quercus_robur_subsp__pedunculiflora","Quercus_robur","751137789","307751378","NA","NA","NA"
"Ranunculus_aconitifolius","Ranunculus_aconitifolius","209863808","209863567","557836451","62911422","NA"
"Ranunculus_acris","Ranunculus_acris","50812056","312182272","379034321","NA","NA"
"Ranunculus_acris_subsp__pumilus","Ranunculus_acris","NA","NA","NA","259150891","NA"
"Ranunculus_aduncus","Ranunculus_aduncus","50811977","NA","NA","62911274","NA"
"Ranunculus_arvensis","Ranunculus_arvensis","318069006","NA","379033969","62911374","NA"
"Ranunculus_auricomus","Ranunculus_auricomus","NA","NA","379037424","259150885","NA"
"Ranunculus_bulbosus","Ranunculus_bulbosus","NA","218136493","379034563","NA","NA"
"Ranunculus_bulbosus_subsp__bulbosus","Ranunculus_bulbosus","50812013","NA","NA","62911364","NA"
"Ranunculus_glacialis","Ranunculus_glacialis","397135134","NA","557836426","NA","NA"
"Ranunculus_glacialis_subsp__camissonis","Ranunculus_glacialis","NA","111380051","NA","62911424","NA"
"Ranunculus_gramineus","Ranunculus_gramineus","396582774","NA","NA","62911442","NA"
"Ranunculus_kuepferi","Ranunculus_kuepferi","209863841","209863524","NA","NA","NA"
"Ranunculus_kuepferi_subsp__orientalis","Ranunculus_kuepferi","NA","NA","NA","62911414","NA"
"Ranunculus_lanuginosus","Ranunculus_lanuginosus","50812052","NA","NA","62911376","NA"
"Ranunculus_montanus","Ranunculus_montanus","50811983","NA","557836457","62911286","NA"
"Ranunculus_parnassiifolius_subsp__cabrerensis","Ranunculus_parnassiifolius","396582782","NA","NA","NA","NA"
"Ranunculus_parnassiifolius_subsp__parnassiifolius","Ranunculus_parnassiifolius","NA","NA","NA","62911436","NA"
"Ranunculus_platanifolius","Ranunculus_platanifolius","209863814","209863572","NA","62911420","NA"
"Ranunculus_polyanthemos","Ranunculus_polyanthemos","50812010","312182273","NA","62911358","NA"
"Ranunculus_pyrenaeus","Ranunculus_pyrenaeus","396582818","NA","NA","62911438","NA"
"Ranunculus_repens","Ranunculus_repens","403241943","166210032","379037256","323436263","NA"
"Ranunculus_seguieri","Ranunculus_seguieri","209863821","209863574","NA","62911418","NA"
"Ranunculus_trichophyllus","Ranunculus_trichophyllus","332183229","156138899","169687","62911254","158602290"
"Ranunculus_tuberosus","Ranunculus_tuberosus","NA","NA","557836428","NA","NA"
"Reseda_lutea","Reseda_lutea","560592120","NA","46325918","195540527","NA"
"Reseda_lutea_subsp__lutea","Reseda_lutea","NA","119698965","NA","NA","NA"
"Reseda_phyteuma","Reseda_phyteuma","119698299","242347132","NA","NA","NA"
"Rhamnus_alpina","Rhamnus_alpina","48994639","48256683","NA","NA","NA"
"Rhamnus_cathartica","Rhamnus_cathartica","38231764","NA","817992290","30421077","8452734"
"Rhamnus_pumila","Rhamnus_pumila","48994634","48256680","NA","NA","NA"
"Rhamnus_saxatilis","Rhamnus_saxatilis","48994648","48256692","NA","NA","NA"
"Rhinanthus_alectorolophus","Rhinanthus_alectorolophus","333696970","392841466","557836594","484354064","NA"
"Rhinanthus_glacialis","Rhinanthus_glacialis","273464265","NA","NA","484354068","NA"
"Rhinanthus_minor","Rhinanthus_minor","273464263","260080298","557836430","484354070","NA"
"Rhododendron_ferrugineum","Rhododendron_ferrugineum","24430475","27436161","354726118","3089312","NA"
"Ribes_alpinum","Ribes_alpinum","9798593","555685572","685847485","315140769","NA"
"Ribes_uva-crispa","Ribes_uva-crispa","319659317","NA","733452114","733451870","NA"
"Rorippa_amphibia","Rorippa_amphibia","NA","620596527","2443770","12002858","NA"
"Rorippa_islandica","Rorippa_islandica","90025006","260080310","379034021","111074703","NA"
"Rorippa_sylvestris","Rorippa_sylvestris","NA","620596533","2443772","379039638","NA"
"Rosa_agrestis","Rosa_agrestis","58577425","752822201","379033741","379039636","NA"
"Rosa_caesia","Rosa_caesia","830002340","752822213","379035810","379041110","NA"
"Rosa_canina","Rosa_canina","830002351","752822214","379035804","3551086","NA"
