"","metric","clade","pool","z","pval","tau.est","alt","hyp","measure"
"124","mntd","Spermatophyta","Ecrins NP",380,0.242415461665461,0.321428571428571,"two.sided","Geographic","Heterogeneity"
"125","mntd","Spermatophyta","Persistent LGM",220,0.0186902746597006,0.607142857142857,"two.sided","Geographic","Heterogeneity"
"126","mntd","Spermatophyta","Summits",366,0.206038316329047,0.346428571428571,"two.sided","Geographic","Heterogeneity"
"127","mpd","Asterales","Ecrins NP",524,0.822421314284505,0.0642857142857143,"two.sided","Geographic","Heterogeneity"
"128","mpd","Asterales","Persistent LGM",540,0.903077033938601,0.0357142857142857,"two.sided","Geographic","Heterogeneity"
"129","mpd","Asterales","Summits",488,0.648201799187281,0.128571428571429,"two.sided","Geographic","Heterogeneity"
"130","mpd","Caryophyllales","Ecrins NP",584,0.325290827092695,-0.283516483516484,"two.sided","Geographic","Heterogeneity"
"131","mpd","Caryophyllales","Persistent LGM",624,0.191706561952877,-0.371428571428571,"two.sided","Geographic","Heterogeneity"
"132","mpd","Caryophyllales","Summits",606,0.246339176413268,-0.331868131868132,"two.sided","Geographic","Heterogeneity"
"133","mpd","Lamiales","Ecrins NP",678,0.0779084713318498,-0.49010989010989,"two.sided","Geographic","Heterogeneity"
"134","mpd","Lamiales","Persistent LGM",360,0.978311453941831,0.010989010989011,"two.sided","Geographic","Heterogeneity"
"135","mpd","Lamiales","Summits",542,0.512091764574596,-0.191208791208791,"two.sided","Geographic","Heterogeneity"
"136","mpd","Poales","Ecrins NP",432,0.867596308123435,0.0505494505494506,"two.sided","Geographic","Heterogeneity"
"137","mpd","Poales","Persistent LGM",448,0.963748772502748,0.0153846153846154,"two.sided","Geographic","Heterogeneity"
"138","mpd","Poales","Summits",476,0.879545024083647,-0.0461538461538462,"two.sided","Geographic","Heterogeneity"
"139","mpd","Rosales","Ecrins NP",226,0.945983670156841,-0.0272727272727273,"two.sided","Geographic","Heterogeneity"
"140","mpd","Rosales","Persistent LGM",164,0.451196804369117,0.254545454545455,"two.sided","Geographic","Heterogeneity"
"141","mpd","Rosales","Summits",168,0.485475943733222,0.236363636363636,"two.sided","Geographic","Heterogeneity"
"142","mpd","Spermatophyta","Ecrins NP",552,0.964221530060938,0.0142857142857143,"two.sided","Geographic","Heterogeneity"
"143","mpd","Spermatophyta","Persistent LGM",622,0.695276098851476,-0.110714285714286,"two.sided","Geographic","Heterogeneity"
