"","ntaxa","obs","rand.mean","rand.sd","obs.rank","obs.z","obs.p","runs","summits","metric","clade","sig","pool"
"66",1,NA,NA,NA,NA,NA,NA,999,"Occidentale Ailefroide","mntd","Rosales",NA,"Ecrins NP"
"67",5,10.6526784,64.1572490644645,24.7740689799877,9,-2.15970056060169,0.009,999,"Olan","mntd","Rosales",1,"Ecrins NP"
"68",0,NA,NA,NA,NA,NA,NA,999,"Pelvoux","mntd","Rosales",NA,"Ecrins NP"
"69",17,37.1380242941176,34.9671299429429,10.4115454391433,598,0.208508368317061,0.598,999,"Persistent","mntd","Rosales",0,"Ecrins NP"
"70",4,24.6977485,70.3343212207207,28.36778908432,45,-1.6087461939692,0.045,999,"Plat de la Selle","mntd","Rosales",1,"Ecrins NP"
"71",15,25.2958234,37.4200497545546,11.4218897334576,150,-1.06149040460789,0.15,999,"Rateau","mntd","Rosales",0,"Ecrins NP"
"72",10,24.5349211,46.5039457191191,15.3484931405825,74,-1.43134732627475,0.074,999,"Rocher de la Selle","mntd","Rosales",0,"Ecrins NP"
"73",3,43.716027,81.5376910884218,34.2345393687277,131,-1.10478086709619,0.131,999,"Rouies","mntd","Rosales",0,"Ecrins NP"
"74",11,10.1878607272727,43.5791430593321,14.5691632453303,1,-2.2919149006558,0.001,999,"Sirac","mntd","Rosales",1,"Ecrins NP"
"75",22,30.5263595,30.0509839145054,7.98390237476783,525,0.0595417583006714,0.525,999,"Summits","mntd","Rosales",0,"Ecrins NP"
"76",12,30.6333796666667,42.7295019797297,13.7006888738764,199,-0.882884242129399,0.199,999,"Under Ice","mntd","Rosales",0,"Ecrins NP"
"77",5,43.6545774,57.5784774734735,12.7456503303841,142,-1.09244328163315,0.142,999,"Barre des Ecrins","mntd","Lamiales",0,"Ecrins NP"
"78",1,NA,NA,NA,NA,NA,NA,999,"Brevoort","mntd","Lamiales",NA,"Ecrins NP"
"79",5,44.0751634,56.7446903385385,13.2445270035962,164,-0.956585836179616,0.164,999,"Burlan","mntd","Lamiales",0,"Ecrins NP"
"80",2,73.188451,73.4161607807808,16.950592959433,250,-0.0134337354053484,0.25,999,"Choisy","mntd","Lamiales",0,"Ecrins NP"
"82",3,75.80474,65.6787487861195,15.7210699779901,608.5,0.6441031830567,0.6085,999,"La Meije","mntd","Lamiales",0,"Ecrins NP"
"83",8,34.60029875,48.8030446975726,9.51640572606643,80,-1.49244855215344,0.08,999,"Lauvitel","mntd","Lamiales",0,"Ecrins NP"
"84",5,62.0815022,56.4287449059059,12.5957238692921,685,0.448783837495462,0.685,999,"Muraillette","mntd","Lamiales",0,"Ecrins NP"
"85",4,60.25545,61.5712267937938,14.1673232389806,468,-0.0928740575476887,0.468,999,"Occidentale Ailefroide","mntd","Lamiales",0,"Ecrins NP"
"86",6,48.8386598333333,54.1326236448115,11.8432107719819,319,-0.447004103313127,0.319,999,"Olan","mntd","Lamiales",0,"Ecrins NP"
"87",2,67.428088,72.9900324004004,17.7896035591809,226,-0.312651396749646,0.226,999,"Pelvoux","mntd","Lamiales",0,"Ecrins NP"
"88",16,23.4475326875,36.6946771436436,6.17508690326129,14,-2.14525636054568,0.014,999,"Persistent","mntd","Lamiales",1,"Ecrins NP"
"89",2,81.03732,73.1243144194194,17.9615590475321,879,0.440552268299217,0.879,999,"Plat de la Selle","mntd","Lamiales",0,"Ecrins NP"
"90",9,45.3611046666667,46.5171786146146,9.09669240696736,437,-0.127087285820777,0.437,999,"Rateau","mntd","Lamiales",0,"Ecrins NP"
"91",11,41.2954855454545,43.2227245979616,7.90521489067356,404,-0.243793379327458,0.404,999,"Rocher de la Selle","mntd","Lamiales",0,"Ecrins NP"
"92",5,69.9099484,57.0179901793794,12.8165291717227,814.5,1.00588529451986,0.8145,999,"Rouies","mntd","Lamiales",0,"Ecrins NP"
"93",6,70.5804816666667,53.4335962072072,11.9369290452284,936,1.4364570145714,0.936,999,"Sirac","mntd","Lamiales",0,"Ecrins NP"
"94",21,24.5402206666667,32.3942855053625,5.08898291312042,61,-1.54334667118777,0.061,999,"Summits","mntd","Lamiales",0,"Ecrins NP"
"95",9,34.9295493333333,47.0457227182738,9.37173635666259,104,-1.29284189437604,0.104,999,"Under Ice","mntd","Lamiales",0,"Ecrins NP"
