,PhyloSor,PhyloSor_turn,PhyloSor_PD,UniFrac,UniFrac_turn,UniFrac_PD,SES_PhyloSor,SES_PhyloSor_turn,SES_PhyloSor_PD,SES_UniFrac,SES_UniFrac_turn,SES_UniFrac_PD
Under Ice-La Meije,0.393204546,0.055177784,0.338026761,0.564460613,0.104584811,0.459875802,0.152077035,-1.202443282,1.201428296,0.174843647,-1.237554149,1.423152847
Under Ice-Sirac,0.295661473,0.179178831,0.116482642,0.456386917,0.303904423,0.152482495,0.685168804,-0.643568072,1.539431326,0.698626986,-0.632133536,1.490136669
Under Ice-Rouies,0.323988016,0.041340343,0.282647673,0.489412309,0.079398332,0.410013977,-0.295940929,-0.493612189,0.105541979,-0.275249331,-0.488649809,0.270175271
Under Ice-Olan,0.264038565,0.199378092,0.064660473,0.417769793,0.332469125,0.085300669,-1.723395959,0.223548503,-2.048814705,-1.769715511,0.25471736,-1.865394858
Under Ice-Pelvoux,0.503356539,0.185890754,0.317465785,0.669643596,0.313504011,0.356139584,-2.926498255,1.377396876,-3.730081134,-3.083115769,1.376942588,-2.746510145
Under Ice-Occidentale Ailefroide,0.372507796,0,0.372507796,0.542813378,0,0.542813378,-0.513452528,NA,-0.513452528,-0.496522852,NA,-0.496522852
Under Ice-Brevoort,0.597753295,0.031955411,0.565797884,0.748242294,0.061931768,0.686310526,-1.518391573,-0.537807983,-0.727824754,-1.536849456,-0.538709254,-0.048783405
Under Ice-Burlan,0.33311392,0,0.33311392,0.499753119,0,0.499753119,-0.517878213,NA,-0.517878213,-0.500687992,NA,-0.500687992
Under Ice-Rocher de la Selle,0.22378705,0.115361536,0.108425514,0.365728744,0.206859448,0.158869295,-0.203328439,-0.459338259,0.316580447,-0.184764396,-0.444082771,0.364026155
Under Ice-Choisy,0.518397527,0.027844472,0.490553055,0.68282188,0.054180322,0.628641558,-1.167155933,-0.913239033,-0.202857068,-1.172045665,-0.945968098,0.401252179
Under Ice-Muraillette,0.30875708,0.150969689,0.157787391,0.471832527,0.262334779,0.209497749,0.464027825,-0.277899517,0.779412046,0.481205602,-0.253291244,0.71421578
Under Ice-Rateau,0.079069272,0.06194877,0.017120502,0.146550873,0.116669978,0.029880896,-0.468802523,-0.65553716,0.293954664,-0.459537663,-0.649768912,0.319988664
Under Ice-Lauvitel,0.270283337,0.220201892,0.050081445,0.42554811,0.36092698,0.06462113,0.721696171,-0.305339196,1.710772978,0.731313572,-0.283668088,1.6451683
Plat de la Selle-Barre des Ecrins,0.295893003,0.240584655,0.055308348,0.456662707,0.387856894,0.068805813,-0.967283558,-0.621972513,-0.234505042,-0.966079094,-0.601403814,-0.161044668
Plat de la Selle-La Meije,0.329182808,0.302420104,0.026762704,0.495316078,0.464397168,0.03091891,-0.977975123,-0.61819587,-0.425938372,-0.977348191,-0.595484323,-0.376603584
Plat de la Selle-Sirac,0.32944385,0.089574377,0.239869473,0.49561153,0.164420858,0.331190672,-1.395969086,-1.030073702,-0.199438927,-1.421735099,-1.0517207,0.237499882
Plat de la Selle-Rouies,0.265923411,0.176652206,0.089271205,0.420125592,0.300262397,0.119863195,-1.347798366,-1.673095755,0.827498927,-1.369381739,-1.749358122,1.069511051
