"","taxized"
"397","Bistorta officinalis"
"398","Bitteria digitata"
"399","Blackstonia perfoliata"
"400","Blechnum spicant"
"401","Blysmus compressus"
"402","Bombycilaena erecta"
"403","Bothriochloa ischaemum"
"404","Brachypodium pinnatum"
"405","Brachypodium rupestre"
"406","Brachypodium sylvaticum"
"407","Brassica repanda"
"408","Briza media"
"409","Bromus benekenii"
"410","Bromus erectus"
"411","Bromus hordeaceus"
"412","Bromus inermis"
"413","Bromus squarrosus"
"414","Bromus sterilis"
"415","Bromus tectorum"
"416","Bryonia cretica"
"417","Buddleja davidii"
"418","Buglossoides arvensis"
"419","Buglossoides incrassata"
"420","Bunias orientalis"
"421","Bunium bulbocastanum"
"422","Buphthalmum salicifolium"
"423","Bupleurum falcatum"
"424","Bupleurum petraeum"
"425","Bupleurum ranunculoides"
"426","Bupleurum rotundifolium"
"427","Buxus sempervirens"
"428","Calamagrostis epigejos"
"429","Calamagrostis pseudophragmites"
"430","Calamagrostis schraderiana"
"431","Calamagrostis varia"
"432","Calamagrostis villosa"
"433","Calathiana bavarica"
"434","Calathiana orbicularis"
"435","Calathiana verna"
"436","Calluna vulgaris"
"437","Caltha palustris"
"438","Calystegia sepium"
"439","Camelina microcarpa"
"440","Campanula alpestris"
"441","Campanula glomerata"
"442","Campanula latifolia"
"443","Campanula patula"
"444","Campanula persicifolia"
"445","Campanula rapunculoides"
"446","Campanula spicata"
"447","Campanula trachelium"
"448","Cardamine alpina"
"449","Cardamine heptaphylla"
"450","Cardamine hirsuta"
"451","Cardamine impatiens"
"452","Cardamine pentaphyllos"
"453","Carduus acanthoides"
"454","Carduus carlinifolius"
"455","Carduus defloratus"
"456","Carduus nutans"
"457","Carduus personata"
"458","Carex acutiformis"
"459","Carex alba"
"460","Carex capillaris"
"461","Carex caryophyllea"
"462","Carex cespitosa"
"463","Carex chillanensis"
"464","Carex davalliana"
"465","Carex echinata"
"466","Carex flacca"
"467","Carex flava"
"468","Carex hirta"
"469","Carex hordeistichos"
"470","Carex hostiana"
"471","Carex humilis"
"472","Carex liparocarpos"
"473","Carex macloviana"
"474","Carex montana"
"475","Carex muricata"
"476","Carex pallescens"
"477","Carex panicea"
"478","Carex planostachys"
"479","Carex rostrata"
"480","Carex spicata"
"481","Carex sylvatica"
"482","Carex vesicaria"
"483","Carex viridula"
"484","Carex vulpina"
"485","Carlina acanthifolia"
"486","Carlina acaulis"
"487","Carlina biebersteinii"
"488","Carlina vulgaris"
"489","Carum carvi"
"490","Catananche caerulea"
"491","Caucalis platycarpos"
"492","Cedrus atlantica"
"493","Centaurea jacea"
"494","Centaurea scabiosa"
"495","Centaurea solstitialis"
"496","Centaurea stoebe"
"497","Centaurium erythraea"
"498","Centranthus angustifolius"
"499","Centranthus calcitrapae"
"500","Cephalanthera damasonium"
"501","Cephalanthera longifolia"
"502","Cephalaria alpina"
"503","Cerastium fontanum"
"504","Cerastium pumilum"
"505","Cerastium semidecandrum"
"506","Cerasus avium"
"507","Cerinthe glabra"
"508","Cerinthe minor"
"509","Chaenorhinum minus"
"510","Chaenorhinum rubrifolium"
"511","Chaerophyllum aureum"
"512","Chaerophyllum temulum"
"513","Chaerophyllum villarsii"
"514","Chamaedrys montana"
"515","Chamaenerion montanum"
"516","Chamorchis alpina"
"517","Chara Linnaeus"
"518","Chelidonium majus"
"519","Chenopodium album"
"520","Chondrilla juncea"
"521","Chrysosplenium alternifolium"
"522","Cichorium intybus"
"523","Cirsium acaule"
"524","Cirsium arvense"
"525","Cirsium eriophorum"
"526","Cirsium monspessulanum"
"527","Cirsium palustre"
"528","Cirsium vulgare"
"529","Cladium mariscus"
"530","Clematis vitalba"
"531","Clinopodium acinos"
"532","Clinopodium alpinum"
"533","Clinopodium grandiflorum"
"534","Clinopodium nepeta"
"535","Clinopodium vulgare"
"536","Coincya monensis"
"537","Coincya richeri"
"538","Colchicum alpinum"
"539","Colchicum autumnale"
"540","Colutea arborescens"
"541","Complment flore"
"542","Consolida regalis"
"543","Convallaria majalis"
"544","Convolvulus arvensis"
"545","Conyza canadensis"
"546","Corallorhiza trifida"
"547","Coristospermum ferulaceum"
"548","Cormus domestica"
"549","Coronilla minima"
"550","Coronilla vaginalis"
"551","Corydalis intermedia"
"552","Corydalis solida"
"553","Corylus avellana"
"554","Cotoneaster tomentosus"
"555","Crataegus laevigata"
"556","Crataegus monogyna"
"557","Crepis aurea"
"558","Crepis biennis"
"559","Crepis conyzifolia"
"560","Crepis foetida"
"561","Crepis nicaeensis"
"562","Crepis paludosa"
"563","Crepis pontana"
"564","Crepis pyrenaica"
"565","Crepis vesicaria"
"566","Crocus vernus"
"567","Cruciata glabra"
"568","Cruciata laevipes"
"569","Crupina vulgaris"
"570","Cucubalus baccifer"
"571","Cuscuta epilinum"
"572","Cuscuta epithymum"
"573","Cuscuta europaea"
"574","Cuscuta planiflora"
"575","Cyanus montanus"
"576","Cyanus segetum"
"577","Cynoglossum officinale"
"578","Cynosurus cristatus"
"579","Cypripedium calceolus"
"580","Cystopteris dickieana"
"581","Cytisophyllum sessilifolium"
"582","Dactylis glomerata"
"583","Dactylorhiza fuchsii"
"584","Dactylorhiza incarnata"
"585","Dactylorhiza lapponica"
"586","Dactylorhiza maculata"
"587","Dactylorhiza majalis"
"588","Dactylorhiza sambucina"
"589","Dactylorhiza viridis"
"590","Danthonia decumbens"
"591","Daphne cneorum"
"592","Daphne laureola"
"593","Daphne mezereum"
"594","Dasistepha asclepiadea"
"595","Daucus carota"
"596","Deschampsia cespitosa"
"597","Descurainia sophia"
"598","Descurainia tanacetifolia"
"599","Dianthus carthusianorum"
"600","Dianthus caryophyllus"
"601","Dianthus deltoides"
"602","Dianthus hyssopifolius"
"603","Dianthus pavonius"
"604","Diaphyllum longifolium"
"605","Digitalis grandiflora"
"606","Digitalis lutea"
"607","Dioscorea communis"
"608","Dittrichia graveolens"
"609","Doronicum pardalianches"
"610","Dorycnium pentaphyllum"
"611","Draba verna"
"612","Dracocephalum ruyschiana"
"613","Drosera rotundifolia"
"614","Dryopteris dilatata"
"615","Dryopteris expansa"
"616","Dryopteris mindshelkensis"
"617","Echinops ritro"
"618","Echinops sphaerocephalus"
"619","Echium vulgare"
"620","Ecologie verticale"
